Rk	name	category	team	R1	R2	R3	R4	R5	R6	Total	Avg	Stdev
1	Xiao-Ke Lu		Princeton LW	82	82	83	82	83	81	493	82.17	0.69
2	Greg Weaving		Princeton LW	81	82	83	80	83	82	491	81.83	1.07
3=	Naomi Panovka		MDU PR	81	80	81	82	83	83	490	81.67	1.11
3=	Michael Ning		Yale NS	81	81	84	81	81	82	490	81.67	1.11
5	Matt Song		Yale NS	82	81	83	81	80	81	488	81.33	0.94
6	Max Rosen		MDU PR	81	80	80	82	81	83	487	81.17	1.07
7	Devesh Kodnani		UChicago KL	80	84	75	81	78	86	484	80.67	3.64
8=	Brian Li		UChicago KL	80	83	75	80	79	85	482	80.33	3.14
8=	Benny Nicholson		UChicago KN	80	81	80	81	77	83	482	80.33	1.80
10	Rohan Kapoor	ESL	UChicago KN	80	82	80	80	78	81	481	80.17	1.21
11=	Ethan Curry		UWODS CL	81	80	82	80	79	78	480	80.00	1.29
11=	Ye Joo Han		Harvard HT	77	80	83	80	79	81	480	80.00	1.83
11=	Lelan Hu		Yale HK	81	80	76	80	82	81	480	80.00	1.91
14=	Rhys Nickerson		MDU NZ	79	78	78	82	79	82	478	79.67	1.70
14=	Tyler Li		UWODS CL	80	80	81	80	79	78	478	79.67	0.94
16=	Ricky Huang	ESL	Bates HM	79	80	78	79	80	81	477	79.50	0.96
16=	Sreyan Kanugo	ESL	HWS KK	81	81	78	78	81	78	477	79.50	1.50
16=	Varahunan Mathiyalakan		JHU MY	76	81	79	81	80	80	477	79.50	1.71
16=	Nathaniel Yoon		JHU MY	75	81	79	81	81	80	477	79.50	2.14
20=	Matti Tan		Harvard HT	77	79	81	80	79	80	476	79.33	1.25
20=	Jacquelynn Lin	Novice	Princeton ML	80	80	79	79	77	81	476	79.33	1.25
20=	Afzal Hussain	Novice	Princeton HW	79	82	79	76	80	80	476	79.33	1.80
20=	Jaimy Kim		Yale HK	79	81	76	80	81	79	476	79.33	1.70
20=	Sarim	ESL	HWS KK	80	79	78	77	82	80	476	79.33	1.60
25	Jenna Hong	Novice	Harvard HS	78	80	80	80	79	78	475	79.17	0.90
26=	Ari Malek		Duke CM	79	79	77	79	82	78	474	79.00	1.53
26=	Emma Jones		UAlberta BJ	78	78	79	79	79	81	474	79.00	1.00
28=	Matt Mauriello		Harvard HS	78	78	78	80	80	79	473	78.83	0.90
28=	Maya Razmi		Harvard QR	78	79	79	78	81	78	473	78.83	1.07
