team	result	side	ballot	adjudicators
SDEC LB	1st	Opening Government	View Ballot	Isabel BirneyⒸ , Pahul Sachdeva
HWS HM	2nd	Opening Opposition	View Ballot	Isabel BirneyⒸ , Pahul Sachdeva
Cornell XH	3rd	Closing Government	View Ballot	Isabel BirneyⒸ , Pahul Sachdeva
Rochester MR	4th	Closing Opposition	View Ballot	Isabel BirneyⒸ , Pahul Sachdeva
Colgate AZ	4th	Opening Government	View Ballot	Yashar KhanⒸ , Zexin Cheng
Cornell JJ	3rd	Opening Opposition	View Ballot	Yashar KhanⒸ , Zexin Cheng
HWS HL	1st	Closing Government	View Ballot	Yashar KhanⒸ , Zexin Cheng
HWS VT	2nd	Closing Opposition	View Ballot	Yashar KhanⒸ , Zexin Cheng
Rochester HS	4th	Opening Government	View Ballot	Daniel SchonningⒸ , Sadia Hossain
UVM BK	1st	Opening Opposition	View Ballot	Daniel SchonningⒸ , Sadia Hossain
Colgate BR	3rd	Closing Government	View Ballot	Daniel SchonningⒸ , Sadia Hossain
Bard BP	2nd	Closing Opposition	View Ballot	Daniel SchonningⒸ , Sadia Hossain
Hybrid JH	2nd	Opening Government	View Ballot	Jefferson YahomⒸ , Shayiq Ahmed Shah
USC LK	4th	Opening Opposition	View Ballot	Jefferson YahomⒸ , Shayiq Ahmed Shah
Bard SC	1st	Closing Government	View Ballot	Jefferson YahomⒸ , Shayiq Ahmed Shah
HWS MW	3rd	Closing Opposition	View Ballot	Jefferson YahomⒸ , Shayiq Ahmed Shah
Bard WB	3rd	Opening Government	View Ballot	Isabel OrlandoⒸ , Drew Driscoll
Rochester ZS	4th	Opening Opposition	View Ballot	Isabel OrlandoⒸ , Drew Driscoll
HWS BR	1st	Closing Government	View Ballot	Isabel OrlandoⒸ , Drew Driscoll
UVM SG	2nd	Closing Opposition	View Ballot	Isabel OrlandoⒸ , Drew Driscoll
UVM GH	3rd	Opening Government	View Ballot	Madeleine FordhamⒸ , Kyra Teo
Princeton ML	2nd	Opening Opposition	View Ballot	Madeleine FordhamⒸ , Kyra Teo
Swarthmore ZA	1st	Closing Government	View Ballot	Madeleine FordhamⒸ , Kyra Teo
SDEC KW	4th	Closing Opposition	View Ballot	Madeleine FordhamⒸ , Kyra Teo
Duke YS	4th	Closing Government	View Ballot	Júlia García GüellⒸ , Gage Matthew Geren , Neil Rohan
