team	result	side	ballot	adjudicators
OU Israel Thank God it&#x27;s not Saturday	2nd	Opening Government	View Ballot	Dylan Mc CarthyⒸ , Ayodele Samuel
SPU Urtania	2nd	Opening Opposition	View Ballot	Tom KusonⒸ
SPU Maple Syrup	1st	Opening Government	View Ballot	Marina KojicⒸ
SPU Alexandrofers	3rd	Closing Government	View Ballot	Maria MatchevaⒸ , Biser Angelov
SPU Sciences Pistachios	4th	Opening Government	View Ballot	Vladimira ŠuflajⒸ
Cambridge HCI A	4th	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , Panagiota Yiallouri
Cambridge Done	2nd	Opening Government	View Ballot	William SmithⒸ , Collins C
Cambridge Broken and Unbreakable	1st	Opening Opposition	View Ballot	Maria MatchevaⒸ , Biser Angelov
SPGS An argument close to my Hart	2nd	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , Panagiota Yiallouri
Western ABG LOVERS	2nd	Opening Government	View Ballot	Maria MatchevaⒸ , Biser Angelov
Sunway The Ones Who Knock	3rd	Opening Opposition	View Ballot	Dylan Mc CarthyⒸ , Ayodele Samuel
Weizmann RS	1st	Closing Government	View Ballot	Tom KusonⒸ
Weizmann Single cell from hell	3rd	Opening Opposition	View Ballot	Parth PandyaⒸ , Ani Kovacheva
Oxford DtF	3rd	Closing Opposition	View Ballot	Marina KojicⒸ
Oxford JP	1st	Opening Opposition	View Ballot	Vladimira ŠuflajⒸ
Oxford Ahmed and Pranav	1st	Closing Government	View Ballot	Paula DjakovićⒸ
Haifa S&amp;P	1st	Opening Government	View Ballot	Kiana Saint-MacaryⒸ
Tel Aviv we are the OA	3rd	Closing Opposition	View Ballot	Tom KusonⒸ
Imperial this call could&#x27;ve been an email	3rd	Opening Opposition	View Ballot	KlaudiaⒸ
LSE PS	3rd	Opening Opposition	View Ballot	Tik SzeⒸ , Carmel Kenneth
LSE Pair of Amateurs	3rd	Closing Opposition	View Ballot	Kiana Saint-MacaryⒸ
LSE Waxi Jinping	1st	Closing Government	View Ballot	KlaudiaⒸ
Technion ω+1 (to infinity and beyond)	3rd	Opening Government	View Ballot	Leauren S. JiⒸ , Daanish Sonawala
Technion English || Experience	4th	Opening Government	View Ballot	Parth PandyaⒸ , Ani Kovacheva
Technion K&amp;Y	2nd	Opening Government	View Ballot	KlaudiaⒸ
BGU Biggie U	2nd	Closing Government	View Ballot	Parth PandyaⒸ , Ani Kovacheva
Melbourne beautiful voices	2nd	Closing Opposition	View Ballot	Leauren S. JiⒸ , Daanish Sonawala
Bristol Meth	4th	Closing Opposition	View Ballot	Maria MatchevaⒸ , Biser Angelov
Bristol b(rizz)tol	4th	Closing Opposition	View Ballot	William SmithⒸ , Collins C
Reichman Alcoholics Anonymous	1st	Opening Opposition	View Ballot	William SmithⒸ , Collins C
UCLA Total Blank	1st	Closing Opposition	View Ballot	Tik SzeⒸ , Carmel Kenneth
UCLA Only Chaotic Pairing	3rd	Closing Government	View Ballot	Nora Flynn-McIverⒸ
Liverpool fake it til you blake it	4th	Closing Government	View Ballot	Kiana Saint-MacaryⒸ
Liverpool Cigarettes after Condensed Milk	1st	Closing Opposition	View Ballot	Nora Flynn-McIverⒸ
Liverpool Strawberry milk tea	4th	Opening Government	View Ballot	Paula DjakovićⒸ
UCL all2well (10minversion)	4th	Opening Government	View Ballot	Tom KusonⒸ
UCL Godless Heathens	4th	Opening Government	View Ballot	Nora Flynn-McIverⒸ
UCL H&amp;M	3rd	Closing Opposition	View Ballot	Paula DjakovićⒸ
NUS	3rd	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Panagiota Yiallouri
Dundee Tent Raiders	3rd	Closing Government	View Ballot	William SmithⒸ , Collins C
Edinburgh it&#x27;s pronounced AD-AM	4th	Closing Government	View Ballot	Leauren S. JiⒸ , Daanish Sonawala
Edinburgh just two god loving gals trying to	2nd	Opening Opposition	View Ballot	Marina KojicⒸ
Manchester Tom Ksn UwU	4th	Closing Government	View Ballot	Marina KojicⒸ
Manchester ArrietyTalha Manchester	2nd	Opening Opposition	View Ballot	Kiana Saint-MacaryⒸ
Manchester Crem and Saad	2nd	Opening Opposition	View Ballot	Nora Flynn-McIverⒸ
UPenn WePenncil	4th	Opening Government	View Ballot	Tik SzeⒸ , Carmel Kenneth
Stanford Bengali Unchained	1st	Closing Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Panagiota Yiallouri
JHU Prepare for double make it trouble	1st	Closing Opposition	View Ballot	Parth PandyaⒸ , Ani Kovacheva
JHU Prepare for trouble make it double	1st	Closing Government	View Ballot	Dylan Mc CarthyⒸ , Ayodele Samuel
Nottingham A (Old &amp; New Generation)	4th	Closing Opposition	View Ballot	Dylan Mc CarthyⒸ , Ayodele Samuel
Swing A	2nd	Closing Government	View Ballot	Tik SzeⒸ , Carmel Kenneth
Hummus with Stroopwafel	1st	Opening Opposition	View Ballot	Leauren S. JiⒸ , Daanish Sonawala
We took the Wock to Poland	2nd	Closing Opposition	View Ballot	Vladimira ŠuflajⒸ
The A Team	3rd	Closing Government	View Ballot	Vladimira ŠuflajⒸ
The 🇵🇱 Polish - Indonesian 🇮🇩	4th	Closing Opposition	View Ballot	KlaudiaⒸ
Pandas	2nd	Opening Opposition	View Ballot	Paula DjakovićⒸ
