team	result	side	ballot	adjudicators
E&amp;A not EA	4th	Closing Government	View Ballot	Aayana Rai BhojaniⒸ , Amelia Potocka
Sciences Pipeaus	4th	Opening Government	View Ballot	Gwen StearnsⒸ , Donkor Archimedes
Zempare &amp; Elisha - Ghana A	2nd	Opening Opposition	View Ballot	Gwen StearnsⒸ , Donkor Archimedes
Zagreb Žnidar &amp; Mikota	1st	Closing Government	View Ballot	Nathaniel YoonⒸ , Ayodele Samuel
Wolf &amp; Wolff	4th	Closing Opposition	View Ballot	Ishita SinghⒸ , Dominic Stanley-Marcus
Reichman A	4th	Closing Opposition	View Ballot	Nikolay AngelovⒸ , Latisha Lau
No Name Because Our Mind Went Blank	4th	Closing Government	View Ballot	Shudipto R. AhmedⒸ , Nirali Rout
ITAM A	2nd	Closing Government	View Ballot	Toru OgaⒸ , Kaushiki IshwarⓉ
BUET C	3rd	Opening Opposition	View Ballot	Nathaniel YoonⒸ , Ayodele Samuel
swing 3	4th	Closing Opposition	View Ballot	Nathaniel YoonⒸ , Ayodele Samuel
swing 2	1st	Opening Opposition	View Ballot	Aayana Rai BhojaniⒸ , Amelia Potocka
swing 1	2nd	Closing Opposition	View Ballot	Shudipto R. AhmedⒸ , Nirali Rout
Mutually Assured Destruction	3rd	Opening Opposition	View Ballot	Toru OgaⒸ , Kaushiki IshwarⓉ
Chicago FH	4th	Opening Opposition	View Ballot	Adya SharmaⒸ , Christopher Chua , Gal MercadoⓉ
Oxford B	2nd	Opening Government	View Ballot	Nathaniel YoonⒸ , Ayodele Samuel
UCL BM	3rd	Closing Government	View Ballot	Nikolay AngelovⒸ , Latisha Lau
Hart House A	1st	Closing Opposition	View Ballot	Toru OgaⒸ , Kaushiki IshwarⓉ
Zagreb Djaković &amp; Šuflaj	1st	Opening Opposition	View Ballot	Nikolay AngelovⒸ , Latisha Lau
Ithaca Wildlife	1st	Closing Opposition	View Ballot	Adya SharmaⒸ , Christopher Chua , Gal MercadoⓉ
Beautiful Voices	1st	Opening Opposition	View Ballot	Ishita SinghⒸ , Dominic Stanley-Marcus
UWODS A	3rd	Opening Government	View Ballot	Ishita SinghⒸ , Dominic Stanley-Marcus
Breaking Hearts and Tabs	3rd	Opening Government	View Ballot	Shudipto R. AhmedⒸ , Nirali Rout
Oxford AP	3rd	Closing Government	View Ballot	Gwen StearnsⒸ , Donkor Archimedes
Imagine Doing Worlds Prep with Your	1st	Closing Opposition	View Ballot	Gwen StearnsⒸ , Donkor Archimedes
Proctosedyl	2nd	Closing Government	View Ballot	Adya SharmaⒸ , Christopher Chua , Gal MercadoⓉ
Our Case is Empirically Posterior	1st	Opening Opposition	View Ballot	Shudipto R. AhmedⒸ , Nirali Rout
M&amp;M	2nd	Opening Government	View Ballot	Aayana Rai BhojaniⒸ , Amelia Potocka
USU B	2nd	Opening Government	View Ballot	Nikolay AngelovⒸ , Latisha Lau
Piper? I Hardly even Know &#x27;er	2nd	Closing Government	View Ballot	Ishita SinghⒸ , Dominic Stanley-Marcus
Monash A	4th	Opening Government	View Ballot	Toru OgaⒸ , Kaushiki IshwarⓉ
Chicago LZ	3rd	Opening Government	View Ballot	Adya SharmaⒸ , Christopher Chua , Gal MercadoⓉ
Want to Makeout	3rd	Closing Opposition	View Ballot	Aayana Rai BhojaniⒸ , Amelia Potocka
