team	result	side	ballot	adjudicators
Lemi ata kore duvshania?	3rd	Opening Government	View Ballot	Dylan McCarthyⒸ , Umuhairu
BNI	1st	Opening Opposition	View Ballot	Dylan McCarthyⒸ , Umuhairu
Sofia B	2nd	Closing Government	View Ballot	Dylan McCarthyⒸ , Umuhairu
Reichman A	4th	Closing Opposition	View Ballot	Dylan McCarthyⒸ , Umuhairu
E&amp;A not EA	1st	Opening Government	View Ballot	Joseph LewisⒸ , Adu-Nontwiri Sergio
Black Panther	2nd	Opening Opposition	View Ballot	Joseph LewisⒸ , Adu-Nontwiri Sergio
Vienna A	3rd	Closing Government	View Ballot	Joseph LewisⒸ , Adu-Nontwiri Sergio
A&amp;M	4th	Closing Opposition	View Ballot	Joseph LewisⒸ , Adu-Nontwiri Sergio
We move with an Audacious Faith	4th	Opening Government	View Ballot	Nirali RoutⒸ , Henry Kofi
The only time we are glad to pay	2nd	Opening Opposition	View Ballot	Nirali RoutⒸ , Henry Kofi
ASHS Jumbo Hotdog	3rd	Closing Government	View Ballot	Nirali RoutⒸ , Henry Kofi
Swing 1	1st	Closing Opposition	View Ballot	Nirali RoutⒸ , Henry Kofi
Akofena Reunion	2nd	Opening Government	View Ballot	Olayinka Olamide EstherⒸ , Chleopatra Azantillow
D.E.B.S.	4th	Opening Opposition	View Ballot	Olayinka Olamide EstherⒸ , Chleopatra Azantillow
A good guy and a bad one	3rd	Closing Government	View Ballot	Olayinka Olamide EstherⒸ , Chleopatra Azantillow
Mandela meets Nkrumah	1st	Closing Opposition	View Ballot	Olayinka Olamide EstherⒸ , Chleopatra Azantillow
Alcoholists Anonymous	1st	Opening Government	View Ballot	Comfort AyelomiⒸ , Lucky Uboh
We bet you didn&#x27;t expect this one	3rd	Opening Opposition	View Ballot	Comfort AyelomiⒸ , Lucky Uboh
How many Phil Phil Phils could a P	4th	Closing Government	View Ballot	Comfort AyelomiⒸ , Lucky Uboh
Domgladola	2nd	Closing Opposition	View Ballot	Comfort AyelomiⒸ , Lucky Uboh
Oxford LA	3rd	Opening Government	View Ballot	Kezia Okyere AmponsahⒸ , Okediji Imole Favour
Coach and Child (guess who&#x27;s talle	4th	Opening Opposition	View Ballot	Kezia Okyere AmponsahⒸ , Okediji Imole Favour
Kali	1st	Closing Government	View Ballot	Kezia Okyere AmponsahⒸ , Okediji Imole Favour
Imani	2nd	Closing Opposition	View Ballot	Kezia Okyere AmponsahⒸ , Okediji Imole Favour
Phoenix	2nd	Opening Government	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
Breaking hearts and tabs	3rd	Opening Opposition	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
HUJI cAll to order	1st	Closing Government	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
Love, Light and barzz	4th	Closing Opposition	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
