team	result	side	ballot	adjudicators
Harvard A	3rd	Opening Government	View Ballot	Ilija IvaniševićⒸ , Aleksandra Auksztulewicz , David NagyⓉ
Tititum	1st	Opening Opposition	View Ballot	Ilija IvaniševićⒸ , Aleksandra Auksztulewicz , David NagyⓉ
roko&#x27;s tabtastic	2nd	Closing Government	View Ballot	Ilija IvaniševićⒸ , Aleksandra Auksztulewicz , David NagyⓉ
Freedom for Sealand	4th	Closing Opposition	View Ballot	Ilija IvaniševićⒸ , Aleksandra Auksztulewicz , David NagyⓉ
EJG Hápika	1st	Opening Government	View Ballot	Alex LovellⒸ , Nadav Barak
Fake it till you make it	3rd	Opening Opposition	View Ballot	Alex LovellⒸ , Nadav Barak
CEU Debate Society	4th	Closing Government	View Ballot	Alex LovellⒸ , Nadav Barak
Trash&amp;Treasures	2nd	Closing Opposition	View Ballot	Alex LovellⒸ , Nadav Barak
No pandemics or car crashes will st	1st	Opening Government	View Ballot	Hadar GoldbergⒸ , Chen Jo Shulman , Michał Boruta
Mickey Mouse, Winnie the Pooh Case	2nd	Opening Opposition	View Ballot	Hadar GoldbergⒸ , Chen Jo Shulman , Michał Boruta
Oxford A	4th	Closing Government	View Ballot	Hadar GoldbergⒸ , Chen Jo Shulman , Michał Boruta
Swing C	3rd	Closing Opposition	View Ballot	Hadar GoldbergⒸ , Chen Jo Shulman , Michał Boruta
Still an Open secret	4th	Opening Government	View Ballot	Zach Godley-McAvoyⒸ , Petra Stojanovic
The Weber-Garbe Incident	1st	Opening Opposition	View Ballot	Zach Godley-McAvoyⒸ , Petra Stojanovic
MCC A	2nd	Closing Government	View Ballot	Zach Godley-McAvoyⒸ , Petra Stojanovic
Funkalinka drinking Unicum	3rd	Closing Opposition	View Ballot	Zach Godley-McAvoyⒸ , Petra Stojanovic
Burazinios	2nd	Opening Government	View Ballot	Zarina Bell-GamⒸ , Yishai Binnes
Munich A	3rd	Opening Opposition	View Ballot	Zarina Bell-GamⒸ , Yishai Binnes
Grape	4th	Closing Government	View Ballot	Zarina Bell-GamⒸ , Yishai Binnes
БАТО БРЕ (bro dude for non-balkan p	1st	Closing Opposition	View Ballot	Zarina Bell-GamⒸ , Yishai Binnes
This New Yet Unapproachable Vienna	3rd	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Oisín Browne , Benjamin SpethⓉ
Excited to implement our new VR tra	2nd	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Oisín Browne , Benjamin SpethⓉ
Average Irish brother and sister	4th	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Oisín Browne , Benjamin SpethⓉ
Pakao	1st	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Oisín Browne , Benjamin SpethⓉ
The Sun in our hearts	3rd	Opening Government	View Ballot	Radko NedyalkovⒸ , Ellen McKimm , Julie Jie HuangⓉ
Judas and the Thirty Silvers	4th	Opening Opposition	View Ballot	Radko NedyalkovⒸ , Ellen McKimm , Julie Jie HuangⓉ
Mission Impactable	1st	Closing Government	View Ballot	Radko NedyalkovⒸ , Ellen McKimm , Julie Jie HuangⓉ
make words not war	2nd	Closing Opposition	View Ballot	Radko NedyalkovⒸ , Ellen McKimm , Julie Jie HuangⓉ
AnglerMerkel	4th	Opening Government	View Ballot	Anna ShrederⒸ , Jaime Smith Rodriguez
Oedipus and his madre	1st	Opening Opposition	View Ballot	Anna ShrederⒸ , Jaime Smith Rodriguez
Oxford B	2nd	Closing Government	View Ballot	Anna ShrederⒸ , Jaime Smith Rodriguez
Mater dea	3rd	Closing Opposition	View Ballot	Anna ShrederⒸ , Jaime Smith Rodriguez
Escaping from blue light	4th	Opening Government	View Ballot	Tin PuljićⒸ , Peter Wu , Dalma SzékelyⓉ
LSE A	1st	Opening Opposition	View Ballot	Tin PuljićⒸ , Peter Wu , Dalma SzékelyⓉ
UDS here to prep for narrowly missi	3rd	Closing Government	View Ballot	Tin PuljićⒸ , Peter Wu , Dalma SzékelyⓉ
Two second speakers enter the ring	2nd	Closing Opposition	View Ballot	Tin PuljićⒸ , Peter Wu , Dalma SzékelyⓉ
Orange	2nd	Opening Government	View Ballot	Daan SpacklerⒸ , Amelia Potocka , Daniel OchanaⓉ
Every Time You Reject a POI Jack&#x27;s 	1st	Opening Opposition	View Ballot	Daan SpacklerⒸ , Amelia Potocka , Daniel OchanaⓉ
Harvard B	3rd	Closing Government	View Ballot	Daan SpacklerⒸ , Amelia Potocka , Daniel OchanaⓉ
Take De Bait	4th	Closing Opposition	View Ballot	Daan SpacklerⒸ , Amelia Potocka , Daniel OchanaⓉ
USAFA SL &amp; CR	4th	Opening Opposition	View Ballot	Craig McDonaldⒸ , Alexandra Szemere , Muhammad Nabeel RahimⓉ
Swing A	2nd	Closing Government	View Ballot	Craig McDonaldⒸ , Alexandra Szemere , Muhammad Nabeel RahimⓉ
loud hostel sex	1st	Closing Opposition	View Ballot	Craig McDonaldⒸ , Alexandra Szemere , Muhammad Nabeel RahimⓉ
Principled debating	1st	Opening Government	View Ballot	Lara DragojevićⒸ , Tom Comer
MCCXXII	3rd	Opening Opposition	View Ballot	Lara DragojevićⒸ , Tom Comer
The austrian-dutch coalition	2nd	Closing Government	View Ballot	Lara DragojevićⒸ , Tom Comer
EJG Barika	4th	Closing Opposition	View Ballot	Lara DragojevićⒸ , Tom Comer
the goodest bois	3rd	Opening Government	View Ballot	Olja BošnjakⒸ , Ivan Koruza , Dylan BradyⓉ
Knuckles the Echidna Fan Club	1st	Opening Opposition	View Ballot	Olja BošnjakⒸ , Ivan Koruza , Dylan BradyⓉ
Strijp 1A	4th	Closing Government	View Ballot	Olja BošnjakⒸ , Ivan Koruza , Dylan BradyⓉ
No analysis? How about you analyze 	2nd	Closing Opposition	View Ballot	Olja BošnjakⒸ , Ivan Koruza , Dylan BradyⓉ
Michal &amp; Dror Weizmann	2nd	Opening Government	View Ballot	Assaph HananyⒸ , Kristofers Kārlis Krūmiņš , Veronica Minesso
Technion I&amp;M	4th	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Stefan Josipović , Jasmin GatchevaⓉ
Zagreb LR	3rd	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , Stefan Josipović , Jasmin GatchevaⓉ
No answer	2nd	Closing Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Stefan Josipović , Jasmin GatchevaⓉ
Munich O&#x27;Galexi	2nd	Opening Government	View Ballot	Sharon MaidanchikⒸ , Maarja Osi , Zsombor Kiss
Mango	1st	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , Stefan Josipović , Jasmin GatchevaⓉ
Sacher	4th	Opening Opposition	View Ballot	Sharon MaidanchikⒸ , Maarja Osi , Zsombor Kiss
BP Avengers	1st	Closing Government	View Ballot	Sharon MaidanchikⒸ , Maarja Osi , Zsombor Kiss
Sciences Po A	3rd	Closing Opposition	View Ballot	Sharon MaidanchikⒸ , Maarja Osi , Zsombor Kiss
Chopin Liszt	3rd	Opening Government	View Ballot	Uzair TajuddinⒸ , Hudáky Márton
Multitran	2nd	Opening Opposition	View Ballot	Uzair TajuddinⒸ , Hudáky Márton
Papa Smurf is a leader of utopian c	4th	Closing Government	View Ballot	Uzair TajuddinⒸ , Hudáky Márton
POIs on the chat please	1st	Closing Opposition	View Ballot	Uzair TajuddinⒸ , Hudáky Márton
The real Mc&#x27;s of MCC	3rd	Opening Government	View Ballot	Robert RaosⒸ , Sinziana Stanciu
Ljubljana 3 The Movie #1: Spring of	1st	Opening Opposition	View Ballot	Robert RaosⒸ , Sinziana Stanciu
Leuven Debating Society	4th	Closing Government	View Ballot	Robert RaosⒸ , Sinziana Stanciu
Oxford C	1st	Opening Government	View Ballot	Matthew HamerⒸ , Anabel Dautovic
