Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Milos Marjanovic	ESL	Pakao	87	83	82	84	82	418	83.60	1.85
2	Jessica Musulin		Excited to implement our new VR tra	85	83	82	83	81	414	82.80	1.33
3	Lovro Šprem	ESL	Excited to implement our new VR tra	86	83	81	82	81	413	82.60	1.85
4	Katharina Margareta Jansen		Schnitzels get stitches	81	81	82	82	80	406	81.20	0.75
5=	Teodora Rešetar	ESL	Pakao	82	79	81	82	81	405	81.00	1.10
5=	Devesh Kodnani		floccinaucinihilipilification	79	82	80	85	79	405	81.00	2.28
5=	Naomi Panovka		Stealth R Us	81	82	81	83	78	405	81.00	1.67
5=	Miri Muntean	ESL	Schnitzels get stitches	80	82	80	82	81	405	81.00	0.89
9	Maurice Coutiel		Fe2O3•nH2O	80	80	81	79	84	404	80.80	1.72
10=	Matt Caito		LSE A	79	83	81	82	78	403	80.60	1.85
10=	Tal Ratner	ESL	Haifa T&amp;O	80	81	80	85	77	403	80.60	2.58
10=	Joseph Lewis		roko&#x27;s tabtastic	81	81	82	80	79	403	80.60	1.02
13=	Alek Selveliev	ESL	Average Irish brother and sister	80	84	81	78	79	402	80.40	2.06
13=	Martha McKinney-Perry		roko&#x27;s tabtastic	82	80	81	81	78	402	80.40	1.36
15=	Lucie Slamova		Stealth R Us	81	82	79	82	77	401	80.20	1.94
15=	Jack Synnott		This New Yet Unapproachable Vienna	82	80	80	80	79	401	80.20	0.98
15=	Nick Zervoudis		Fe2O3•nH2O	81	80	79	78	83	401	80.20	1.72
18	Jack Williams		Orange	79	82	77	81	81	400	80.00	1.79
19=	Miriam Kalman		Two second speakers enter the ring	79	78	81	80	81	399	79.80	1.17
19=	Nikolay Angelov	ESL	floccinaucinihilipilification	77	80	79	84	79	399	79.80	2.32
21=	Velina Andonova	ESL	Average Irish brother and sister	78	80	82	78	80	398	79.60	1.50
21=	Petar Žnidar	ESL	Orange	80	79	78	82	79	398	79.60	1.36
23=	Ori Harari	ESL	Haifa T&amp;O	79	78	82	82	76	397	79.40	2.33
23=	Dylan McCarthy		loud hostel sex	79	75	82	82	79	397	79.40	2.58
23=	Lucy Murphy		Two second speakers enter the ring	79	77	80	81	80	397	79.40	1.36
26=	Ahmed El Sammak		LSE A	77	81	81	80	77	396	79.20	1.83
26=	Aniket Chakravorty		This New Yet Unapproachable Vienna	80	79	80	79	78	396	79.20	0.75
26=	Maria Matcheva	ESL	ACS A	79	79	81	78	79	396	79.20	0.98
26=	Vladimira Šuflaj	ESL	БАТО БРЕ (bro dude for non-balkan p	79	76	80	82	79	396	79.20	1.94
26=	Harmen de Jong	ESL	UDS here to prep for narrowly missi	78	78	79	80	81	396	79.20	1.17
31=	Naomi Gillis		HUJI Right Here, RN	80	78	79	78	80	395	79.00	0.89
31=	Đorđe Radosavljević	ESL	Grape	81	77	78	78	81	395	79.00	1.67
31=	Joris Graff	ESL	UDS here to prep for narrowly missi	77	78	80	80	80	395	79.00	1.26
31=	Rok Hafner	ESL	Mango	79	79	76	79	82	395	79.00	1.90
35=	Alicja Filbier	ESL	One of us sleeps with Polish men an	79	79	80	76	80	394	78.80	1.47
35=	Jack Palmer		Every Time You Reject a POI Jack&#x27;s 	78	82	77	82	75	394	78.80	2.79
35=	Novak Celebic	ESL	Grape	81	77	80	77	79	394	78.80	1.60
35=	Paula Djaković	ESL	БАТО БРЕ (bro dude for non-balkan p	78	77	79	82	78	394	78.80	1.72
39=	Rachel Homnick		HUJI Right Here, RN	79	77	80	78	79	393	78.60	1.02
39=	Parth Pandya		One of us sleeps with Polish men an	77	80	81	77	78	393	78.60	1.62
39=	Izzie Blackburn		Every Time You Reject a POI Jack&#x27;s 	77	82	77	83	74	393	78.60	3.38
39=	Gabi Fullam		loud hostel sex	79	75	81	81	77	393	78.60	2.33
39=	Maj Hrovatin	Novice, ESL	Mango	79	76	76	80	82	393	78.60	2.33
44=	Nicole Kagan		Harvard A	78	81	77	78	78	392	78.40	1.36
44=	Mislav Mikota	Novice, ESL	Tititum	79	75	79	82	77	392	78.40	2.33
46=	Matti Tan		Harvard A	79	80	76	78	78	391	78.20	1.33
46=	Nikola Michaylov	ESL	ACS A	78	79	79	77	78	391	78.20	0.75
46=	Lara-Nika Holjevac Stasiow	Novice, ESL	Tititum	80	75	80	80	76	391	78.20	2.23
49	Matija Pušnik	ESL	Burazinios	76	79	77	81	77	390	78.00	1.79
50=	Ante Šarić	ESL	Oedipus and his madre	78	80	76	79	76	389	77.80	1.60
50=	Mihailo Babić	ESL	No analysis? How about you analyze 	82	76	77	79	75	389	77.80	2.48
50=	Sharon Chau		Oxford B	79	78	75	77	80	389	77.80	1.72
53	Zuzanna Lipień	Novice, ESL	Escaping from blue light	78	74	78	78	80	388	77.60	1.96
54=	Maya Razmi		Harvard B	74	80	78	76	79	387	77.40	2.15
54=	Dror Ettlinger	ESL	Michal &amp; Dror Weizmann	77	78	79	75	78	387	77.40	1.36
54=	Michal Hartstein	ESL	Michal &amp; Dror Weizmann	78	79	77	76	77	387	77.40	1.02
54=	Hannah Edwards	Novice	Oxford B	79	77	74	78	79	387	77.40	1.85
58=	Hanna Szczerbińska	Novice, ESL	the goodest bois	76	76	79	79	76	386	77.20	1.47
58=	Krzysztof Ludwiczak	Novice, ESL	the goodest bois	75	77	79	79	76	386	77.20	1.60
58=	Leon Kersten	ESL	Freedom for Sealand	77	80	78	75	76	386	77.20	1.72
58=	Hunter Wayne Neary		Knuckles the Echidna Fan Club	76	75	76	80	79	386	77.20	1.94
58=	Lazar Popović	ESL	No analysis? How about you analyze 	80	75	78	80	73	386	77.20	2.79
63=	Speaker 1		Swing A	77	75	77	80	76	385	77.00	1.67
63=	Florens Rilling	ESL	Munich A	78	76	77	78	76	385	77.00	0.89
63=	Heleriin Ots	ESL	Knuckles the Echidna Fan Club	77	74	75	80	79	385	77.00	2.28
66=	Gaby Lin	Novice	Oxford A	81	77	79	73	74	384	76.80	2.99
66=	Grzegorz Zińczuk	ESL	Escaping from blue light	77	75	77	76	79	384	76.80	1.33
66=	Đorđe Mirković	Novice, ESL	Mickey Mouse, Winnie the Pooh Case	76	79	76	75	78	384	76.80	1.47
66=	Strahinja Batanjski	Novice, ESL	Mickey Mouse, Winnie the Pooh Case	77	77	78	75	77	384	76.80	0.98
66=	Luka Petrović	ESL	No pandemics or car crashes will st	78	77	77	77	75	384	76.80	0.98
66=	Lovro Marušić	Novice, ESL	Zagreb LR	76	81	75	75	77	384	76.80	2.23
72=	Heather Li	Novice	Oxford A	79	77	78	74	75	383	76.60	1.85
72=	Adrian Hayler	ESL	Munich A	78	76	75	78	76	383	76.60	1.20
72=	Justin Qi		Harvard B	75	79	77	75	77	383	76.60	1.50
72=	Josip Pavić	ESL	Oedipus and his madre	74	79	75	79	76	383	76.60	2.06
72=	Benjamin Zupančič	ESL	Burazinios	74	77	75	81	76	383	76.60	2.42
77=	Alessandro Sona	ESL	Freedom for Sealand	76	79	77	75	75	382	76.40	1.50
77=	Pavle Antonijević	Novice, ESL	Breaking news	75	77	78	76	76	382	76.40	1.02
