Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	David Africa		Ateneo 1	84	83	84	85	80	416	83.20	1.72
2	Tobi Leung		Ateneo 1	83	83	84	85	80	415	83.00	1.67
3	Madeleine Wu	Novice	Dartmouth am i visible	82	82	85	82	81	412	82.40	1.36
4	Matt Caito		LSE A	82	82	82	83	82	411	82.20	0.40
5=	Enting Lee		Harvard LT	83	81	86	81	79	410	82.00	2.37
5=	Tejas Subramaniam		Started from mail-order brides now	83	82	82	80	83	410	82.00	1.10
7=	Ahmed Elsammak		LSE A	81	82	81	83	82	409	81.80	0.75
7=	Biser Angelov	ESL	UNWE A(ustria let us in Schengen pls)	81	82	82	83	81	409	81.80	0.75
7=	Dylan McCarthy		TCD Phil A	83	82	79	83	82	409	81.80	1.47
10	Maria Matcheva	ESL	UNWE A(ustria let us in Schengen pls)	81	83	82	82	80	408	81.60	1.02
11=	Alek Selveliev	ESL	Sofia B(	80	84	80	80	83	407	81.40	1.74
11=	Naomi Panovka		Started from mail-order brides now	81	82	81	80	83	407	81.40	1.02
13=	Meg Kandarpa		Mice In Our Walls	80	81	82	83	80	406	81.20	1.17
13=	Ellie Stephenson		Sydney B	82	81	83	78	82	406	81.20	1.72
15	Velina Andonova	ESL	Sofia B(	80	83	80	80	82	405	81.00	1.26
16=	Olja Bošnjak	ESL	Zagreb A	80	81	84	79	80	404	80.80	1.72
16=	Niki Angelov	ESL	Sofia A	81	78	81	84	80	404	80.80	1.94
16=	Matti Tan		Harvard LT	81	82	85	79	77	404	80.80	2.71
16=	Alastair Bowyer		St Andrews jasmine analysis: fragrant with a	80	81	82	79	82	404	80.80	1.17
16=	Rumen Marinov	ESL	Sofia A	81	77	81	84	81	404	80.80	2.23
16=	Sam Druce	Novice	Sydney Druce &amp; Kuo	81	82	81	79	81	404	80.80	0.98
16=	Ryan Lafferty		Dartmouth am i visible	80	81	83	80	80	404	80.80	1.17
16=	Pranav Anand		Mice In Our Walls	80	80	81	83	80	404	80.80	1.17
24=	Robert Raos	ESL	Zagreb A	79	80	83	79	82	403	80.60	1.62
24=	Bea Legaspi	ESL	UPD Garcia &amp; Legaspi	80	81	82	81	79	403	80.60	1.02
24=	Parth Pandya		St Andrews jasmine analysis: fragrant with a	79	82	82	78	82	403	80.60	1.74
24=	Jack Palmer		TCD Phil A	81	80	79	82	81	403	80.60	1.02
24=	Sophie Shead		Sydney B	82	80	82	77	82	403	80.60	1.96
29=	Muzzi Godil		Chicago GK	81	80	82	81	78	402	80.40	1.36
29=	Kat Kuo		Sydney Druce &amp; Kuo	80	82	82	79	79	402	80.40	1.36
31	Shaun Lee		NUS LL	82	77	81	80	81	401	80.20	1.72
32=	Naomi Ang		NUS Boy Bawang	77	83	80	81	79	400	80.00	2.00
32=	Valeriu Carasel	ESL	Bucharest A(ustria&#x27;s immigration problem)	80	79	81	81	79	400	80.00	0.89
32=	Matt Mauriello		Harvard no confidence in this case	80	80	82	83	75	400	80.00	2.76
32=	Elena Radulescu	ESL, Novice	Oxford KE	83	81	77	82	77	400	80.00	2.53
32=	Rohan Kapoor		Chicago GK	80	78	83	81	78	400	80.00	1.90
37	Ken Alunan	ESL	De La Salle AA	83	78	78	81	79	399	79.80	1.94
38=	Cavan Tay		NUS Boy Bawang	78	84	79	79	78	398	79.60	2.24
38=	Kitty Dallas	Novice	Oxford KE	81	82	78	80	77	398	79.60	1.85
40=	Luis Garcia		UPD Garcia &amp; Legaspi	80	79	80	80	78	397	79.40	0.80
40=	Rao Tanae		Oxford Epistemic Authority	78	83	82	76	78	397	79.40	2.65
40=	Sadid Jubayer Murshed	ESL	IUB Birdie Association	78	78	76	80	85	397	79.40	3.07
40=	Ana Coman	ESL	Bucharest A(ustria&#x27;s immigration problem)	78	78	81	81	79	397	79.40	1.36
40=	Yishai Binnes		HUJI It&#x27;s not new information it&#x27;s rest	79	78	84	79	77	397	79.40	2.42
45=	Naomi Gillis		HUJI It&#x27;s not new information it&#x27;s rest	79	78	83	78	77	395	79.00	2.10
45=	Amy Lee		NUS LL	80	76	80	79	80	395	79.00	1.55
45=	Pranav Baskar	Novice	Oxford AP	78	79	78	79	81	395	79.00	1.10
45=	Ethan Jiang	Novice	Chicago JR	82	78	80	75	80	395	79.00	2.37
45=	Jill Aycardo	ESL	De La Salle AA	83	78	78	78	78	395	79.00	2.00
50=	Harshvardhan Ray	Novice	Chicago JR	82	77	80	75	80	394	78.80	2.48
50=	Ahmed Hussain	Novice	Oxford AP	79	78	77	79	81	394	78.80	1.33
50=	Isabelle Sim Yun Yi		Cambridge Do You Know?	79	79	83	78	75	394	78.80	2.56
50=	Jenny Li	ESL	Melbourne Bye, Melbourne Mini!	80	78	79	82	75	394	78.80	2.32
54=	Mikey Xu		UNSW B	76	79	78	78	82	393	78.60	1.96
54=	Nasa Tsuchiya	ESL	Tokyo YT	81	79	80	78	75	393	78.60	2.06
54=	Guy Williams	Novice	Melbourne Bye, Melbourne Mini!	77	78	80	82	76	393	78.60	2.15
54=	Manuel Machorro	ESL	Bates MO	77	79	78	82	77	393	78.60	1.85
54=	Isabella Freeland		Sydney Freeland and Bakker	74	77	80	82	80	393	78.60	2.80
54=	Rohan	ESL	BJ A	77	78	80	77	81	393	78.60	1.62
60=	Ricky Huang	ESL	Oxford Epistemic Authority	78	80	79	77	78	392	78.40	1.02
60=	Dhruv Leekha	Novice	Oxford DN	80	76	81	76	79	392	78.40	2.06
60=	Emma Heijnen	ESL, Novice	LSE Finally prepping worlds with the r	78	77	76	78	83	392	78.40	2.42
60=	Deon Kiew		NUS Rise too high must fall	77	77	80	80	78	392	78.40	1.36
60=	Kotaro Yoshida	ESL	Tokyo YT	79	79	81	79	74	392	78.40	2.33
60=	Mira Eberdorfer	ESL	DK Wien Vienna B	76	81	80	74	81	392	78.40	2.87
66=	Omar Shalabby	ESL	Reichman A	79	79	78	78	77	391	78.20	0.75
66=	Nicolas Rackow	Novice	Oxford DN	82	76	77	77	79	391	78.20	2.14
66=	Maya Tamir	ESL	Reichman A	80	78	78	77	78	391	78.20	0.98
66=	Yoonchan Koo	ESL	Seoul Somaek	76	81	78	77	79	391	78.20	1.72
66=	Hamza Nouman	ESL	Nottingham Melodifestivalen Fan Club	80	76	77	79	79	391	78.20	1.47
66=	Dohyun Kim		Seoul Somaek	76	81	79	77	78	391	78.20	1.72
66=	Dung Nguyen		LSE Finally prepping worlds with the r	79	76	75	77	84	391	78.20	3.19
66=	Ahsan	ESL	BJ A	78	79	81	77	76	391	78.20	1.72
74=	Ian Dylan Chai		Yale-NUS We&#x27;re Both Asian We Swear	79	74	76	79	82	390	78.00	2.76
74=	Sierra Turay		Melbourne B	78	78	78	77	79	390	78.00	0.63
76=	Matthew Hamer		Imperial A	79	79	75	76	80	389	77.80	1.94
76=	Conna Leslie-Keefe		UNSW B	76	79	77	77	80	389	77.80	1.47
76=	Daniela Jacinto	ESL	De La Salle Kuo Tiffany	78	80	77	74	80	389	77.80	2.23
76=	Kevin Ong	Novice	NUS Rise too high must fall	77	76	79	79	78	389	77.80	1.17
76=	Ichiro Arbole	ESL	De La Salle Kuo Tiffany	79	81	75	75	79	389	77.80	2.40
76=	Adam Mallis		Edinburgh Bunker vaping call that Enver Hoxh	77	78	78	77	79	389	77.80	0.75
76=	Eugene Bakker		Sydney Freeland and Bakker	72	79	79	82	77	389	77.80	3.31
76=	Bernd Wong		Cambridge Do You Know?	78	79	80	77	75	389	77.80	1.72
76=	Rose Hensher		Melbourne B	78	79	77	77	78	389	77.80	0.75
76=	Victor Bervoets	ESL	DK Wien Vienna B	75	79	79	75	81	389	77.80	2.40
76=	Rohan Battula	Novice	Harvard no confidence in this case	79	78	80	78	74	389	77.80	2.04
87=	Tan Tai Cheng	Novice	Cambridge HCI A	76	76	78	77	81	388	77.60	1.85
87=	Emmanuella Li		Imperial A	79	77	76	77	79	388	77.60	1.20
87=	Oyuka Lyndon	ESL	Bates MO	76	78	78	80	76	388	77.60	1.50
87=	Batara Mulya	ESL	BINUS A	78	80	76	75	79	388	77.60	1.85
91=	Kiran Bodasing		NUS Pu Bor	79	77	79	77	75	387	77.40	1.50
91=	Dom Westwood		Edinburgh Bunker vaping call that Enver Hoxh	76	79	77	76	79	387	77.40	1.36
91=	Cameron Docherty		Nottingham Melodifestivalen Fan Club	78	74	78	78	79	387	77.40	1.74
91=	Lee Wei Kang	Novice	Cambridge HCI A	76	76	77	76	82	387	77.40	2.33
91=	Terkpertey Andrews and	ESL	KNOBS A	78	75	80	79	75	387	77.40	2.06
96=	Erasmus Mawuli Segbefia	ESL	KNOBS A	77	76	80	78	75	386	77.20	1.72
96=	Flora Prideaux	Novice	Oxford MF	78	81	74	76	77	386	77.20	2.32
98=	Britney Pham	Novice	Monash Mutually Assured Destruction B	75	78	77	79	76	385	77.00	1.41
98=	Guy Wolf	ESL	Technion not throwing the wolves to the wol	79	74	78	77	77	385	77.00	1.67
98=	Mauricio Jarufe	ESL	PUCP A	80	78	76	75	76	385	77.00	1.79
98=	Omer Abramovich	ESL	TAU R&amp;O	77	79	75	75	79	385	77.00	1.79
102=	Daanish Sohail Sonawal		Imperial B(ackstreet&#x27;s back ALRIGHT)	78	78	76	74	78	384	76.80	1.60
102=	Annika Wang	ESL	qfin ppl	77	77	77	76	77	384	76.80	0.40
102=	Isabel Orlando		Cornell OM	75	80	79	74	76	384	76.80	2.32
102=	Laura Hallmark		Imperial B(ackstreet&#x27;s back ALRIGHT)	79	77	76	75	77	384	76.80	1.33
102=	Shane Tully		UCD L&amp;H A	75	77	78	75	79	384	76.80	1.60
102=	Mitchell Palmer		Oxford MF	77	80	75	75	77	384	76.80	1.83
102=	Amitai Ben Porat	ESL, Novice, Schools	HUJI Hujilicious	79	77	75	76	77	384	76.80	1.33
109=	Karen Chen		Cambridge we dont know	72	77	77	78	79	383	76.60	2.42
109=	Bobby Ongkojoyo	ESL	BINUS A	77	78	76	74	78	383	76.60	1.50
109=	Thomas White	Novice	Monash Mutually Assured Destruction B	75	77	76	78	77	383	76.60	1.02
109=	Yael Wolff	ESL	Technion not throwing the wolves to the wol	78	74	76	77	78	383	76.60	1.50
109=	Yeonwoo	ESL, Novice, Schools	Yeonwoo and Salleh	76	79	77	77	74	383	76.60	1.62
109=	Osel Pan		NUS Pu Bor	79	76	78	76	74	383	76.60	1.74
115=	Aadir Mathur	Novice	Cambridge we dont know	72	76	76	76	82	382	76.40	3.20
115=	Jose Vergara	ESL	PUCP A	78	78	77	74	75	382	76.40	1.62
115=	Belle Ho		UCLA am-am	75	77	79	74	77	382	76.40	1.74
115=	Hana Bajrai		NTU HO	78	75	77	76	76	382	76.40	1.02
115=	Amber Chen		UCLA am-am	76	78	78	75	75	382	76.40	1.36
115=	Neo Way De		NTU NL	75	80	79	76	72	382	76.40	2.87
115=	Wayne Lim		NTU NL	75	80	78	77	72	382	76.40	2.73
115=	Redacted	ESL	—	78	76	77	74	77	382	76.40	1.36
123=	Dohyun Park		Chicago HP	75	83	74	78	71	381	76.20	4.07
123=	Terry Zhang	ESL	qfin ppl	76	77	76	75	77	381	76.20	0.75
123=	Salleh Nidzam	ESL	Yeonwoo and Salleh	74	79	79	76	73	381	76.20	2.48
123=	Prosper-Michael Ametu	ESL	KNUST Attakpah and Ametu	78	76	76	76	75	381	76.20	0.98
123=	Abigel Manaye		Cornell OM	75	78	78	74	76	381	76.20	1.60
123=	Mandy Luo	ESL	SISU Manphia	78	75	73	78	77	381	76.20	1.94
129=	Redacted	ESL	—	78	76	77	73	76	380	76.00	1.67
129=	Soh Kay Boon		NTU SG	77	76	79	72	76	380	76.00	2.28
129=	Shirsha Songshoptak	ESL	BUET No name cause our minds went blank	77	74	77	78	74	380	76.00	1.67
129=	Tania Acsinte	ESL, Novice	Sciences Po Wawaweewa	78	78	71	79	74	380	76.00	3.03
129=	Lovro Marušić	ESL	Zagreb LF	77	77	74	78	74	380	76.00	1.67
129=	Christine Ong		NTU HO	77	75	77	75	76	380	76.00	0.89
135=	Samuel Johnson		Chicago RJ	78	77	72	76	76	379	75.80	2.04
135=	Vincent Johnson-Attakpah	ESL	KNUST Attakpah and Ametu	79	75	76	75	74	379	75.80	1.72
135=	Sompoom Sunpaweravong	ESL	Chula A	76	76	75	76	76	379	75.80	0.40
135=	Sophia Sheng	ESL	SISU Manphia	77	75	74	78	75	379	75.80	1.47
135=	Rina Kajitani	ESL	Tokyo Garden Dog	78	77	76	75	73	379	75.80	1.72
140=	Ian Qiu		Yale-NUS We&#x27;re Both Asian We Swear	76	75	75	75	77	378	75.60	0.80
140=	Andrés Revelo	ESL	Rosario A (Sloterdijk)	72	79	76	75	76	378	75.60	2.24
140=	Yuichi Masaoka	ESL	Tokyo Garden Dog	77	76	76	77	72	378	75.60	1.85
140=	Supakorn Palawong	ESL	Thammasat Fluffy Quokka	77	76	75	72	78	378	75.60	2.06
140=	Sharleen Goh		NTU SG	76	76	79	72	75	378	75.60	2.24
140=	Michal Rubin	ESL	HUJI Hujilicious	78	75	73	76	76	378	75.60	1.62
146=	Sirikorn Indrayodha	ESL	Thammasat Fluffy Quokka	76	76	75	72	78	377	75.40	1.96
146=	Ishan Khire	Schools	Manthan you&#x27;re on your own kid	75	77	75	75	75	377	75.40	0.80
146=	Jessica Zapata	ESL	Rosario A (Sloterdijk)	74	77	75	74	77	377	75.40	1.36
149=	Paweł Miłkowski	ESL, Novice	Warsaw (XD)	73	77	74	76	76	376	75.20	1.47
149=	Bhoowit Lerttiendamrong	ESL	Chula A	74	76	75	75	76	376	75.20	0.75
149=	David Wang	Novice	Chicago LW	73	76	74	76	77	376	75.20	1.47
152=	Michael Kwak	Novice, Schools	HGHS no solvency	72	77	78	74	74	375	75.00	2.19
152=	Felix Reischl	ESL	Berlin A	76	76	77	73	73	375	75.00	1.67
152=	Esala Rajapakse	ESL, Novice	UL Team SL	77	74	74	75	75	375	75.00	1.10
152=	Olga Shevtsova	ESL	AUEB Voyager 1 &amp; 2	75	76	77	75	72	375	75.00	1.67
152=	Maro Samara	ESL, Novice	AUEB Voyager 1 &amp; 2	77	76	76	75	71	375	75.00	2.10
152=	Sahlah Anees	ESL, Novice	UL Team SL	79	74	74	74	74	375	75.00	2.00
158=	Ignacy Krzewski	ESL, Novice	Warsaw (XD)	71	77	74	75	77	374	74.80	2.23
158=	A K M Anindya Alam	ESL	BUET C	77	78	72	72	75	374	74.80	2.48
158=	Amanat Hossain Emon	ESL	BUET C	77	77	72	73	75	374	74.80	2.04
161=	Wilfred Wong	ESL	Durham WE	74	77	74	76	72	373	74.60	1.74
161=	Takeshi Matsuda	ESL	Palm	76	73	74	76	74	373	74.60	1.20
161=	Ignacio Peralta	ESL	Chile Flo and Peralta Inc.	76	72	76	77	72	373	74.60	2.15
161=	Alexis Baraka Mcharo	Novice	Monash D	73	76	76	75	73	373	74.60	1.36
161=	Sian McAllister	Novice	Chicago MP	76	75	72	76	74	373	74.60	1.50
