name	institution	adjcore	independent
Yarn &quot;super coach&quot; Shih	ANU		
Aisha O&#x27;Malley	Auckland		
Eze Nwakuba	MOUAU		
Rushdoon Ahmed	IISERB		
Ruth Selorme Acolatse	IHU		
Marina Kojić	Vienna		
Tejas Subramaniam	Stanford		
Sébastien Dunne Fulmer	TCD Hist		
Shudipto R. Ahmed	DU		
Parth Pandya	Southampton		
Emery Taylor	Bard		
Miriam Kalman	Weizmann		
Pranav Anand	Purdue		
Alex Lovell	—		
Davida Paul	Unilorin		
Joshua Cohen	Harvard		
Aleisha Lawrence	UNSW		
Donald &quot;Brent&quot; Schmidt	Hart House		
Jenny Li	Oxford		
Xiaochun “Jennette” Zhu	HKU		
Tengku Omar	Padjadjaran		
OGUNDARE TAYE TOBI	Unilorin		
Revan TJ	MUM		
Leauren Shiyuan Ji	UCL		
Tin Puljić	Zagreb		
Jessica Musulin	ANU		
Andrew Chen	Oxford		
Matthew Conley-Evans	ANU		
Geneva Roy	Oxford		
Anum Naseer	Kinnaird		
Ayafa Tonye	Covenant		
Comfort Ayelomi	Pretoria		
Hadar &quot;spoke about the rules&quot; Goldberg	Open University of I		
NJUGUNA MACHARIA	Strathmore		
Ruth Silcoff	McGill		
Nikola Michaylov	Leiden		
Aniket Chakravorty	Oxford		
Raffy Perez	UP Manila		
Srijan Poudel	Tribhuvan		
Namita Pandey	ILS Law		
Ameera Natasha Moore	IIUM		
Kiana Saint-Macary	McGill		
Tamkeen Nawab	Cambridge		
Elaye Karstadt	HUJI		
Mark Rothery	Sydney		
Chinmaya Mohan	—		
Adhipatya Singh	RML		
Mehul Joshi	SRCC		
Enting &quot;expected knowledge&quot; Lee	Cornell		
Beatrice Cuizon	Ateneo de Manila		
Mukhtar Tashkenbayev	DKW		
Paolo Taino	Ateneo de Manila		
Raymond Chuma-Onwuoku	LSE		
Emma Walker	GUU		
Juanita &quot;where is the draw?&quot; Hincapié Restrepo	Rosario		
Noluthando &quot;nicknames? really?&quot; Honono	—		
Udai Kamath	Macquarie		
Katarina Kuo	Sydney		
Joel Law	Monash		
Alice Bertoni	USP		
Abhishek Acharya	IIT Bombay		
Matt Aydin	Hart House		
William Smith	St. Andrews		
Uzair Tajuddin	Munich		
Helena Hecke	Tilbury		
Robert &quot;así así&quot; Barrie	Macquarie		
Ilija &quot;owe $ pay $&quot; Ivanišević	Belgrade		
Daniel W Berman	LSE		
Lucie Slamova	Manchester Debating		
Zi Cheng Huang	Bates		
Tunan	KUET		
Anna Shreder	Technion		
Niki Angelov	Sofia		
Prashasti Saxena	BPPU		
Alicja Filbier	Warsaw		
Milos &quot;no sí&quot; Marjanovic	Belgrade		
Pranav Kagalkar	—		
Klaudia Maciejewska	Tsinghua		
Pragyan	GUQ		
Jack Synnott	Oxford		
Jacob Silcoff	McGill		
Daisy Yan Sun	SUFE		
Brendon Chen	Sydney		
Shaquille Scott Davis	LSE		
Fernanda Crousillat Rayter	PUCP		
Teck &quot;within the debate&quot; Wei Tan	Oxford		
Daniel Maier-Gant	Auckland		
Josef Florendo	Ateneo de Manila		
Narayan Sharma	Delhi		
Aliya Fairuz	BRAC		
Ethan Curry	UWODS		
Diego Duarte	Rosario		
Craig McDonald	Cardiff		
Caoimhin Hamill	TCD Hist		
Jamie Salem Dalgety	GUU		
