Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Tin Puljić	ESL	Zagreb PT	84	83	85	84	86	422	84.40	1.02
2	Tejas Subramaniam		Ryan and Tejas	85	82	82	82	83	414	82.80	1.17
3	Paula Djaković	ESL	Zagreb PT	82	81	83	83	82	411	82.20	0.75
4=	Naomi Panovka		TCD Hist PW	81	82	84	82	81	410	82.00	1.10
4=	Ryan Lafferty		Ryan and Tejas	82	83	81	81	83	410	82.00	0.89
6	Ana Coman	ESL	Bucharest A	79	82	84	82	82	409	81.80	1.60
7	Maria Matcheva	ESL	Less stoicism motions than Astana 2	83	82	82	80	80	407	81.40	1.20
8=	Biser Angelov	ESL	Less stoicism motions than Astana 2	83	81	82	80	80	406	81.20	1.17
8=	Benjamin Diskin		Joker and Jokerfied	80	80	84	80	82	406	81.20	1.60
8=	Valeriu	ESL	Bucharest A	79	81	83	81	82	406	81.20	1.33
11	Daniela Williams		TCD Hist PW	81	80	82	80	82	405	81.00	0.89
12=	Aidan Woo		Oxford (B)arbie Boy and Oppenheimer	80	80	83	79	80	402	80.40	1.36
12=	Elena Radulescu	ESL	Oxford (B)arbie Boy and Oppenheimer	80	80	82	80	80	402	80.40	0.80
14=	Oscar Chaffey		Joker and Jokerfied	79	79	83	79	81	401	80.20	1.60
14=	Sarah Dewar		GUU Resurrectile Dysfunction	81	78	80	83	79	401	80.20	1.72
16	Bea Legaspi	ESL	bea so good at debate bad at team n	81	81	80	77	81	400	80.00	1.55
17=	Shaurya Chandravanshi		Meow meow - Pawrya and Purrina	80	79	81	77	81	398	79.60	1.50
17=	William Smith		St Andrews Malcolm&#x27;s (A)ngels	80	81	80	78	79	398	79.60	1.02
17=	Yishai		HUJI Who	78	80	79	81	80	398	79.60	1.02
17=	Marina Kojić	ESL	Meow meow - Pawrya and Purrina	79	79	82	77	81	398	79.60	1.74
21=	Max Jean-Paul Williams		4 reasons why wont cut it	80	77	82	80	78	397	79.40	1.74
21=	Conna Leslie-Keefe		The best burek in the world is in S	83	78	76	82	78	397	79.40	2.65
23=	Dung Nguyen		4 reasons why wont cut it	80	78	80	81	77	396	79.20	1.47
23=	Craig McDonald		McDonald and the Newman	81	77	78	82	78	396	79.20	1.94
23=	Evgenia Zubko	ESL	OSCA A	81	77	78	82	78	396	79.20	1.94
23=	Harvey Olden		GUU Resurrectile Dysfunction	81	77	79	82	77	396	79.20	2.04
27=	Naomi		HUJI Who	77	79	80	79	80	395	79.00	1.10
27=	Parth Pandya		St Andrews Malcolm&#x27;s (A)ngels	79	80	79	77	80	395	79.00	1.10
29	Fiachra Nolan		UCD Illiterate &amp; Unlawful Society	79	80	81	78	76	394	78.80	1.72
30	Branko Stajic		The best burek in the world is in S	81	77	76	81	78	393	78.60	2.06
31=	Way De		bea so good at debate bad at team n	81	77	79	76	79	392	78.40	1.74
31=	Emma Walker		GUU m(A)ster of your domain	80	79	77	80	76	392	78.40	1.62
31=	Joseph Hutchison		GUU m(A)ster of your domain	81	78	77	80	76	392	78.40	1.85
31=	Wayne Lim		NTU	77	81	78	79	77	392	78.40	1.50
31=	Ha Duy Thanh		NTU	76	82	79	78	77	392	78.40	2.06
31=	Anshuman Mishra	ESL	UFD India	77	75	80	81	79	392	78.40	2.15
37=	Hamza Nouman	ESL	McDonald and the Newman	80	76	78	80	77	391	78.20	1.60
37=	Rehan Haneef		TCD Hist Rehan and Ziyad	80	78	78	80	75	391	78.20	1.83
37=	Dino Wildi	ESL	UCD Illiterate &amp; Unlawful Society	79	80	80	77	75	391	78.20	1.94
40=	Benny		epistemic ass shit	79	80	78	75	78	390	78.00	1.67
40=	Sherry Shu	Novice	etc. etc.	79	78	76	78	79	390	78.00	1.10
40=	Guy Wolf	ESL	Technion A	79	80	77	76	78	390	78.00	1.41
40=	Stefan Milicescu	ESL	LSE C	79	77	79	78	77	390	78.00	0.89
40=	Eugene Akulov	ESL	OSCA A	79	77	77	80	77	390	78.00	1.26
40=	Aigerim Aibassova	ESL	NU S	78	78	76	79	79	390	78.00	1.10
46=	Helen		epistemic ass shit	78	80	78	75	78	389	77.80	1.60
46=	Pavle Antonijević	ESL	Jebiga, nema inspiracije	78	75	80	81	75	389	77.80	2.48
46=	Sachin Tissera	ESL	LSE C	80	76	79	79	75	389	77.80	1.94
46=	Nav Mohanty		Edinburgh Na(B) and Nav	79	77	79	79	75	389	77.80	1.60
46=	Yael Wolff	ESL	Technion A	79	80	77	76	77	389	77.80	1.47
46=	Andrew Liu	Novice	etc. etc.	81	78	76	77	77	389	77.80	1.72
46=	Laura Hallmark		What Happened to St Andrews’s Money	79	78	76	78	78	389	77.80	0.98
