team	result	side	ballot	adjudicators
Swing 2	1st	Opening Government	View Ballot	Teck Wei TanⒸ , Daniela Martuccelli , Frances Douglas Thomson
QMDS B	4th	Opening Opposition	View Ballot	Teck Wei TanⒸ , Daniela Martuccelli , Frances Douglas Thomson
Malaya 1	2nd	Closing Government	View Ballot	Teck Wei TanⒸ , Daniela Martuccelli , Frances Douglas Thomson
Science Po C	3rd	Closing Opposition	View Ballot	Teck Wei TanⒸ , Daniela Martuccelli , Frances Douglas Thomson
Copenhagen A	1st	Closing Opposition	View Ballot	Andrew ChenⒸ , Emma Bell , Luke Ashworth
Stanford DR	3rd	Closing Government	View Ballot	Andrew ChenⒸ , Emma Bell , Luke Ashworth
LSE B	2nd	Opening Opposition	View Ballot	Andrew ChenⒸ , Emma Bell , Luke Ashworth
Reading B	4th	Opening Government	View Ballot	Andrew ChenⒸ , Emma Bell , Luke Ashworth
Aberystwyth A	2nd	Closing Government	View Ballot	Geneva RoyⒸ , Jemimah Lee , Jiarui
Science Po A	4th	Closing Opposition	View Ballot	Geneva RoyⒸ , Jemimah Lee , Jiarui
Zagreb TR	1st	Opening Opposition	View Ballot	Geneva RoyⒸ , Jemimah Lee , Jiarui
KCL A	3rd	Opening Government	View Ballot	Geneva RoyⒸ , Jemimah Lee , Jiarui
Belgrade A	2nd	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Neva Ensminger-Holland , Sharon Jessy
Stanford TC	4th	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Neva Ensminger-Holland , Sharon Jessy
UCL BS	3rd	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Neva Ensminger-Holland , Sharon Jessy
LSE C	1st	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Neva Ensminger-Holland , Sharon Jessy
Stanford RD	2nd	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Fraser McConachie , Lucy McManus
UCL LN	1st	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Fraser McConachie , Lucy McManus
Reading C	4th	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Fraser McConachie , Lucy McManus
St Gallen A	3rd	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Fraser McConachie , Lucy McManus
Oxford B	2nd	Opening Opposition	View Ballot	Lucy MurphyⒸ , Matilda Middlehurst , Nicole Hua
Reading D	4th	Closing Government	View Ballot	Lucy MurphyⒸ , Matilda Middlehurst , Nicole Hua
Oxford C	3rd	Opening Government	View Ballot	Lucy MurphyⒸ , Matilda Middlehurst , Nicole Hua
KCL KJ	1st	Closing Opposition	View Ballot	Lucy MurphyⒸ , Matilda Middlehurst , Nicole Hua
Stanford CK	3rd	Closing Government	View Ballot	Naomi PanovkaⒸ , Jack Jillings , Muhammad Zufar Farhan Zuhdi
Oxford D	2nd	Closing Opposition	View Ballot	Naomi PanovkaⒸ , Jack Jillings , Muhammad Zufar Farhan Zuhdi
Oxford A	1st	Opening Government	View Ballot	Naomi PanovkaⒸ , Jack Jillings , Muhammad Zufar Farhan Zuhdi
QMDS C	4th	Opening Opposition	View Ballot	Naomi PanovkaⒸ , Jack Jillings , Muhammad Zufar Farhan Zuhdi
St Andrews CW	1st	Closing Government	View Ballot	Shireen AliⒸ , Amelia Potocka , Simiso Shabangu
UCL DT	3rd	Closing Opposition	View Ballot	Shireen AliⒸ , Amelia Potocka , Simiso Shabangu
LSE A	2nd	Opening Government	View Ballot	Shireen AliⒸ , Amelia Potocka , Simiso Shabangu
Bucharest B	4th	Opening Opposition	View Ballot	Shireen AliⒸ , Amelia Potocka , Simiso Shabangu
Stuttgart A	3rd	Closing Opposition	View Ballot	Zarina Bell-GamⒸ , Daniel Kam , Sara Jones
St Andrews BP	1st	Opening Government	View Ballot	Zarina Bell-GamⒸ , Daniel Kam , Sara Jones
Reading A	4th	Opening Opposition	View Ballot	Zarina Bell-GamⒸ , Daniel Kam , Sara Jones
QMDS A	2nd	Closing Government	View Ballot	Zarina Bell-GamⒸ , Daniel Kam , Sara Jones
Oxford F	1st	Opening Government	View Ballot	Matt CaitoⒸ , Chloe Lam , Seshiran Govender
KCL JJ	3rd	Closing Opposition	View Ballot	Matt CaitoⒸ , Chloe Lam , Seshiran Govender
UCL EW	4th	Closing Government	View Ballot	Matt CaitoⒸ , Chloe Lam , Seshiran Govender
Swing 1	2nd	Opening Opposition	View Ballot	Matt CaitoⒸ , Chloe Lam , Seshiran Govender
Imperial SM	4th	Closing Government	View Ballot	Isabelle SimⒸ , Alicia Wang , Dharani Shashidaran , Joseph Fennell
Science Po B	3rd	Opening Opposition	View Ballot	Isabelle SimⒸ , Alicia Wang , Dharani Shashidaran , Joseph Fennell
Science Po D	2nd	Opening Government	View Ballot	Isabelle SimⒸ , Alicia Wang , Dharani Shashidaran , Joseph Fennell
Oxford E	1st	Closing Opposition	View Ballot	Isabelle SimⒸ , Alicia Wang , Dharani Shashidaran , Joseph Fennell
