Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Tin Puljić	ESL	Zagreb TR	82	84	82	81	82	411	82.20	0.98
2	Ilija Ivanišević	ESL	Belgrade A	81	81	82	83	83	410	82.00	0.89
3	Mark Rothery		Oxford A	82	79	83	82	83	409	81.80	1.47
4	Manuel Machorro	ESL	LSE C	82	83	81	81	81	408	81.60	0.80
5=	Ðorđe Radosavljević	ESL	Belgrade A	80	82	81	81	82	406	81.20	0.75
5=	Jack Stanley		KCL KJ	82	83	80	78	83	406	81.20	1.94
7	William Smith		St Andrews CW	80	82	79	79	85	405	81.00	2.28
8=	Robert Raos	ESL	Zagreb TR	80	82	82	81	79	404	80.80	1.17
8=	Pranav Baskar		Oxford C	81	79	81	84	79	404	80.80	1.83
10	Emma Heijnen	ESL	LSE C	80	81	81	80	81	403	80.60	0.49
11=	Sachin Tissera	ESL	LSE A	79	81	81	81	80	402	80.40	0.80
11=	Aidan Woo		Oxford B	81	81	79	79	82	402	80.40	1.20
11=	Aniket Chakravorty		Oxford A	78	79	82	81	82	402	80.40	1.62
14=	Alexandra McCreadie		Aberystwyth A	81	76	81	82	81	401	80.20	2.14
14=	Elena Radulescu	ESL	Oxford B	82	82	79	78	80	401	80.20	1.60
14=	Gareth Lim		Oxford F	79	82	79	79	82	401	80.20	1.47
17=	Bharath Anantham		Oxford F	78	83	80	78	81	400	80.00	1.90
17=	Kamila Kawczak		KCL KJ	82	82	79	76	81	400	80.00	2.28
19	Rick Tan		UCL DT	78	79	82	82	78	399	79.80	1.83
20	Stefan Milicescu	ESL	LSE A	77	82	78	80	80	397	79.40	1.74
21=	Stella Stenou	ESL	UCL BS	78	80	81	80	77	396	79.20	1.47
21=	Ahmed Hussain		Oxford C	78	78	80	81	79	396	79.20	1.17
23=	Kuhan Karttikeyn	ESL	Malaya 1	74	83	78	80	80	395	79.00	2.97
23=	Ahsan	ESL	Malaya 1	74	84	77	80	80	395	79.00	3.35
23=	Parth Pandya		St Andrews BP	81	79	80	76	79	395	79.00	1.67
23=	Cara Shepherd		St Andrews CW	79	81	77	78	80	395	79.00	1.41
27=	Umar Buckus	ESL	UCL BS	77	81	81	78	77	394	78.80	1.83
27=	David Logan		Oxford D	79	79	80	77	79	394	78.80	0.98
29=	Alastair Bowyer		St Andrews BP	80	79	81	73	80	393	78.60	2.87
29=	Christian Da Silva		UCL DT	75	79	80	81	78	393	78.60	2.06
29=	Bonfilio Dazzle V Gyula	ESL, Novice	Oxford E	80	81	79	77	76	393	78.60	1.85
29=	Swing 1	Novice	Swing 1	78	80	79	77	79	393	78.60	1.02
33	Zach Godley-McAvoy		Aberystwyth A	79	74	79	80	80	392	78.40	2.24
34	Heather Li		Oxford D	78	80	80	74	79	391	78.20	2.23
35=	Martha Johanne Schou	ESL	Copenhagen A	77	79	80	76	77	389	77.80	1.47
35=	Jaypeth Balang Paul	ESL	KCL JJ	77	77	78	78	79	389	77.80	0.75
37=	Laura Pilmark	ESL	Copenhagen A	76	80	81	75	76	388	77.60	2.42
37=	Hamza Nouman	ESL	UCL LN	81	79	75	80	73	388	77.60	3.07
37=	Kieren Schmidt	ESL, Novice	St Gallen A	78	79	77	77	77	388	77.60	0.80
