team	result	side	ballot	adjudicators
Pipelines	2nd	Opening Opposition	View Ballot	Siddharth ChopraⒸ , Hamza Aziz
Swing 3	1st	Closing Government	View Ballot	Siddharth ChopraⒸ , Hamza Aziz
Yamnuska Wolfdog Sanctuary	3rd	Closing Opposition	View Ballot	Siddharth ChopraⒸ , Hamza Aziz
Bacon in Everything	4th	Opening Government	View Ballot	Siddharth ChopraⒸ , Hamza Aziz
gReEn EnERgy TrAnSItIon	1st	Closing Opposition	View Ballot	Alain HumuraⒸ , Chris Tiessen
Beef Industry	4th	Opening Government	View Ballot	Alain HumuraⒸ , Chris Tiessen
Rogers Place	3rd	Opening Opposition	View Ballot	Alain HumuraⒸ , Chris Tiessen
Its always those damn liberals...	2nd	Closing Government	View Ballot	Alain HumuraⒸ , Chris Tiessen
Telus Spark Centre	4th	Closing Government	View Ballot	Seniru RuwanpuraⒸ , Umayer Khan
Swing 1	1st	Closing Opposition	View Ballot	Seniru RuwanpuraⒸ , Umayer Khan
Cowboy Boots	3rd	Opening Government	View Ballot	Seniru RuwanpuraⒸ , Umayer Khan
Denim-on-Denim	2nd	Opening Opposition	View Ballot	Seniru RuwanpuraⒸ , Umayer Khan
Canola Farming	4th	Opening Opposition	View Ballot	Emily ShiⒸ , James Larkin
Long-Sleeved Flannel	3rd	Closing Opposition	View Ballot	Emily ShiⒸ , James Larkin
Terribly Maintained Highways	2nd	Opening Government	View Ballot	Emily ShiⒸ , James Larkin
Nyanko Oil Warriors	1st	Closing Government	View Ballot	Emily ShiⒸ , James Larkin
Talus Dome	3rd	Opening Government	View Ballot	Latisha LauⒸ , Diana Liu , Zongxin Liu (Galvin)Ⓣ
Royal Tyrrell Museum	4th	Closing Government	View Ballot	Latisha LauⒸ , Diana Liu , Zongxin Liu (Galvin)Ⓣ
West Edmonton Mall	1st	Closing Opposition	View Ballot	Latisha LauⒸ , Diana Liu , Zongxin Liu (Galvin)Ⓣ
The Saddledome	2nd	Opening Opposition	View Ballot	Latisha LauⒸ , Diana Liu , Zongxin Liu (Galvin)Ⓣ
BeaverTails	3rd	Opening Government	View Ballot	Caitlin MahⒸ , Aaryan Patel
Black Bear	2nd	Opening Opposition	View Ballot	Caitlin MahⒸ , Aaryan Patel
Pancake Breakfast	1st	Closing Opposition	View Ballot	Caitlin MahⒸ , Aaryan Patel
The Calgary Tower	4th	Closing Government	View Ballot	Caitlin MahⒸ , Aaryan Patel
Sulphur Mountain	2nd	Opening Government	View Ballot	Varun LodayaⒸ , Rachel Kaup
Stampede	1st	Closing Government	View Ballot	Varun LodayaⒸ , Rachel Kaup
Lake Louise	4th	Closing Opposition	View Ballot	Varun LodayaⒸ , Rachel Kaup
The Blue Ring	3rd	Opening Opposition	View Ballot	Varun LodayaⒸ , Rachel Kaup
Bandanas	2nd	Closing Opposition	View Ballot	Ken TieuⒸ , Brayden Griffin
Oil Sector	1st	Opening Opposition	View Ballot	Ken TieuⒸ , Brayden Griffin
Johnston Canyon	4th	Opening Government	View Ballot	Ken TieuⒸ , Brayden Griffin
Mount Temple	3rd	Closing Government	View Ballot	Ken TieuⒸ , Brayden Griffin
Prairie Parklands	4th	Closing Opposition	View Ballot	Hargun RekhiⒸ , Rithwik Bhattwar
Cowboy Hats	2nd	Opening Government	View Ballot	Hargun RekhiⒸ , Rithwik Bhattwar
Rodeo	1st	Closing Government	View Ballot	Hargun RekhiⒸ , Rithwik Bhattwar
Truck Nuts	3rd	Opening Opposition	View Ballot	Hargun RekhiⒸ , Rithwik Bhattwar
Swing 2	4th	Opening Government	View Ballot	Gregory KwokⒸ , Emma Zhang
Grizzly Bear	1st	Opening Opposition	View Ballot	Gregory KwokⒸ , Emma Zhang
Dodge Ram 1500	2nd	Closing Opposition	View Ballot	Gregory KwokⒸ , Emma Zhang
Wild Horses	3rd	Closing Government	View Ballot	Gregory KwokⒸ , Emma Zhang
Northern Peatlands	3rd	Closing Government	View Ballot	Neil Roy ChoudharyⒸ , Olivia Tucker
Heritage Park	4th	Opening Government	View Ballot	Neil Roy ChoudharyⒸ , Olivia Tucker
The River Valley	2nd	Closing Opposition	View Ballot	Neil Roy ChoudharyⒸ , Olivia Tucker
Wexit	1st	Opening Opposition	View Ballot	Neil Roy ChoudharyⒸ , Olivia Tucker
