team	result	side	ballot	adjudicators
Can&#x27;t spell argumentation without U	4th	Closing Opposition	View Ballot	Reana YanⒸ , Tousif Tanvir Alam
Naruto v Sasuke Moment	2nd	Closing Government	View Ballot	Reana YanⒸ , Tousif Tanvir Alam
Came back from getting milk	3rd	Opening Opposition	View Ballot	Reana YanⒸ , Tousif Tanvir Alam
The dota player says: &#x27;lol sucks&#x27;. 	1st	Opening Government	View Ballot	Reana YanⒸ , Tousif Tanvir Alam
Swing 1	2nd	Closing Opposition	View Ballot	Mishaal SaidⒸ , Ayushi Nasa , Matthew GodsloveⓉ
Pizza paratha	4th	Closing Government	View Ballot	Mishaal SaidⒸ , Ayushi Nasa , Matthew GodsloveⓉ
Dorvlo and Opoku: KNUST A	3rd	Opening Opposition	View Ballot	Mishaal SaidⒸ , Ayushi Nasa , Matthew GodsloveⓉ
Swing 2	1st	Opening Government	View Ballot	Mishaal SaidⒸ , Ayushi Nasa , Matthew GodsloveⓉ
Honk Honk Shoo Shoo Mimiki	2nd	Opening Government	View Ballot	Amna AminⒸ , Guilherme Pereira Rodrigues , Rishabh GuptaⓉ
airplanes is balanced and fair	2nd	Closing Opposition	View Ballot	Ram OrfanelⒸ , Aayuushi Bose , Jane Mentzinger
Preparing the best Hawaiian shirt f	1st	Closing Government	View Ballot	Ram OrfanelⒸ , Aayuushi Bose , Jane Mentzinger
Redacted	4th	Opening Opposition	View Ballot	Ram OrfanelⒸ , Aayuushi Bose , Jane Mentzinger
Labjian	3rd	Opening Government	View Ballot	Ram OrfanelⒸ , Aayuushi Bose , Jane Mentzinger
KCL folklore and reputation	4th	Closing Opposition	View Ballot	Meg KandarpaⒸ , Anshuman Singh Malhotra , Ryosui BannoⓉ
Gift Wrapped in our 4d Fit	1st	Closing Government	View Ballot	Meg KandarpaⒸ , Anshuman Singh Malhotra , Ryosui BannoⓉ
Hate Crazy American Judges	3rd	Opening Opposition	View Ballot	Meg KandarpaⒸ , Anshuman Singh Malhotra , Ryosui BannoⓉ
Two northeastern offer holders	2nd	Opening Government	View Ballot	Meg KandarpaⒸ , Anshuman Singh Malhotra , Ryosui BannoⓉ
belt and road	3rd	Closing Opposition	View Ballot	Ellie StephensonⒸ , Afzal Hussain , Olamilekan Oderanti
channeling oikawa energy	2nd	Closing Government	View Ballot	Ellie StephensonⒸ , Afzal Hussain , Olamilekan Oderanti
Nattu Nattu x Hurricane	4th	Opening Opposition	View Ballot	Ellie StephensonⒸ , Afzal Hussain , Olamilekan Oderanti
Chicago BH	1st	Opening Government	View Ballot	Ellie StephensonⒸ , Afzal Hussain , Olamilekan Oderanti
Sophie and Riv	1st	Closing Opposition	View Ballot	Amna AminⒸ , Guilherme Pereira Rodrigues , Rishabh GuptaⓉ
BDU A	3rd	Closing Government	View Ballot	Amna AminⒸ , Guilherme Pereira Rodrigues , Rishabh GuptaⓉ
Cameron Haters	4th	Opening Opposition	View Ballot	Amna AminⒸ , Guilherme Pereira Rodrigues , Rishabh GuptaⓉ
UCL KD	1st	Closing Opposition	View Ballot	Diego DuarteⒸ , Vivek Raj
hehe	2nd	Closing Government	View Ballot	Diego DuarteⒸ , Vivek Raj
Apex Nights	3rd	Opening Opposition	View Ballot	Diego DuarteⒸ , Vivek Raj
Jerblin	4th	Opening Government	View Ballot	Diego DuarteⒸ , Vivek Raj
EDS Yeehaw	3rd	Closing Opposition	View Ballot	Fernanda CrousillatⒸ , Harsh Battulwar
Boston Warriors	4th	Closing Government	View Ballot	Fernanda CrousillatⒸ , Harsh Battulwar
Observe the Sabbath or Get Stoned	1st	Opening Opposition	View Ballot	Fernanda CrousillatⒸ , Harsh Battulwar
Mostly harmless	2nd	Opening Government	View Ballot	Fernanda CrousillatⒸ , Harsh Battulwar
Osiris	2nd	Closing Opposition	View Ballot	Colson MerrillⒸ , Arya Arunav Dash
TAU E&amp;R	3rd	Closing Government	View Ballot	Colson MerrillⒸ , Arya Arunav Dash
Serving Kant	1st	Opening Opposition	View Ballot	Colson MerrillⒸ , Arya Arunav Dash
DU-A	4th	Opening Government	View Ballot	Colson MerrillⒸ , Arya Arunav Dash
Girlboos	3rd	Closing Opposition	View Ballot	Nir KligsbergⒸ , Pranjal Chakraborty
Out of Hibernation	4th	Closing Government	View Ballot	Nir KligsbergⒸ , Pranjal Chakraborty
Oxford AP	1st	Opening Opposition	View Ballot	Nir KligsbergⒸ , Pranjal Chakraborty
One Munch, Two Munch	2nd	Opening Government	View Ballot	Nir KligsbergⒸ , Pranjal Chakraborty
letting it linger	4th	Closing Opposition	View Ballot	Kat JansenⒸ , Cameron Miranda-Radbord
Nice extension, unfortunately I dre	1st	Closing Government	View Ballot	Kat JansenⒸ , Cameron Miranda-Radbord
DANEIS A(sleep)	3rd	Opening Opposition	View Ballot	Kat JansenⒸ , Cameron Miranda-Radbord
Dumbfuck Diggory	2nd	Opening Government	View Ballot	Kat JansenⒸ , Cameron Miranda-Radbord
