team	result	side	ballot	adjudicators
LSE A	4th	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , Vrinda Kudsia , Ivan ZhelevⓉ
LSE Soon Doon shoowdoown	3rd	Opening Government	View Ballot	Olja BošnjakⒸ , Henrietta Vanni
KUA Waterloo, knowing my fate is to br	3rd	Closing Opposition	View Ballot	Anna SawickaⒸ , Guyberli van Thuijl
RWTH Aachen THP the Potato icon	3rd	Opening Opposition	View Ballot	Nir KligsbergⒸ , Heather Ashworth
Zagreb A	3rd	Opening Government	View Ballot	Biser AngelovⒸ , Dylan Brady
Weizmann R&amp;D	2nd	Closing Government	View Ballot	Ananya VenkatesanⒸ , Ryosei Kobayashi
Weizmann K&amp;N	3rd	Opening Opposition	View Ballot	Ananya VenkatesanⒸ , Ryosei Kobayashi
TAU Reut &amp; Emanuel	4th	Closing Government	View Ballot	Erasmus Mawuli SegbefiaⒸ , Mischa Watson
UCD LawSoc (g)A(y chronically ill street chil	2nd	Opening Government	View Ballot	Sudiksha AggarwalⒸ , Maya Tamir
UCL B21	2nd	Opening Government	View Ballot	Nir KligsbergⒸ , Heather Ashworth
HUJI B	3rd	Closing Government	View Ballot	Petar ZnidarⒸ , Nina McCartney
HUJI I&amp;M	4th	Closing Opposition	View Ballot	Alexandra McCreadieⒸ , Rahul Datta , Shachar GoldⓉ
GUU Emm(A)	4th	Closing Opposition	View Ballot	Nar Sher MayⒸ , Benjamin J. Speth , Shachar EnteenⓉ
GUU Syphilis	2nd	Closing Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Vrinda Kudsia , Ivan ZhelevⓉ
GUU C(hlamydia)	1st	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Vrinda Kudsia , Ivan ZhelevⓉ
GUU D(ick infection)	4th	Opening Government	View Ballot	Zach Godley-McAvoyⒸ , Katie Kiely
TCD Hist Message us after the round for pic	3rd	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , Vrinda Kudsia , Ivan ZhelevⓉ
Cambridge karen is this still part of your d	1st	Closing Opposition	View Ballot	Lior SokolⒸ , Surjya Bhowmick , Colson MerrillⓉ
DTU A	4th	Closing Government	View Ballot	Biser AngelovⒸ , Dylan Brady
DTU SS	2nd	Closing Opposition	View Ballot	Erasmus Mawuli SegbefiaⒸ , Mischa Watson
St Andrews pron(A)talism stans	1st	Closing Government	View Ballot	Alexandra McCreadieⒸ , Rahul Datta , Shachar GoldⓉ
Up for Debate India	1st	Opening Opposition	View Ballot	Nar Sher MayⒸ , Benjamin J. Speth , Shachar EnteenⓉ
Berlin Bears	3rd	Opening Government	View Ballot	Erasmus Mawuli SegbefiaⒸ , Mischa Watson
TCD Phil B	3rd	Opening Government	View Ballot	Nar Sher MayⒸ , Benjamin J. Speth , Shachar EnteenⓉ
Cornell team	3rd	Closing Government	View Ballot	Zach Godley-McAvoyⒸ , Katie Kiely
Stanford PesFTA	2nd	Closing Government	View Ballot	Nar Sher MayⒸ , Benjamin J. Speth , Shachar EnteenⓉ
Stanford BQ	2nd	Closing Opposition	View Ballot	Olja BošnjakⒸ , Henrietta Vanni
Bucharest B	4th	Closing Government	View Ballot	Lior SokolⒸ , Surjya Bhowmick , Colson MerrillⓉ
Bucharest A	1st	Closing Opposition	View Ballot	Ananya VenkatesanⒸ , Ryosei Kobayashi
Imperial Maybe we wouldn&#x27;t be such feminist	2nd	Opening Government	View Ballot	Petar ZnidarⒸ , Nina McCartney
Imperial A	2nd	Opening Government	View Ballot	Anna SawickaⒸ , Guyberli van Thuijl
Warsaw Alas boyfriend and his girlfriend	2nd	Opening Opposition	View Ballot	Zach Godley-McAvoyⒸ , Katie Kiely
UCD L&amp;H (A)ren&#x27;t you guys the convenors? n	3rd	Opening Opposition	View Ballot	Alexandra McCreadieⒸ , Rahul Datta , Shachar GoldⓉ
UCD L&amp;H Who is Earl and why does he have a	3rd	Closing Opposition	View Ballot	Sudiksha AggarwalⒸ , Maya Tamir
UCD L&amp;H Novices? More like nobitches 😎	4th	Opening Government	View Ballot	Ananya VenkatesanⒸ , Ryosei Kobayashi
mom harem	2nd	Opening Opposition	View Ballot	Lior SokolⒸ , Surjya Bhowmick , Colson MerrillⓉ
Persuade Us	3rd	Opening Government	View Ballot	Lior SokolⒸ , Surjya Bhowmick , Colson MerrillⓉ
The dark poet and the unbearable r	4th	Closing Opposition	View Ballot	Petar ZnidarⒸ , Nina McCartney
Swang	1st	Opening Opposition	View Ballot	Petar ZnidarⒸ , Nina McCartney
Dumbfuck Daniel	2nd	Closing Opposition	View Ballot	Biser AngelovⒸ , Dylan Brady
Yet another Canadian job stolen by	1st	Opening Opposition	View Ballot	Biser AngelovⒸ , Dylan Brady
Young Korean boys from everywhere	4th	Closing Government	View Ballot	Olja BošnjakⒸ , Henrietta Vanni
can we go as ‘asian debate hyperac	1st	Opening Opposition	View Ballot	Olja BošnjakⒸ , Henrietta Vanni
3x the charm	1st	Opening Opposition	View Ballot	Erasmus Mawuli SegbefiaⒸ , Mischa Watson
Troy &amp; Abed In the Morning	1st	Closing Opposition	View Ballot	Zach Godley-McAvoyⒸ , Katie Kiely
Big Academic Words and High-Burden	2nd	Opening Government	View Ballot	Alexandra McCreadieⒸ , Rahul Datta , Shachar GoldⓉ
Yellow Fever	4th	Closing Government	View Ballot	Sudiksha AggarwalⒸ , Maya Tamir
British Paramilitary debating	1st	Opening Opposition	View Ballot	Sudiksha AggarwalⒸ , Maya Tamir
Raven Hedgehog	4th	Closing Government	View Ballot	Anna SawickaⒸ , Guyberli van Thuijl
Oxford the Greatest Gunslingers do	1st	Opening Opposition	View Ballot	Anna SawickaⒸ , Guyberli van Thuijl
NU S	1st	Closing Opposition	View Ballot	Nir KligsbergⒸ , Heather Ashworth
UW Blackpink	4th	Closing Government	View Ballot	Nir KligsbergⒸ , Heather Ashworth
