team	result	side	ballot	adjudicators
Belgrade D	1st	Opening Government	View Ballot	Craig McDonaldⒸ , Gal Mercado , Klaudia Maciejewska
Imperial B	3rd	Opening Opposition	View Ballot	Craig McDonaldⒸ , Gal Mercado , Klaudia Maciejewska
St Andrews A	2nd	Closing Government	View Ballot	Craig McDonaldⒸ , Gal Mercado , Klaudia Maciejewska
Belgrade Arts A	4th	Closing Opposition	View Ballot	Craig McDonaldⒸ , Gal Mercado , Klaudia Maciejewska
Reichman D	4th	Opening Government	View Ballot	Alex MillerⒸ , Adina Valman , Alex Weber-Herrmann , Brina Verdnik , Arina DumitruⓉ
Reichman B	1st	Opening Opposition	View Ballot	Alex MillerⒸ , Adina Valman , Alex Weber-Herrmann , Brina Verdnik , Arina DumitruⓉ
Bristol C	2nd	Closing Government	View Ballot	Alex MillerⒸ , Adina Valman , Alex Weber-Herrmann , Brina Verdnik , Arina DumitruⓉ
TUT A	3rd	Closing Opposition	View Ballot	Alex MillerⒸ , Adina Valman , Alex Weber-Herrmann , Brina Verdnik , Arina DumitruⓉ
TDV Cicero B	3rd	Opening Government	View Ballot	Anna SawickaⒸ , Patryk Biernat , Yair Jabotinsky , Katerina ArmataⓉ
Imperial C	1st	Opening Opposition	View Ballot	Anna SawickaⒸ , Patryk Biernat , Yair Jabotinsky , Katerina ArmataⓉ
UDS B	2nd	Closing Government	View Ballot	Anna SawickaⒸ , Patryk Biernat , Yair Jabotinsky , Katerina ArmataⓉ
Porto A	4th	Closing Opposition	View Ballot	Anna SawickaⒸ , Patryk Biernat , Yair Jabotinsky , Katerina ArmataⓉ
BCE A	4th	Opening Government	View Ballot	Alicia WangⒸ , Benjamin J. Speth , Giannis Paschos , Luka Mišić
Ljubljana B	2nd	Opening Opposition	View Ballot	Alicia WangⒸ , Benjamin J. Speth , Giannis Paschos , Luka Mišić
Durham A	1st	Closing Government	View Ballot	Alicia WangⒸ , Benjamin J. Speth , Giannis Paschos , Luka Mišić
Weizmann B	3rd	Closing Opposition	View Ballot	Alicia WangⒸ , Benjamin J. Speth , Giannis Paschos , Luka Mišić
OpenU A	2nd	Opening Government	View Ballot	Isabella FreelandⒸ , Josef Moscovici , Lovro Marušić
Weizmann A	3rd	Opening Opposition	View Ballot	Isabella FreelandⒸ , Josef Moscovici , Lovro Marušić
UNWE A	1st	Closing Government	View Ballot	Isabella FreelandⒸ , Josef Moscovici , Lovro Marušić
UCD L&amp;H A	4th	Closing Opposition	View Ballot	Isabella FreelandⒸ , Josef Moscovici , Lovro Marušić
NU S	3rd	Opening Government	View Ballot	Martha McKinney-PerryⒸ , Daniel Khlebnikov , Lucy McManus
Aberdeen A	2nd	Opening Opposition	View Ballot	Martha McKinney-PerryⒸ , Daniel Khlebnikov , Lucy McManus
UCD L&amp;H B	1st	Closing Government	View Ballot	Martha McKinney-PerryⒸ , Daniel Khlebnikov , Lucy McManus
HUJI C	4th	Closing Opposition	View Ballot	Martha McKinney-PerryⒸ , Daniel Khlebnikov , Lucy McManus
Zagreb C	2nd	Opening Government	View Ballot	Jack PalmerⒸ , Brynley Hamer , Hadar Goldberg
Bucharest A	1st	Opening Opposition	View Ballot	Jack PalmerⒸ , Brynley Hamer , Hadar Goldberg
GUU A	3rd	Closing Government	View Ballot	Jack PalmerⒸ , Brynley Hamer , Hadar Goldberg
Reichman A	4th	Closing Opposition	View Ballot	Jack PalmerⒸ , Brynley Hamer , Hadar Goldberg
Technion C	2nd	Opening Government	View Ballot	Lucy MurphyⒸ , Michał Boruta , Tom Kuson
Cambridge B	3rd	Opening Opposition	View Ballot	Lucy MurphyⒸ , Michał Boruta , Tom Kuson
Belgrade A	1st	Closing Government	View Ballot	Lucy MurphyⒸ , Michał Boruta , Tom Kuson
LSE B	4th	Closing Opposition	View Ballot	Lucy MurphyⒸ , Michał Boruta , Tom Kuson
LSE A	2nd	Opening Government	View Ballot	Tin PuljićⒸ , Linsey Keur , Mati Wójtowicz
Belgrade B	3rd	Opening Opposition	View Ballot	Tin PuljićⒸ , Linsey Keur , Mati Wójtowicz
Technion A	1st	Closing Government	View Ballot	Tin PuljićⒸ , Linsey Keur , Mati Wójtowicz
UCL A	4th	Closing Opposition	View Ballot	Tin PuljićⒸ , Linsey Keur , Mati Wójtowicz
Weizmann D	3rd	Opening Government	View Ballot	Lior gonenⒸ , Anabel Dautović , Shachar Enteen , Yi Zoe Zhu Wang
GUU B	2nd	Opening Opposition	View Ballot	Lior gonenⒸ , Anabel Dautović , Shachar Enteen , Yi Zoe Zhu Wang
RRIS B	1st	Closing Government	View Ballot	Lior gonenⒸ , Anabel Dautović , Shachar Enteen , Yi Zoe Zhu Wang
Sciences Po D	4th	Closing Opposition	View Ballot	Lior gonenⒸ , Anabel Dautović , Shachar Enteen , Yi Zoe Zhu Wang
Cardiff A	2nd	Opening Government	View Ballot	Katie KielyⒸ , Keren Shacham , Nimrod Schlezinger , Yahel ranel
Weizmann E	3rd	Opening Opposition	View Ballot	Katie KielyⒸ , Keren Shacham , Nimrod Schlezinger , Yahel ranel
HUJI D	4th	Closing Government	View Ballot	Katie KielyⒸ , Keren Shacham , Nimrod Schlezinger , Yahel ranel
Warsaw C	1st	Closing Opposition	View Ballot	Katie KielyⒸ , Keren Shacham , Nimrod Schlezinger , Yahel ranel
TCD Hist PW	2nd	Opening Government	View Ballot	Ilija IvaniševićⒸ , Ahmed El Sammak , Ananya Venkatesan
Oxford D	3rd	Opening Opposition	View Ballot	Ilija IvaniševićⒸ , Ahmed El Sammak , Ananya Venkatesan
Sofia A	4th	Closing Government	View Ballot	Ilija IvaniševićⒸ , Ahmed El Sammak , Ananya Venkatesan
HUJI A	1st	Closing Opposition	View Ballot	Ilija IvaniševićⒸ , Ahmed El Sammak , Ananya Venkatesan
Haifa C	3rd	Opening Government	View Ballot	Heather AshworthⒸ , Joyce Haane , Juraj Karaman , Weronika Hupert
Reichman C	2nd	Opening Opposition	View Ballot	Heather AshworthⒸ , Joyce Haane , Juraj Karaman , Weronika Hupert
Heidelberg A	1st	Closing Government	View Ballot	Heather AshworthⒸ , Joyce Haane , Juraj Karaman , Weronika Hupert
OpenU E	4th	Closing Opposition	View Ballot	Heather AshworthⒸ , Joyce Haane , Juraj Karaman , Weronika Hupert
Technion D	1st	Opening Government	View Ballot	Jack SynnottⒸ , Eli Ferrell , Liam Urban
Haifa A	2nd	Opening Opposition	View Ballot	Jack SynnottⒸ , Eli Ferrell , Liam Urban
TCD Phil B	4th	Closing Government	View Ballot	Jack SynnottⒸ , Eli Ferrell , Liam Urban
TDV Cicero A	3rd	Closing Opposition	View Ballot	Jack SynnottⒸ , Eli Ferrell , Liam Urban
NSDV Trivium A	3rd	Opening Government	View Ballot	Jessica MusulinⒸ , Amichay Even Chen , Theo Dorfner
Oxford E	1st	Opening Opposition	View Ballot	Jessica MusulinⒸ , Amichay Even Chen , Theo Dorfner
KCL B	2nd	Closing Government	View Ballot	Jessica MusulinⒸ , Amichay Even Chen , Theo Dorfner
BGU A	4th	Closing Opposition	View Ballot	Jessica MusulinⒸ , Amichay Even Chen , Theo Dorfner
Cambridge C	4th	Opening Government	View Ballot	Daan SpacklerⒸ , Helena Hecke , Vasilije Milačić
Tel Aviv A	1st	Opening Opposition	View Ballot	Daan SpacklerⒸ , Helena Hecke , Vasilije Milačić
Oxford A	2nd	Closing Government	View Ballot	Daan SpacklerⒸ , Helena Hecke , Vasilije Milačić
Oxford C	3rd	Closing Opposition	View Ballot	Daan SpacklerⒸ , Helena Hecke , Vasilije Milačić
St Andrews B	3rd	Opening Government	View Ballot	Jack StanleyⒸ , Nina McC , Roy Schulman
LSE C	1st	Opening Opposition	View Ballot	Jack StanleyⒸ , Nina McC , Roy Schulman
OpenU B	4th	Closing Government	View Ballot	Jack StanleyⒸ , Nina McC , Roy Schulman
TCD Hist CF	2nd	Closing Opposition	View Ballot	Jack StanleyⒸ , Nina McC , Roy Schulman
UDS A	1st	Opening Government	View Ballot	Inbal GevaⒸ , Daniël Hooimeijer , Oisín Ward , Pia Zupančič , Nour Al-TzaratliⓉ
KNU Ukraine B	2nd	Opening Opposition	View Ballot	Inbal GevaⒸ , Daniël Hooimeijer , Oisín Ward , Pia Zupančič , Nour Al-TzaratliⓉ
Colman L&amp;O	3rd	Closing Government	View Ballot	Inbal GevaⒸ , Daniël Hooimeijer , Oisín Ward , Pia Zupančič , Nour Al-TzaratliⓉ
Warsaw D	4th	Closing Opposition	View Ballot	Inbal GevaⒸ , Daniël Hooimeijer , Oisín Ward , Pia Zupančič , Nour Al-TzaratliⓉ
Belgrade E	4th	Opening Government	View Ballot	Ido Bar-SellaⒸ , Ananya Krishna , Sultan Satybaldy , Diana HalbertⓉ
Sciences Po B	3rd	Opening Opposition	View Ballot	Ido Bar-SellaⒸ , Ananya Krishna , Sultan Satybaldy , Diana HalbertⓉ
LSE D	2nd	Closing Government	View Ballot	Ido Bar-SellaⒸ , Ananya Krishna , Sultan Satybaldy , Diana HalbertⓉ
GUU C	1st	Closing Opposition	View Ballot	Ido Bar-SellaⒸ , Ananya Krishna , Sultan Satybaldy , Diana HalbertⓉ
DK Wien D	2nd	Opening Government	View Ballot	Lukas EigėlisⒸ , Ashlyn Cheong , Benny Froggett , El-ly NamatiniaⓉ
NU A	3rd	Opening Opposition	View Ballot	Lukas EigėlisⒸ , Ashlyn Cheong , Benny Froggett , El-ly NamatiniaⓉ
Berlin B	4th	Closing Government	View Ballot	Lukas EigėlisⒸ , Ashlyn Cheong , Benny Froggett , El-ly NamatiniaⓉ
GUU D	1st	Closing Opposition	View Ballot	Lukas EigėlisⒸ , Ashlyn Cheong , Benny Froggett , El-ly NamatiniaⓉ
