team	result	side	ballot	adjudicators
Cambridge karen is this still part of your d	2nd	Opening Opposition	View Ballot	Marina KojićⒸ , Colson Merrill
Cornell this is my mental health prep comp	1st	Opening Government	View Ballot	Alastair BowyerⒸ , Anna Sawicka , Kaushiki Ishwar
Queen&#x27;s sheeping	4th	Opening Government	View Ballot	Ayal MorⒸ , Mischa Watson
Haifa Too many comps, not enough names	1st	Closing Government	View Ballot	V SayiramⒸ , Toru Oga
Exeter Inferiority complEXE	3rd	Opening Government	View Ballot	V SayiramⒸ , Toru Oga
Exeter EXEtra - Ordinary	4th	Opening Opposition	View Ballot	Martha McKinney-PerryⒸ , Brian Kam , Eli Ferrell
LSE RIP Arthur you’d have enjoyed euro	3rd	Opening Government	View Ballot	Fiachra NolanⒸ , Sudiksha Aggarwal
LSE Brown Man shows White Boy what rea	3rd	Closing Opposition	View Ballot	Helena HeckeⒸ , Shashwat Dash
St Andrews (-B ± √(B² - 4ac) )/2a	4th	Opening Opposition	View Ballot	V SayiramⒸ , Toru Oga
St Andrews A(ll quarterbacks will break their	2nd	Closing Opposition	View Ballot	V SayiramⒸ , Toru Oga
UCD L&amp;H We could be a small company by EU	2nd	Opening Opposition	View Ballot	Alastair BowyerⒸ , Anna Sawicka , Kaushiki Ishwar
UCD L&amp;H Hope we wake up for r1	1st	Opening Opposition	View Ballot	Anna ShrederⒸ , Adam Mallis , Saatvik Dabral
BDU utilitarian arguments disguised as	4th	Opening Government	View Ballot	Anna ShrederⒸ , Adam Mallis , Saatvik Dabral
BDU democratic principles disguised as	4th	Closing Opposition	View Ballot	Maya TamirⒸ , Jessica Afi Fayose , Ryosei Kobayashi
Princeton Kashmiri Pulao	1st	Opening Government	View Ballot	Marina KojićⒸ , Colson Merrill
Princeton Pensive Meerkats	3rd	Closing Opposition	View Ballot	Martha McKinney-PerryⒸ , Brian Kam , Eli Ferrell
EUDU B(asic, safe, vanilla sex @guu)	4th	Closing Opposition	View Ballot	Alastair BowyerⒸ , Anna Sawicka , Kaushiki Ishwar
TCD Hist Rehan and Ziyad	2nd	Opening Opposition	View Ballot	Atyia Al-HammudⒸ , Amitai Ben Porat
Imperial Principled Wankers	1st	Opening Opposition	View Ballot	Fiachra NolanⒸ , Sudiksha Aggarwal
Imperial A(nother weekend)	2nd	Closing Opposition	View Ballot	Anna ShrederⒸ , Adam Mallis , Saatvik Dabral
GUU D(on’t even think about mentioning	2nd	Opening Opposition	View Ballot	Maya TamirⒸ , Jessica Afi Fayose , Ryosei Kobayashi
GUU C(an’t talk about that one thing)	4th	Closing Opposition	View Ballot	Alex McCreadieⒸ , Henrietta Vanni
GUU A(bsolutely can&#x27;t reference it)	1st	Closing Government	View Ballot	Martha McKinney-PerryⒸ , Brian Kam , Eli Ferrell
DTU A	2nd	Closing Opposition	View Ballot	Đorđe RadosavljevićⒸ , Cordelia Thompson , Theo Dorfner
UNWE Glasgow Ancients for poor people	2nd	Opening Opposition	View Ballot	Jack StanleyⒸ , Ananya Krishna , Katie Kiely
TCD Phil One of us was at Cop 26 in Glasgow	2nd	Opening Government	View Ballot	Martha McKinney-PerryⒸ , Brian Kam , Eli Ferrell
Zagreb Why dont you just meet me in the L	1st	Opening Government	View Ballot	Đorđe RadosavljevićⒸ , Cordelia Thompson , Theo Dorfner
TU Delft Liqian Legion	3rd	Closing Government	View Ballot	Anna ShrederⒸ , Adam Mallis , Saatvik Dabral
IIT Bombay South South Co-Operation	3rd	Closing Opposition	View Ballot	Atyia Al-HammudⒸ , Amitai Ben Porat
Cambridge A(nalysis lacking)	2nd	Opening Opposition	View Ballot	Pranav AnandⒸ , Heather Ashworth , Nina McCartney
Sydney ESBD	1st	Closing Government	View Ballot	Pranav AnandⒸ , Heather Ashworth , Nina McCartney
NMIMS Hate shitty foreign accents	4th	Opening Government	View Ballot	Atyia Al-HammudⒸ , Amitai Ben Porat
Budapest The People	4th	Opening Opposition	View Ballot	Tal RatnerⒸ , Medhavini Singh
Stanford Average American moment	1st	Closing Opposition	View Ballot	Tal RatnerⒸ , Medhavini Singh
UCLA Khaki Shorts Respecters	4th	Closing Opposition	View Ballot	Marina KojićⒸ , Colson Merrill
