Rk	name	category	team	institution	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Tejas Subramaniam		Stanford AS	SU	81	85	82	83	81	412	82.40	1.50
2	Seamus Allen	Novice	Stanford AS	SU	78	85	80	81	79	403	80.60	2.42
3	Abhishek Acharya		Chandraywan-Aachar samporn soch vic	—	79	81	78	81	79	398	79.60	1.20
4	Minami Matsushima		Osaka A	OU	81	78	79	81	78	397	79.40	1.36
5	Yashovardhan Balakrishnan		Dudh si safedi nirma se aaye	VIT	77	80	78	80	81	396	79.20	1.47
6=	Adi Narayanan		Old Monk x Ice Burst	—	78	82	77	79	79	395	79.00	1.67
6=	Arvind Kumar		Dudh si safedi nirma se aaye	VIT	77	81	78	79	80	395	79.00	1.41
8=	Prathik Karthikeyan		Old Monk x Ice Burst	—	79	82	76	77	80	394	78.80	2.14
8=	Suhani Duhan		MH	MHUD	79	79	79	79	78	394	78.80	0.40
10	Medhavini Singh		MH	MHUD	79	78	79	80	77	393	78.60	1.02
11=	Omkar Joshi		Current Status Quo	—	80	78	75	78	81	392	78.40	2.06
11=	Ritabrata Mitra		Eto Chudurbudur Ken ?	—	79	81	79	76	77	392	78.40	1.74
13=	Priya Pitre		Current Status Quo	—	80	80	74	78	79	391	78.20	2.23
13=	Chelsea Fernandez		Comeback ng mga anti-man na kalahok	DLSU SHS	75	80	77	79	80	391	78.20	1.94
13=	Pranjal Chakraborty		IIT B	IITB	78	84	76	77	76	391	78.20	2.99
13=	John Carlo C. Oboy		UPD Graphic Design is Our Passion	UPD	78	78	76	78	81	391	78.20	1.60
13=	Manasija Das		Washing Powder Nirma	VIT	81	76	78	76	80	391	78.20	2.04
13=	Avyay MC		Washing Powder Nirma	VIT	81	76	78	77	79	391	78.20	1.72
19=	Atriya Dey	Novice	IIT B	IITB	77	83	77	77	76	390	78.00	2.53
19=	Maria Isabel Y. Roque		UPD Graphic Design is Our Passion	UPD	77	78	76	78	81	390	78.00	1.67
19=	Liam Joson		Comeback ng mga anti-man na kalahok	DLSU SHS	75	78	77	79	81	390	78.00	2.00
22=	Ahan Basu		BP is the because	SXCK	79	78	74	81	76	388	77.60	2.42
22=	Srijit Talukdar		Eto Chudurbudur Ken ?	—	78	80	79	75	76	388	77.60	1.85
22=	Yuta Yamagishi		Osaka A	OU	80	76	78	78	76	388	77.60	1.50
22=	Martin Anthony Lim		MiniMorty and Bigger Makmak	DLSU SHS	80	77	77	77	77	388	77.60	1.20
22=	Isagani Miguel Ranillo		gah! goo! par! eh!	DLSU SHS	76	80	78	79	75	388	77.60	1.85
27=	Sneha Verma		It’s 4 AM at 107	—	78	78	78	77	76	387	77.40	0.80
27=	Tejas Goyal		It’s 4 AM at 107	—	78	78	77	78	76	387	77.40	0.80
27=	Yohann Titus Mathew		Machas	NLIUB	74	80	78	77	78	387	77.40	1.96
27=	Joaquin Macapinlac		MiniMorty and Bigger Makmak	DLSU SHS	79	78	77	77	76	387	77.40	1.02
27=	Reyzandro Unay II		gah! goo! par! eh!	DLSU SHS	76	80	77	79	75	387	77.40	1.85
27=	Mallika Sharma		NUJS	NUJS	73	79	80	78	77	387	77.40	2.42
27=	Nitiksha Tyagi		We’re mostly adjes if we don’t brea	—	81	78	79	70	79	387	77.40	3.83
27=	Riya Varghese		We’re mostly adjes if we don’t brea	—	81	78	78	71	79	387	77.40	3.38
27=	Kavya Ramasubramanian		Kannis Film Festival	GNLU	77	79	76	77	78	387	77.40	1.02
27=	Kamakshi Jaiswal		Break(down)	IPCW	77	78	77	77	78	387	77.40	0.49
37=	Aya Batallones		Paid Churro	UPD	78	74	79	77	78	386	77.20	1.72
37=	Surabhi Hemant Chavan		GLC-SXC Cross	—	76	79	78	74	79	386	77.20	1.94
37=	Siddharth Sisodia		Kheech Lenge	NLIUB	79	76	79	76	76	386	77.20	1.47
37=	Garvit Gosain		Sabki Pasand Nirma!	VIT	79	76	78	76	77	386	77.20	1.17
37=	Sumana Alladi	Novice	The ConChordants	MSE	78	79	78	74	77	386	77.20	1.72
37=	Vadita Agarwal		NUJS	NUJS	73	79	80	78	76	386	77.20	2.48
37=	Kunal Bhattacharyya	Novice	Marx-less Marksheet	SXCK	77	76	77	78	78	386	77.20	0.75
44=	Divya Yadav		Indecisive ambassadors	—	78	78	76	76	77	385	77.00	0.89
44=	Soumyadeep Ghosh		BP is the because	SXCK	78	78	74	80	75	385	77.00	2.19
44=	Roktim Borah		PATIENT ZERO	RCL	74	78	78	77	78	385	77.00	1.55
44=	Sanyukta Fauzdar		NLS Grr	NLSIU	76	78	77	78	76	385	77.00	0.89
44=	Aarohi Chaudhuri		NLS Grr	NLSIU	76	77	78	78	76	385	77.00	0.89
44=	Vagarth Dvivedi		Bun Maska	BITSG	78	76	78	79	74	385	77.00	1.79
44=	Abu Zar Talib		Bun Maska	BITSG	78	76	79	78	74	385	77.00	1.79
44=	Sarthak Sarkar		Marx-less Marksheet	SXCK	77	77	76	77	78	385	77.00	0.63
52=	Rubaiyat Samad		Getting rekt	—	77	76	77	79	75	384	76.80	1.33
52=	YASH YADUNATH ALVA		Ninnn…	RCL	77	76	79	74	78	384	76.80	1.72
52=	Lia Denise Tan		UPLB Teambulan	UPLB	78	77	75	78	76	384	76.80	1.17
52=	Arjun S		Grand Theft Auto	GNLU	79	75	76	79	75	384	76.80	1.83
52=	Arjun Balaji	Novice	RVCE B	RVCE	74	77	78	78	77	384	76.80	1.47
52=	Vishal Hugar	Novice	RVCE B	RVCE	74	77	78	77	78	384	76.80	1.47
