Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Tin Puljić	ESL	Foucault sam ti mamu	84	85	81	84	84	418	83.60	1.36
2	Tejas Subramaniam		Danny and Dhruva	84	82	83	82	84	415	83.00	0.89
3	Naomi Panovka		Naomi shrunk Maxwell	82	83	82	81	85	413	82.60	1.36
4=	Rumen Marinov	ESL	We are not sinless, but we are rea	82	81	82	83	83	411	82.20	0.75
4=	Matt Mauriello		Danny and Dhruva	82	81	82	82	84	411	82.20	0.98
6=	Alek Selveliev	ESL	Sofia Purely Crazy	83	81	81	82	82	409	81.80	0.75
6=	Robert Raos	ESL	Foucault sam ti mamu	81	83	80	82	83	409	81.80	1.17
8	Pranav Anand		Ack I always suck at this (slowed	82	82	80	81	81	406	81.20	0.75
9	Nikolay Angelov	ESL	Sofia Purely Crazy	80	80	82	81	82	405	81.00	0.89
10	Pranav Baskar		Oxford AP	80	84	82	79	78	403	80.60	2.15
11=	Mikko Vitug		Ateneo RK Sanchez and &quot;Helicopter&quot; Vitug	79	78	82	80	83	402	80.40	1.85
11=	Hishah Khalishah	ESL, EFL	Ack I always suck at this (slowed	81	81	79	80	81	402	80.40	0.80
13=	Valentin Katzarov	Novice, ESL	We are not sinless, but we are rea	77	80	81	80	83	401	80.20	1.94
13=	William Smith		Bumpy CV Flatbreads	81	81	80	78	81	401	80.20	1.17
13=	Ahmed Hussain		Oxford AP	80	82	81	80	78	401	80.20	1.33
16=	Wajeeh “Baby Keem” Maaz		Dung made you hear the case but he	78	80	79	79	82	398	79.60	1.36
16=	Sebastian DeLorenzo		Naomi shrunk Maxwell	78	80	78	79	83	398	79.60	1.85
16=	Sheryar Fazal	Novice	Princeton Kashmiri Pulao	80	81	78	79	80	398	79.60	1.02
19	Biser Angelov	ESL, EFL	What says Odesa more than Jewish a	80	83	76	80	78	397	79.40	2.33
20	Kaustubh Jain	Novice	Princeton Kashmiri Pulao	79	81	77	78	81	396	79.20	1.60
21=	Amitai Ben Porat	ESL, EFL	What says Odesa more than Jewish a	79	83	75	81	77	395	79.00	2.83
21=	RK Sanchez		Ateneo RK Sanchez and &quot;Helicopter&quot; Vitug	79	76	81	79	80	395	79.00	1.67
21=	Alastair Bowyer		Bumpy CV Flatbreads	80	80	79	76	80	395	79.00	1.55
21=	Zach Godley-McAvoy		We didn’t lose, we just went AWOL	79	79	78	79	80	395	79.00	0.63
25=	Ayal Mor	ESL	Baek for Mor	80	78	78	77	81	394	78.80	1.47
25=	Nav Mohanty		We didn’t lose, we just went AWOL	78	80	78	79	79	394	78.80	0.75
27	Daanish Sonawala		Imperial Of course a British institution is	77	81	76	78	81	393	78.60	2.06
28=	Omar Shalabby	ESL	Reichman A	81	77	78	78	78	392	78.40	1.36
28=	Laura Marie		Imperial Of course a British institution is	78	81	77	76	80	392	78.40	1.85
30=	Dũng Nguyễn		Dung made you hear the case but he	78	78	79	76	80	391	78.20	1.33
30=	Amy Chang	Novice	Stanford TC	78	77	79	77	80	391	78.20	1.17
32=	Jaya Jain		Not Again, Surely!	79	78	78	77	78	390	78.00	0.63
32=	Amelia Potocka		Oxford sk8er girls	77	83	76	76	78	390	78.00	2.61
32=	Flora Baek		Baek for Mor	80	79	77	74	80	390	78.00	2.28
32=	Benjamin Thomas	Novice	Stanford TC	79	77	77	78	79	390	78.00	0.89
32=	Souradip Sen		Not Again, Surely!	80	77	78	77	78	390	78.00	1.10
32=	Himan Nayak	ESL	DTU A	76	78	80	78	78	390	78.00	1.26
32=	Maya Tamir	ESL	Reichman A	80	77	78	76	79	390	78.00	1.41
39=	Dvij Mankad	Novice, ESL	Weizmann DS	79	79	77	76	78	389	77.80	1.17
39=	Vansh Chadha	ESL	DTU A	77	78	80	77	77	389	77.80	1.17
39=	Aadhav raviarasan		The Yanks come back	79	79	77	77	77	389	77.80	0.98
42=	Aayushi Bhartia	Novice	Tejas Taught Us This	77	81	76	77	77	388	77.60	1.74
42=	Redacted		—	78	77	77	79	77	388	77.60	0.80
44=	Arjun Raman	Novice	KCL Polish and American Solidarity	76	77	79	76	79	387	77.40	1.36
44=	Freddy Simonnet-Lefevre		St. Andrews 𝜏 is the superior circle constant	79	77	77	76	78	387	77.40	1.02
44=	Roi Makov	ESL	Weizmann R&amp;D	79	78	77	78	75	387	77.40	1.36
44=	Kamila Kawczak		KCL Polish and American Solidarity	75	78	79	76	79	387	77.40	1.62
44=	Shachar Gold	ESL	Weizmann DS	78	79	77	76	77	387	77.40	1.02
49=	Vijay Awatade	ESL	IIT Bombay twiceborn privileged enemies die t	78	76	79	77	76	386	77.20	1.17
49=	Olivia Arbour	Novice	1st comp pls be nice	78	76	77	77	78	386	77.20	0.75
51=	Raunak Mukherjee	Novice, ESL	IIT Bombay twiceborn privileged enemies die t	77	77	78	77	76	385	77.00	0.63
51=	Brian Kam	ESL	Shrimps	76	76	79	77	77	385	77.00	1.10
53=	Ashlyn Cheong	Novice	Oxford sk8er girls	76	82	77	72	77	384	76.80	3.19
53=	Mahor Nagda	ESL	IIT Bombay Jobless Big 4 Debaters	78	78	79	75	74	384	76.80	1.94
55	Owen Goodacre		St. Andrews 𝜏 is the superior circle constant	78	76	76	76	77	383	76.60	0.80
56=	Sompoom Sunpaweravong	ESL, EFL	Chulalongkorn SS	76	78	75	74	79	382	76.40	1.85
56=	Danylo Ralko	ESL, EFL	Karazin Ukraine A	76	77	77	75	77	382	76.40	0.80
56=	Rohan Campion	Novice	memers and dreamers	79	77	78	75	73	382	76.40	2.15
56=	Oleksii Marchan	ESL, EFL	Karazin Ukraine A	78	77	77	74	76	382	76.40	1.36
56=	Ganesh Prasad	Novice	Tejas Taught Us This	76	80	75	75	76	382	76.40	1.85
61=	Dror Bar	ESL	Weizmann R&amp;D	77	77	76	77	74	381	76.20	1.17
61=	Joi Chen	ESL, EFL	Hybrid ZJ	78	78	75	74	76	381	76.20	1.60
63=	Farhan Rahman	ESL, EFL	Ghost of Akina	76	77	78	75	74	380	76.00	1.41
63=	Elena Rees	Novice	1st comp pls be nice	77	76	73	76	78	380	76.00	1.67
65=	ZH Masud	ESL, EFL	Ghost of Akina	76	75	78	75	74	378	75.60	1.36
65=	Natalia Beboshvili	ESL	Cicero ESL extension	76	76	75	75	76	378	75.60	0.49
65=	Zephyr Fan	ESL, EFL	Hybrid ZJ	77	77	74	74	76	378	75.60	1.36
68=	Martin Avorgah	ESL	KNUST PETRICHOR	76	76	75	75	75	377	75.40	0.49
68=	Martijn Logtenberg	ESL	Cicero ESL extension	75	77	75	76	74	377	75.40	1.02
70=	Thomas Calcagno	Novice	Hottest bitches	75	74	76	75	76	376	75.20	0.75
70=	Saleem Salisu	ESL	KNUST PETRICHOR	76	77	74	74	75	376	75.20	1.17
70=	Disha Zaveri	Novice, ESL	IIT Bombay 2	73	73	76	78	76	376	75.20	1.94
70=	Ashwajit Singh	Novice, ESL	IIT Bombay 2	73	73	77	78	75	376	75.20	2.04
74=	Jack Jillings	Novice	St. Andrews If We Stand Up and Cry for Seven M	72	74	78	73	77	374	74.80	2.32
74=	Meiirzhan Yerulan	Novice, ESL	NU Aruaq	76	71	75	76	76	374	74.80	1.94
76=	Noam Ottolenghi	ESL	Weizmann N &amp; K	77	77	75	70	74	373	74.60	2.58
76=	Tymofii Rybak	ESL, EFL	Fisher &amp; Falcon	71	76	74	78	74	373	74.60	2.33
78	Tory Nguyen	Novice, ESL, EFL	Ehehe	77	73	75	73	74	372	74.40	1.50
79=	Olivia Ortlieb	Novice	St. Andrews If We Stand Up and Cry for Seven M	70	73	79	73	76	371	74.20	3.06
79=	Nauryzbay Menlen	ESL, EFL	NU MN	75	71	77	72	76	371	74.20	2.32
81=	Madina Shakar	ESL, EFL	NU MN	75	72	76	72	75	370	74.00	1.67
81=	Taisiia Vivdych	Novice, ESL, EFL	Flash Delirium	75	72	75	73	75	370	74.00	1.26
83=	Sultan Satybaldy	Novice, ESL	NU Aruaq	75	69	73	76	76	369	73.80	2.64
83=	Peter Hale		Ehehe	75	74	72	73	75	369	73.80	1.17
83=	Mia Rollia	ESL, EFL	Floridaman stays up to do UTC+3 To	69	76	75	73	76	369	73.80	2.64
86	Alona Panina	Novice, ESL, EFL	Wittgenstein&#x27;s Poker	72	74	74	74	74	368	73.60	0.80
87=	Anastasiia Sokol	ESL	Fisher &amp; Falcon	69	75	73	76	74	367	73.40	2.42
87=	Jane Cao	ESL, EFL	Floridaman stays up to do UTC+3 To	68	75	75	72	77	367	73.40	3.14
89	Vasyl Mazur	Novice, ESL, EFL	Wittgenstein&#x27;s Poker	70	73	74	74	75	366	73.20	1.72
90	Bohdan Shutko	Novice, ESL, EFL	Literally Us	69	75	75	74	72	365	73.00	2.28
91	George Zaborey	ESL, EFL	Odesa POIntless	72	72	74	73	72	363	72.60	0.80
92	Yelizaveta Ivanova	ESL, EFL	Odesa POIntless	71	70	72	71	70	354	70.80	0.75
93	Annie Schwartz	ESL	Tel Aviv A	79	82	79	82	—	322	80.50	1.50
94	Boaz Katzir	ESL	Tel Aviv A	79	82	78	82	—	321	80.25	1.79
95	Zoe Wang	Novice	Shrimps	—	76	80	77	76	309	77.25	1.64
96	Sharun Nikesh G	ESL	IIT Bombay Jobless Big 4 Debaters	78	—	78	75	75	306	76.50	1.50
97=	Luc balonwu	Novice	memers and dreamers	77	75	75	74	—	301	75.25	1.09
97=	Karin Matkovski	ESL	Weizmann N &amp; K	77	77	76	71	—	301	75.25	2.49
99=	Emmanuel Ayite-Atiapa	ESL	KNUST Muggles at Hogwarts,magic at Odess	—	76	78	73	73	300	75.00	2.12
99=	Nathaniel Fleku	ESL	KNUST Muggles at Hogwarts,magic at Odess	—	76	77	73	74	300	75.00	1.58
101	Aryan Shrestha	Novice, ESL	Chulalongkorn SS	75	76	74	73	—	298	74.50	1.12
102	Marianne Milner		Hottest bitches	—	73	75	74	75	297	74.25	0.83
103	Maksym Shumeiko	Novice, ESL	Literally Us	69	75	74	74	—	292	73.00	2.35
104	Anna Kutova	Novice, ESL, EFL	Flash Delirium	73	60	74	—	75	282	70.50	6.10
105	Melnyk Maryna	Novice, ESL	local Wangs	70	67	72	—	72	281	70.25	2.05
106	Sofia Bodnarchuk	Novice, ESL	local Wangs	70	63	73	—	69	275	68.75	3.63
107	Ivan Velentey		Shanghai Chipmunks	—	76	75	78	—	229	76.33	1.25
108	Alexandra Radeva	Novice, ESL	Erasmus The second try	75	75	77	—	—	227	75.67	0.94
109	Nataliia Vladyka		Shanghai Chipmunks	—	75	74	77	—	226	75.33	1.25
110	Bianca de Bruijn	ESL, EFL	Erasmus The second try	74	74	75	—	—	223	74.33	0.47
111	Speaker 1		Swing A	—	77	76	51	—	204	68.00	12.03
