team	result	side	ballot	adjudicators
UT MARA A	2nd	Closing Government	View Ballot	Lucy MurphyⒸ , Henry Clement-Jones , Mark Rothery
LSE D	3rd	Opening Opposition	View Ballot	Lucy MurphyⒸ , Henry Clement-Jones , Mark Rothery
EUDU CS	1st	Closing Opposition	View Ballot	Lucy MurphyⒸ , Henry Clement-Jones , Mark Rothery
Sciences Po A	4th	Opening Government	View Ballot	Lucy MurphyⒸ , Henry Clement-Jones , Mark Rothery
Reading B	4th	Opening Government	View Ballot	Alicia WangⒸ , Joshua McGillivray
Sheffield AC	1st	Closing Government	View Ballot	Alicia WangⒸ , Joshua McGillivray
Stuttgart A	3rd	Closing Opposition	View Ballot	Alicia WangⒸ , Joshua McGillivray
Imperial 4	2nd	Opening Opposition	View Ballot	Alicia WangⒸ , Joshua McGillivray
LSE A	1st	Opening Government	View Ballot	Ilija IvaniševićⒸ , Katie Kiely
Harvard AM	2nd	Opening Opposition	View Ballot	Ilija IvaniševićⒸ , Katie Kiely
MDU RY	4th	Closing Government	View Ballot	Ilija IvaniševićⒸ , Katie Kiely
UoL A	3rd	Closing Opposition	View Ballot	Ilija IvaniševićⒸ , Katie Kiely
TCD Phil A	4th	Closing Government	View Ballot	Shaurya ChandravanshiⒸ , Bert Jim Chang
UT MARA B	3rd	Opening Opposition	View Ballot	Shaurya ChandravanshiⒸ , Bert Jim Chang
Warsaw AM	2nd	Closing Opposition	View Ballot	Shaurya ChandravanshiⒸ , Bert Jim Chang
Imperial 1	1st	Opening Government	View Ballot	Shaurya ChandravanshiⒸ , Bert Jim Chang
UCD L&amp;H B	1st	Closing Opposition	View Ballot	Freddy Simonnet-LefevreⒸ , Sisi Batsaikhan
TCD Phil BF	4th	Closing Government	View Ballot	Freddy Simonnet-LefevreⒸ , Sisi Batsaikhan
Middlebury 3	2nd	Opening Opposition	View Ballot	Freddy Simonnet-LefevreⒸ , Sisi Batsaikhan
UCD LawSoc 2	3rd	Opening Government	View Ballot	Freddy Simonnet-LefevreⒸ , Sisi Batsaikhan
Colgate BD	2nd	Closing Government	View Ballot	Tom KusonⒸ , Emilie Chau
Imperial 3	1st	Opening Government	View Ballot	Tom KusonⒸ , Emilie Chau
Corvinus A	3rd	Closing Opposition	View Ballot	Tom KusonⒸ , Emilie Chau
Swing A	4th	Opening Opposition	View Ballot	Tom KusonⒸ , Emilie Chau
UCD L&amp;H C	3rd	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Ahmed Hussain
Sciences Po C	2nd	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Ahmed Hussain
UCL ZZ	4th	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Ahmed Hussain
UBB B	1st	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Ahmed Hussain
UCD L&amp;H A	3rd	Closing Government	View Ballot	Amelia PotockaⒸ , Jack Boag
DK Wien BE	1st	Opening Government	View Ballot	Amelia PotockaⒸ , Jack Boag
Bates MB	2nd	Closing Opposition	View Ballot	Amelia PotockaⒸ , Jack Boag
Hart House C	4th	Opening Opposition	View Ballot	Amelia PotockaⒸ , Jack Boag
KCL HA	1st	Closing Government	View Ballot	Seshiran GovenderⒸ , Maisha Nuvah
NU A	4th	Opening Opposition	View Ballot	Seshiran GovenderⒸ , Maisha Nuvah
Manchester AZ	3rd	Closing Opposition	View Ballot	Seshiran GovenderⒸ , Maisha Nuvah
St Andrews GG	2nd	Opening Government	View Ballot	Seshiran GovenderⒸ , Maisha Nuvah
Exeter B	2nd	Opening Government	View Ballot	Gareth LimⒸ , Michaela-Georgia Vachou-Peirantakou
Princeton IC	1st	Opening Opposition	View Ballot	Gareth LimⒸ , Michaela-Georgia Vachou-Peirantakou
UCL DD	4th	Closing Opposition	View Ballot	Gareth LimⒸ , Michaela-Georgia Vachou-Peirantakou
UoL JR	3rd	Closing Government	View Ballot	Gareth LimⒸ , Michaela-Georgia Vachou-Peirantakou
DK Wien DD	3rd	Opening Government	View Ballot	Nikola MichaylovⒸ , Ella Rose Feeney
Bucharest C	2nd	Closing Government	View Ballot	Nikola MichaylovⒸ , Ella Rose Feeney
UBB A	4th	Opening Opposition	View Ballot	Nikola MichaylovⒸ , Ella Rose Feeney
Swing C	1st	Closing Opposition	View Ballot	Nikola MichaylovⒸ , Ella Rose Feeney
KCL MS	2nd	Closing Opposition	View Ballot	Pjotr KosterⒸ , Aleisha Martinez Sandoval
Colgate AK	4th	Closing Government	View Ballot	Pjotr KosterⒸ , Aleisha Martinez Sandoval
TCD Hist CF	1st	Opening Opposition	View Ballot	Pjotr KosterⒸ , Aleisha Martinez Sandoval
Harvard HW	3rd	Opening Government	View Ballot	Pjotr KosterⒸ , Aleisha Martinez Sandoval
GUU A	1st	Closing Government	View Ballot	Dhruv LeekhaⒸ , Naomi Panovka
Hart House A	3rd	Opening Government	View Ballot	Dhruv LeekhaⒸ , Naomi Panovka
Aber A	2nd	Closing Opposition	View Ballot	Dhruv LeekhaⒸ , Naomi Panovka
UBC WY	4th	Opening Opposition	View Ballot	Dhruv LeekhaⒸ , Naomi Panovka
NU S	3rd	Closing Opposition	View Ballot	Zach Godley-McAvoyⒸ , Đorđe Radosavljević
Stanford BL	2nd	Opening Opposition	View Ballot	Zach Godley-McAvoyⒸ , Đorđe Radosavljević
LSE C	1st	Opening Government	View Ballot	Zach Godley-McAvoyⒸ , Đorđe Radosavljević
Swing B	4th	Closing Government	View Ballot	Zach Godley-McAvoyⒸ , Đorđe Radosavljević
RHUL A	3rd	Opening Government	View Ballot	Guyberli van ThuijlⒸ
Sciences Po D	1st	Closing Opposition	View Ballot	Guyberli van ThuijlⒸ
Corvinus B	2nd	Closing Government	View Ballot	Guyberli van ThuijlⒸ
Redacted	4th	Opening Opposition	View Ballot	Guyberli van ThuijlⒸ
Zagreb A	1st	Closing Government	View Ballot	Ananya VenkatesanⒸ , Lucie Slamova
Exeter A	4th	Closing Opposition	View Ballot	Ananya VenkatesanⒸ , Lucie Slamova
Stanford QF	2nd	Opening Opposition	View Ballot	Ananya VenkatesanⒸ , Lucie Slamova
LSE E	3rd	Opening Government	View Ballot	Ananya VenkatesanⒸ , Lucie Slamova
Cambridge IJ	3rd	Opening Opposition	View Ballot	Emma WalkerⒸ , Brian Kam
ELTE A	1st	Opening Government	View Ballot	Emma WalkerⒸ , Brian Kam
ETHZ A	4th	Closing Opposition	View Ballot	Emma WalkerⒸ , Brian Kam
Girton MM	2nd	Closing Government	View Ballot	Emma WalkerⒸ , Brian Kam
GUU B	1st	Opening Opposition	View Ballot	ShuRui LaiⒸ , Emma Decker
Manchester WA	2nd	Opening Government	View Ballot	ShuRui LaiⒸ , Emma Decker
QMU A	4th	Closing Government	View Ballot	ShuRui LaiⒸ , Emma Decker
Sciences Po E	3rd	Closing Opposition	View Ballot	ShuRui LaiⒸ , Emma Decker
Reading C	1st	Opening Opposition	View Ballot	Ananya KrishnaⒸ , Santiago Jiminez Rowe
Colgate RL	2nd	Closing Government	View Ballot	Ananya KrishnaⒸ , Santiago Jiminez Rowe
Middlebury 1	4th	Opening Government	View Ballot	Ananya KrishnaⒸ , Santiago Jiminez Rowe
LDU AJ	3rd	Closing Opposition	View Ballot	Ananya KrishnaⒸ , Santiago Jiminez Rowe
UT MARA D	4th	Closing Opposition	View Ballot	Olivia WhyteⒸ , Tanvir Thamid
Bucharest B	1st	Closing Government	View Ballot	Olivia WhyteⒸ , Tanvir Thamid
EUDU KC	3rd	Opening Government	View Ballot	Olivia WhyteⒸ , Tanvir Thamid
Sciences Po B	2nd	Opening Opposition	View Ballot	Olivia WhyteⒸ , Tanvir Thamid
Sheffield GB	4th	Closing Government	View Ballot	Leauren S. JiⒸ
Warwick CK	2nd	Opening Opposition	View Ballot	Leauren S. JiⒸ
UBC CV	3rd	Opening Government	View Ballot	Leauren S. JiⒸ
UBC VL	1st	Closing Opposition	View Ballot	Leauren S. JiⒸ
Stanford DL	1st	Closing Government	View Ballot	Geneva RoyⒸ , David Kelly
Stanford AB	2nd	Opening Government	View Ballot	Geneva RoyⒸ , David Kelly
Cornell OP	4th	Opening Opposition	View Ballot	Geneva RoyⒸ , David Kelly
UCL TM	3rd	Closing Opposition	View Ballot	Geneva RoyⒸ , David Kelly
Cambridge DD	2nd	Opening Government	View Ballot	Aniket ChakravortyⒸ , Brenna McConnell
TCD Hist AH	1st	Closing Opposition	View Ballot	Aniket ChakravortyⒸ , Brenna McConnell
Harvard GS	3rd	Closing Government	View Ballot	Aniket ChakravortyⒸ , Brenna McConnell
Bates KR	4th	Opening Opposition	View Ballot	Aniket ChakravortyⒸ , Brenna McConnell
UT MARA C	1st	Opening Government	View Ballot	Ricky HuangⒸ , Neva Ensminger-Holland
HPU CS	4th	Closing Opposition	View Ballot	Ricky HuangⒸ , Neva Ensminger-Holland
Stanford BC	3rd	Opening Opposition	View Ballot	Ricky HuangⒸ , Neva Ensminger-Holland
UCL CZ	2nd	Closing Government	View Ballot	Ricky HuangⒸ , Neva Ensminger-Holland
TCD Phil BP	4th	Opening Opposition	View Ballot	Andrew ChenⒸ , Lucy McManus
Bucharest A	1st	Closing Opposition	View Ballot	Andrew ChenⒸ , Lucy McManus
LSE B	2nd	Opening Government	View Ballot	Andrew ChenⒸ , Lucy McManus
Hart House B	3rd	Closing Government	View Ballot	Andrew ChenⒸ , Lucy McManus
Athabasca A	1st	Closing Opposition	View Ballot	Lara DragojevićⒸ , Karl Eichholz
Middlebury 2	3rd	Opening Opposition	View Ballot	Lara DragojevićⒸ , Karl Eichholz
St Andrews A	2nd	Closing Government	View Ballot	Lara DragojevićⒸ , Karl Eichholz
Corvinus C	4th	Opening Government	View Ballot	Lara DragojevićⒸ , Karl Eichholz
ASDV Bonaparte	2nd	Opening Opposition	View Ballot	Ibrahim EjazⒸ , Matt Caito
KCL AK	1st	Opening Government	View Ballot	Ibrahim EjazⒸ , Matt Caito
Harvard D	3rd	Closing Government	View Ballot	Ibrahim EjazⒸ , Matt Caito
Princeton FJ	4th	Closing Opposition	View Ballot	Ibrahim EjazⒸ , Matt Caito
RHUL B	3rd	Opening Government	View Ballot	Zachary TooⒸ , Mary McCarthy
KCL AF	1st	Opening Opposition	View Ballot	Zachary TooⒸ , Mary McCarthy
Bates NC	2nd	Closing Opposition	View Ballot	Zachary TooⒸ , Mary McCarthy
EUDU FS	4th	Closing Government	View Ballot	Zachary TooⒸ , Mary McCarthy
TCD Phil BM	1st	Opening Government	View Ballot	Isabella FreelandⒸ , Umar Fazlan
Cambridge AM	4th	Closing Opposition	View Ballot	Isabella FreelandⒸ , Umar Fazlan
Yale A	3rd	Closing Government	View Ballot	Isabella FreelandⒸ , Umar Fazlan
Stanford HS	2nd	Opening Opposition	View Ballot	Isabella FreelandⒸ , Umar Fazlan
Cambridge MS	1st	Closing Opposition	View Ballot	Rachel O NunainⒸ , Brianna Wright
Imperial 2	2nd	Closing Government	View Ballot	Rachel O NunainⒸ , Brianna Wright
Princeton PK	4th	Opening Opposition	View Ballot	Rachel O NunainⒸ , Brianna Wright
Princeton JW	3rd	Opening Government	View Ballot	Rachel O NunainⒸ , Brianna Wright
Cambridge TM	3rd	Closing Government	View Ballot	Sarenna McKellarⒸ
Cambridge CL	2nd	Opening Government	View Ballot	Sarenna McKellarⒸ
Warwick YI	4th	Closing Opposition	View Ballot	Sarenna McKellarⒸ
Princeton AH	1st	Opening Opposition	View Ballot	Sarenna McKellarⒸ
Reading A	4th	Closing Opposition	View Ballot	Ange QinⒸ , Ciornea Cristian
HPU B	2nd	Opening Government	View Ballot	Ange QinⒸ , Ciornea Cristian
RHUL C	1st	Closing Government	View Ballot	Ange QinⒸ , Ciornea Cristian
UCD LawSoc 1	3rd	Opening Opposition	View Ballot	Ange QinⒸ , Ciornea Cristian
