Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Matt Song		Yale A	82	84	82	79	80	407	81.40	1.74
2=	Tanae Rao		LSE A	80	82	83	81	80	406	81.20	1.17
2=	Paula Djaković	ESL	Zagreb A	79	81	83	83	80	406	81.20	1.60
2=	Sachin Tissera	ESL	LSE B	82	79	83	80	82	406	81.20	1.47
5=	Tejas Subramaniam		Stanford HS	82	82	84	80	77	405	81.00	2.37
5=	Wajeeh Maaz		KCL MS	83	81	79	82	80	405	81.00	1.41
5=	Jack Stanley		KCL MS	82	80	79	82	82	405	81.00	1.26
5=	Valeriu Carasel	ESL	Bucharest A	82	82	80	81	80	405	81.00	0.89
9	Stefan Milicescu	ESL	LSE B	81	78	83	80	82	404	80.80	1.72
10=	Max Rosen		MDU RY	83	78	83	78	80	402	80.40	2.24
10=	David Bloom		Yale A	83	83	79	77	80	402	80.40	2.33
10=	Ted Chang		UoL A	82	79	84	78	79	402	80.40	2.24
10=	Ana Coman	ESL	Bucharest A	80	81	79	81	81	402	80.40	0.80
14=	Kamila Kawczak		KCL AK	76	82	83	81	79	401	80.20	2.48
14=	Robert Raos	ESL	Zagreb A	79	80	82	81	79	401	80.20	1.17
14=	Matt Mauriello		Harvard AM	81	79	81	80	80	401	80.20	0.75
14=	Jack Palmer		TCD Phil BP	79	83	81	77	81	401	80.20	2.04
14=	Deon Kiew		LSE A	79	81	83	80	78	401	80.20	1.72
14=	Annushka Agarwal	Novice	Harvard AM	80	80	82	80	79	401	80.20	0.98
20	Andrew Monteith		Bates MB	81	79	80	79	81	400	80.00	0.89
21=	Shane Tully		UCD L&amp;H A	79	80	78	80	82	399	79.80	1.33
21=	Arjun Raman		KCL AK	76	82	82	81	78	399	79.80	2.40
21=	Manuel Machorro	ESL	LSE C	84	77	79	81	78	399	79.80	2.48
21=	Perry Beckett		Bates MB	80	80	78	81	80	399	79.80	0.98
21=	Luke Ashworth		Cambridge AM	81	80	81	77	80	399	79.80	1.47
