team	result	side	ballot	adjudicators
Commie-san	4th	Opening Government	View Ballot	Prosper Michael AmetuⒸ
yaHOOO	1st	Opening Opposition	View Ballot	Prosper Michael AmetuⒸ
GUU Bugs Life was my sexual awakening	2nd	Closing Government	View Ballot	Prosper Michael AmetuⒸ
Andromeda	3rd	Closing Opposition	View Ballot	Prosper Michael AmetuⒸ
Reichman A	1st	Opening Government	View Ballot	Asif Muztaba HassanⒸ
Who the fuck are these Indians?	4th	Opening Opposition	View Ballot	Asif Muztaba HassanⒸ
HUJI (we don&#x27;t talk about) B(runOO)	2nd	Closing Government	View Ballot	Asif Muztaba HassanⒸ
Katzarov &amp; Krumova	3rd	Closing Opposition	View Ballot	Asif Muztaba HassanⒸ
brain.exe has stopped working	2nd	Opening Opposition	View Ballot	Emily ShiⒸ
Bulgarian Moussaka	3rd	Closing Government	View Ballot	Emily ShiⒸ
Swing A	1st	Closing Opposition	View Ballot	Emily ShiⒸ
Nikolova &amp; Nedkova	4th	Opening Government	View Ballot	Teye Prince-DanielⒸ
Polska gurom	2nd	Opening Opposition	View Ballot	Teye Prince-DanielⒸ
TCD Hist MT	1st	Closing Government	View Ballot	Teye Prince-DanielⒸ
Ignore the gunshot noises please,	3rd	Closing Opposition	View Ballot	Teye Prince-DanielⒸ
Oxford (A)ntipodeans	1st	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Alek Selveliev
Sydney/UNSW TW	2nd	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Alek Selveliev
fast and furious and tiny	3rd	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Alek Selveliev
Rizzlamic State	4th	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Alek Selveliev
bay area wannabes	1st	Opening Government	View Ballot	Emma WalkerⒸ , Luigi Alcaneses , Avshalom Yonai LibermanⓉ
I hope at least this kid im pro am	2nd	Opening Opposition	View Ballot	Emma WalkerⒸ , Luigi Alcaneses , Avshalom Yonai LibermanⓉ
An irish, an american, and lse a e	4th	Closing Government	View Ballot	Emma WalkerⒸ , Luigi Alcaneses , Avshalom Yonai LibermanⓉ
team names are hard but this comp	3rd	Closing Opposition	View Ballot	Emma WalkerⒸ , Luigi Alcaneses , Avshalom Yonai LibermanⓉ
Vienna Come to Vi...oh wait it&#x27;s over	4th	Opening Government	View Ballot	Auguste McNallyⒸ , Velina Andonova , Andy MookerjeaⓉ
TCD Hist AH	3rd	Opening Opposition	View Ballot	Auguste McNallyⒸ , Velina Andonova , Andy MookerjeaⓉ
Baek for Mor	1st	Closing Government	View Ballot	Auguste McNallyⒸ , Velina Andonova , Andy MookerjeaⓉ
TBD	2nd	Closing Opposition	View Ballot	Auguste McNallyⒸ , Velina Andonova , Andy MookerjeaⓉ
Oxford (B)ring me back to 3v3	1st	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , William Smith , Yonatan KlyinerⓉ
Stanford TC	3rd	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , William Smith , Yonatan KlyinerⓉ
wdym no reply?	2nd	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , William Smith , Yonatan KlyinerⓉ
Chicago A	4th	Closing Opposition	View Ballot	Mukhtar TashkenbayevⒸ , William Smith , Yonatan KlyinerⓉ
DUDS A	3rd	Opening Government	View Ballot	Marin MarinovⒸ
Swing E	1st	Opening Opposition	View Ballot	Marin MarinovⒸ
KASUKABE DEFENCE FORCE	4th	Closing Government	View Ballot	Marin MarinovⒸ
Swing D	2nd	Closing Opposition	View Ballot	Marin MarinovⒸ
NU DA	2nd	Opening Government	View Ballot	Jack PalmerⒸ , Anya WilsonⓉ
Family Therapy	3rd	Opening Opposition	View Ballot	Jack PalmerⒸ , Anya WilsonⓉ
Hart House YA	4th	Closing Government	View Ballot	Jack PalmerⒸ , Anya WilsonⓉ
Jeremiah and Matt	1st	Closing Opposition	View Ballot	Jack PalmerⒸ , Anya WilsonⓉ
Tel Aviv B	3rd	Opening Government	View Ballot	Jiansheng ZhangⒸ , Jaime Ponce de LeónⓉ
Ateneo Elio and RK	1st	Opening Opposition	View Ballot	Jiansheng ZhangⒸ , Jaime Ponce de LeónⓉ
Technion D	4th	Closing Government	View Ballot	Jiansheng ZhangⒸ , Jaime Ponce de LeónⓉ
HUJI M&amp;I	2nd	Closing Opposition	View Ballot	Jiansheng ZhangⒸ , Jaime Ponce de LeónⓉ
Ghanada	3rd	Opening Government	View Ballot	Ryosei KobayashiⒸ , Isabelle FengⓉ
LL	2nd	Opening Opposition	View Ballot	Ryosei KobayashiⒸ , Isabelle FengⓉ
Hybrid “novices”	4th	Closing Government	View Ballot	Ryosei KobayashiⒸ , Isabelle FengⓉ
Send Sydney to Euros	1st	Closing Opposition	View Ballot	Ryosei KobayashiⒸ , Isabelle FengⓉ
Nixor Olevels coded	4th	Opening Government	View Ballot	Shudipto AhmedⒸ
St. Andrews Break or breakup 🤪🤪🤪	2nd	Opening Opposition	View Ballot	Shudipto AhmedⒸ
Laundry woman and IRS agent	3rd	Closing Government	View Ballot	Shudipto AhmedⒸ
KNOB Guess who’s back, it’s Big Phat an	1st	Closing Opposition	View Ballot	Shudipto AhmedⒸ
Stanford CC	3rd	Opening Government	View Ballot	Daniela WilliamsⒸ , Zixin ZhouⓉ
KNUST Dorvlo and Opoku- KNUST A	1st	Opening Opposition	View Ballot	Daniela WilliamsⒸ , Zixin ZhouⓉ
bring back crossfire 🥺	2nd	Closing Government	View Ballot	Daniela WilliamsⒸ , Zixin ZhouⓉ
Haifa A	4th	Closing Opposition	View Ballot	Daniela WilliamsⒸ , Zixin ZhouⓉ
#freeivantilev	2nd	Opening Government	View Ballot	CaoimhinⒸ , Boyko SlaveykovⓉ
Western Li &amp; Svirsky	3rd	Opening Opposition	View Ballot	CaoimhinⒸ , Boyko SlaveykovⓉ
In the dryer	4th	Closing Government	View Ballot	CaoimhinⒸ , Boyko SlaveykovⓉ
Farmville Enthusiasts	1st	Closing Opposition	View Ballot	CaoimhinⒸ , Boyko SlaveykovⓉ
QAZAQSHA PRIKOL	4th	Opening Government	View Ballot	Emily ShiⒸ
