Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Nikolay Angelov	ESL	#freeivantilev	81	81	83	83	84	412	82.40	1.20
2=	Tejas Subramaniam		Farmville Enthusiasts	81	83	83	78	85	410	82.00	2.37
2=	Mark Rothery		Oxford (A)ntipodeans	79	82	82	85	82	410	82.00	1.90
4	Naomi Panovka		fast and furious and tiny	83	83	85	79	79	409	81.80	2.40
5=	Ryan Lafferty		Farmville Enthusiasts	81	84	82	76	84	407	81.40	2.94
5=	Ana Coman	ESL	fast and furious and tiny	82	83	84	79	79	407	81.40	2.06
5=	Matt Toomey		Sydney/UNSW TW	82	84	80	81	80	407	81.40	1.50
8=	Ayal Mor	ESL	Baek for Mor	79	81	83	80	81	404	80.80	1.33
8=	Biser Angelov	ESL	I hope at least this kid im pro am	78	83	83	81	79	404	80.80	2.04
10=	Parth Pandya		St. Andrews Break or breakup 🤪🤪🤪	82	82	81	78	80	403	80.60	1.50
10=	Latinka Minkova	Novice, ESL	#freeivantilev	77	80	80	82	84	403	80.60	2.33
10=	Elena Radulescu	ESL	Oxford (B)ring me back to 3v3	82	80	82	79	80	403	80.60	1.20
13=	Wajeeh Maazedinejad		Rizzlamic State	82	84	80	79	77	402	80.40	2.42
13=	Ahmedtollah Elsammak		Rizzlamic State	83	83	81	78	77	402	80.40	2.50
15=	Jordyn Gibson		Laundry woman and IRS agent	76	83	82	81	79	401	80.20	2.48
15=	Alastair Bowyer		St. Andrews Break or breakup 🤪🤪🤪	83	82	80	77	79	401	80.20	2.14
17=	Flora Baek		Baek for Mor	79	81	80	79	81	400	80.00	0.89
17=	David Wu		Sydney/UNSW TW	78	82	80	81	79	400	80.00	1.41
17=	Aidan Woo		Oxford (B)ring me back to 3v3	81	80	81	79	79	400	80.00	0.89
17=	Andy “Black Panther” Terkpetey		KNOB Guess who’s back, it’s Big Phat an	78	80	80	81	81	400	80.00	1.10
21	Kat Cheng		Laundry woman and IRS agent	76	82	82	80	79	399	79.80	2.23
22=	Erasmus “Big Phat Panda” Segbefia	ESL	KNOB Guess who’s back, it’s Big Phat an	77	81	79	80	81	398	79.60	1.50
22=	Jeremiah Edagbami		Jeremiah and Matt	80	82	77	79	80	398	79.60	1.62
24	Matt Mauriello		Jeremiah and Matt	79	83	77	80	78	397	79.40	2.06
25	Elanor Parkinson		wdym no reply?	80	80	78	79	79	396	79.20	0.75
26	Daniel Dragandzhikov		I hope at least this kid im pro am	78	80	81	79	77	395	79.00	1.41
27=	Shaq Scott-Davis		TBD	82	78	78	76	80	394	78.80	2.04
27=	Daniel Svirsky		Western Li &amp; Svirsky	81	79	78	80	76	394	78.80	1.72
29=	Mahad Akbar	ESL	Nixor Olevels coded	77	80	77	81	77	392	78.40	1.74
29=	Tyler Li		Western Li &amp; Svirsky	81	78	76	80	77	392	78.40	1.85
29=	Oisín Browne		TBD	81	77	78	76	80	392	78.40	1.85
29=	Pranav Basker		An irish, an american, and lse a e	82	80	80	75	75	392	78.40	2.87
33=	Simon Yu		Hart House YA	80	78	81	77	75	391	78.20	2.14
33=	Adam Banihani		In the dryer	81	79	77	81	73	391	78.20	2.99
