team	result	side	ballot	adjudicators
Weizmann No Titles in Our Speeches	3rd	Opening Government	View Ballot	Ilija IvanisevicⒸ , Josef Moscovici , Kate Xinyi He
Swing D1	2nd	Opening Opposition	View Ballot	Ilija IvanisevicⒸ , Josef Moscovici , Kate Xinyi He
HUJI Challenger? I hardly know &#x27;er	1st	Closing Government	View Ballot	Ilija IvanisevicⒸ , Josef Moscovici , Kate Xinyi He
Hart House where there&#x27;s a Will there&#x27;s a Wei	4th	Closing Opposition	View Ballot	Ilija IvanisevicⒸ , Josef Moscovici , Kate Xinyi He
St Andrews In Debateland, delta finds you	4th	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Jacob Laznik , Mischa Watson
Harvard/Princeton MR	3rd	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Jacob Laznik , Mischa Watson
56 Groups in common	2nd	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Jacob Laznik , Mischa Watson
TCD Hist Ziyad and Rehan	1st	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Jacob Laznik , Mischa Watson
UCL Tan &amp; Nouman	1st	Opening Government	View Ballot	Atiya Al-HammudⒸ , Ofri Raz
GUU C(owgirl)	2nd	Opening Opposition	View Ballot	Atiya Al-HammudⒸ , Ofri Raz
LSE LS(E)D	3rd	Closing Government	View Ballot	Atiya Al-HammudⒸ , Ofri Raz
Haifa Uri Zakai kicked Chuck Norris	4th	Closing Opposition	View Ballot	Atiya Al-HammudⒸ , Ofri Raz
C	1st	Opening Government	View Ballot	Katy HarringtonⒸ , Colson Merrill
Cardiff weird conception of foreplay	3rd	Opening Opposition	View Ballot	Katy HarringtonⒸ , Colson Merrill
If we don’t break you will	2nd	Closing Government	View Ballot	Katy HarringtonⒸ , Colson Merrill
Give me a VPN	4th	Closing Opposition	View Ballot	Katy HarringtonⒸ , Colson Merrill
Weizmann R&amp;D	3rd	Opening Government	View Ballot	Ahmed El SammakⒸ , Maria Matcheva , Nir Kligsberg
Stanford TC	2nd	Opening Opposition	View Ballot	Ahmed El SammakⒸ , Maria Matcheva , Nir Kligsberg
Queen&#x27;s the shepherd	4th	Closing Government	View Ballot	Ahmed El SammakⒸ , Maria Matcheva , Nir Kligsberg
