team	result	side	ballot	adjudicators
L&amp;C 2	3rd	Closing Opposition	View Ballot	Sriya DonepudiⒸ , Juan de Maqua , Thomas Decugis
Wheaton 1	2nd	Opening Government	View Ballot	Sriya DonepudiⒸ , Juan de Maqua , Thomas Decugis
Colgate 1	4th	Opening Opposition	View Ballot	Sriya DonepudiⒸ , Juan de Maqua , Thomas Decugis
Rochester 5	1st	Closing Government	View Ballot	Sriya DonepudiⒸ , Juan de Maqua , Thomas Decugis
Cornell 1	1st	Opening Government	View Ballot	Ronaldo BlakeⒸ , Ethan Park , Kayla Powers
Princeton/PDP 4	3rd	Closing Government	View Ballot	Ronaldo BlakeⒸ , Ethan Park , Kayla Powers
Harvard 4	2nd	Opening Opposition	View Ballot	Ronaldo BlakeⒸ , Ethan Park , Kayla Powers
Columbia 2	4th	Closing Opposition	View Ballot	Ronaldo BlakeⒸ , Ethan Park , Kayla Powers
JHU 1	3rd	Closing Government	View Ballot	Josh CohenⒸ , Daniel Yoon , Ruth Selorme Acolatse
Dartmouth 1	4th	Opening Opposition	View Ballot	Josh CohenⒸ , Daniel Yoon , Ruth Selorme Acolatse
Princeton/PDP 1	1st	Closing Opposition	View Ballot	Josh CohenⒸ , Daniel Yoon , Ruth Selorme Acolatse
UPenn 1	2nd	Opening Government	View Ballot	Josh CohenⒸ , Daniel Yoon , Ruth Selorme Acolatse
USC 3	3rd	Closing Opposition	View Ballot	Ben FrazerⒸ , Aaron Wang , Amy Zhou
USC 2	1st	Opening Government	View Ballot	Ben FrazerⒸ , Aaron Wang , Amy Zhou
Columbia 1	2nd	Closing Government	View Ballot	Ben FrazerⒸ , Aaron Wang , Amy Zhou
Columbia 3	4th	Opening Opposition	View Ballot	Ben FrazerⒸ , Aaron Wang , Amy Zhou
Wisconsin 3	1st	Opening Government	View Ballot	Eddy XuⒸ , Christina Harrah , Samantha Rippetoe
Cornell 6	2nd	Closing Opposition	View Ballot	Eddy XuⒸ , Christina Harrah , Samantha Rippetoe
