team	result	side	ballot	adjudicators
EMILY (and warren)	3rd	Closing Opposition	View Ballot	Omesh Dhar DwivediⒸ , Varun Lodaya 🐉 , Briana ReyesⓉ , Jesse McCormickⓉ
Middlebury RY	4th	Closing Government	View Ballot	Omesh Dhar DwivediⒸ , Varun Lodaya 🐉 , Briana ReyesⓉ , Jesse McCormickⓉ
USC LD	1st	Opening Government	View Ballot	Omesh Dhar DwivediⒸ , Varun Lodaya 🐉 , Briana ReyesⓉ , Jesse McCormickⓉ
rawdogging exams	2nd	Opening Opposition	View Ballot	Omesh Dhar DwivediⒸ , Varun Lodaya 🐉 , Briana ReyesⓉ , Jesse McCormickⓉ
RUN SS	4th	Closing Government	View Ballot	Bobo WongⒸ , Hargun Rekhi , Adrian Jimenez MoyaⓉ , Basil BobⓉ
Bard The Spleen Eaters	2nd	Closing Opposition	View Ballot	Bobo WongⒸ , Hargun Rekhi , Adrian Jimenez MoyaⓉ , Basil BobⓉ
Falling American Male	3rd	Opening Government	View Ballot	Bobo WongⒸ , Hargun Rekhi , Adrian Jimenez MoyaⓉ , Basil BobⓉ
Milei neutrality	1st	Opening Opposition	View Ballot	Bobo WongⒸ , Hargun Rekhi , Adrian Jimenez MoyaⓉ , Basil BobⓉ
wooden spoon survivors	3rd	Closing Opposition	View Ballot	Adam UrsenbachⒸ , Jack Zhu , Aria SainesⓉ , Julian HenryⓉ
Chief Mousers	2nd	Opening Opposition	View Ballot	Adam UrsenbachⒸ , Jack Zhu , Aria SainesⓉ , Julian HenryⓉ
we were going to get married	1st	Closing Government	View Ballot	Adam UrsenbachⒸ , Jack Zhu , Aria SainesⓉ , Julian HenryⓉ
The Book of Marsupials	4th	Opening Government	View Ballot	Adam UrsenbachⒸ , Jack Zhu , Aria SainesⓉ , Julian HenryⓉ
Channeling our Inner Bazooka	1st	Closing Government	View Ballot	Arpi YangⒸ , Nyx Kucharski , Jasmeet RandhawaⓉ , LavanyaⓉ
Debatable Decisions	3rd	Closing Opposition	View Ballot	Arpi YangⒸ , Nyx Kucharski , Jasmeet RandhawaⓉ , LavanyaⓉ
Odette 2	4th	Opening Opposition	View Ballot	Arpi YangⒸ , Nyx Kucharski , Jasmeet RandhawaⓉ , LavanyaⓉ
Swing A	2nd	Opening Government	View Ballot	Arpi YangⒸ , Nyx Kucharski , Jasmeet RandhawaⓉ , LavanyaⓉ
545 miles on the road	3rd	Closing Opposition	View Ballot	Danté Cecilio FosterdelmundoⒸ , Saad Khan , Jerry ZhangⓉ , Maja GrandinettiⓉ
Cornell D	2nd	Opening Government	View Ballot	Danté Cecilio FosterdelmundoⒸ , Saad Khan , Jerry ZhangⓉ , Maja GrandinettiⓉ
Middlebury KM	4th	Closing Government	View Ballot	Danté Cecilio FosterdelmundoⒸ , Saad Khan , Jerry ZhangⓉ , Maja GrandinettiⓉ
Croc and Ball Torture	1st	Opening Opposition	View Ballot	Danté Cecilio FosterdelmundoⒸ , Saad Khan , Jerry ZhangⓉ , Maja GrandinettiⓉ
rip 1989 limited edition theme	2nd	Opening Government	View Ballot	Dennis SuⒸ , Julia Van Damme , Maya NicholsⓉ
W	3rd	Closing Government	View Ballot	Dennis SuⒸ , Julia Van Damme , Maya NicholsⓉ
EDS KP	1st	Opening Opposition	View Ballot	Dennis SuⒸ , Julia Van Damme , Maya NicholsⓉ
charlie and tao	4th	Closing Opposition	View Ballot	Dennis SuⒸ , Julia Van Damme , Maya NicholsⓉ
Stanford TC	4th	Closing Government	View Ballot	Nick AbernethyⒸ , Theodore Yohalem Shouse , Kelly RibeiroⓉ , Nathaniel TesfayeⓉ
Clash Royale	1st	Opening Opposition	View Ballot	Nick AbernethyⒸ , Theodore Yohalem Shouse , Kelly RibeiroⓉ , Nathaniel TesfayeⓉ
Styne is the name	3rd	Opening Government	View Ballot	Nick AbernethyⒸ , Theodore Yohalem Shouse , Kelly RibeiroⓉ , Nathaniel TesfayeⓉ
Joris Bohnson	2nd	Closing Opposition	View Ballot	Nick AbernethyⒸ , Theodore Yohalem Shouse , Kelly RibeiroⓉ , Nathaniel TesfayeⓉ
Versatile Goats	2nd	Opening Government	View Ballot	Adam BanihaniⒸ , Vasu Kamra , Fenya Lyn WalterⓉ , Grace ReubenⓉ
guess which one of us is bi	3rd	Opening Opposition	View Ballot	Adam BanihaniⒸ , Vasu Kamra , Fenya Lyn WalterⓉ , Grace ReubenⓉ
Waterloo B	1st	Closing Opposition	View Ballot	Adam BanihaniⒸ , Vasu Kamra , Fenya Lyn WalterⓉ , Grace ReubenⓉ
The Noodle Dream Team	4th	Closing Government	View Ballot	Adam BanihaniⒸ , Vasu Kamra , Fenya Lyn WalterⓉ , Grace ReubenⓉ
Space Ninjas	4th	Closing Opposition	View Ballot	Clarence BrontëⒸ , Greg Kwok , Alice QiⓉ , Jason ShanⓉ
debaters in name only (DINO)	1st	Closing Government	View Ballot	Clarence BrontëⒸ , Greg Kwok , Alice QiⓉ , Jason ShanⓉ
Timothy Dwight IV	2nd	Opening Government	View Ballot	Clarence BrontëⒸ , Greg Kwok , Alice QiⓉ , Jason ShanⓉ
RUN YD	3rd	Opening Opposition	View Ballot	Clarence BrontëⒸ , Greg Kwok , Alice QiⓉ , Jason ShanⓉ
UBC TW	3rd	Closing Government	View Ballot	Caitlin MahⒸ , Kyle Cook , Cleo ShawⓉ , alicja wolinskaⓉ
Average Homunculus Torturers	1st	Opening Government	View Ballot	Caitlin MahⒸ , Kyle Cook , Cleo ShawⓉ , alicja wolinskaⓉ
tweaking yet locked in	2nd	Opening Opposition	View Ballot	Caitlin MahⒸ , Kyle Cook , Cleo ShawⓉ , alicja wolinskaⓉ
HWS C	4th	Closing Opposition	View Ballot	Caitlin MahⒸ , Kyle Cook , Cleo ShawⓉ , alicja wolinskaⓉ
Mile	2nd	Closing Government	View Ballot	Tarun RuschmeierⒸ , Valerie Pang , Faadel AsfariⓉ , Maisy CoffeyⓉ
Carleton OBJECTIVELY reddit saved my life	3rd	Closing Opposition	View Ballot	Tarun RuschmeierⒸ , Valerie Pang , Faadel AsfariⓉ , Maisy CoffeyⓉ
moo deng and pesto	1st	Opening Opposition	View Ballot	Tarun RuschmeierⒸ , Valerie Pang , Faadel AsfariⓉ , Maisy CoffeyⓉ
Open to Network	4th	Opening Government	View Ballot	Tarun RuschmeierⒸ , Valerie Pang , Faadel AsfariⓉ , Maisy CoffeyⓉ
BRAT	4th	Closing Government	View Ballot	Micaela LewisⒸ , Zuzanna Godzinska , Evelyn BaiⓉ , Mirabel RaphaelⓉ
Princeton Sleepy Joes	1st	Opening Opposition	View Ballot	Micaela LewisⒸ , Zuzanna Godzinska , Evelyn BaiⓉ , Mirabel RaphaelⓉ
EDS hhiv bottom tab champs 🔥🔥🔥	3rd	Closing Opposition	View Ballot	Micaela LewisⒸ , Zuzanna Godzinska , Evelyn BaiⓉ , Mirabel RaphaelⓉ
HWS A	2nd	Opening Government	View Ballot	Micaela LewisⒸ , Zuzanna Godzinska , Evelyn BaiⓉ , Mirabel RaphaelⓉ
Cornell B	2nd	Closing Opposition	View Ballot	Xiao-ke Lu 🦭Ⓒ , Hamza Aziz , Neil Roy Choudhury , Desiree RigaudⓉ
Lassies	1st	Opening Opposition	View Ballot	Xiao-ke Lu 🦭Ⓒ , Hamza Aziz , Neil Roy Choudhury , Desiree RigaudⓉ
i dont want to do this anymore	3rd	Closing Government	View Ballot	Xiao-ke Lu 🦭Ⓒ , Hamza Aziz , Neil Roy Choudhury , Desiree RigaudⓉ
Grand Strategy	4th	Opening Government	View Ballot	Xiao-ke Lu 🦭Ⓒ , Hamza Aziz , Neil Roy Choudhury , Desiree RigaudⓉ
Cornell C	2nd	Closing Opposition	View Ballot	Navreet SidhuⒸ , George Macauley , Giuseppe Di MassaⓉ , Rachel KussickⓉ
UBC Verba Invicta	1st	Opening Opposition	View Ballot	Navreet SidhuⒸ , George Macauley , Giuseppe Di MassaⓉ , Rachel KussickⓉ
EDS Extraordinarily Dense Squires	4th	Closing Government	View Ballot	Navreet SidhuⒸ , George Macauley , Giuseppe Di MassaⓉ , Rachel KussickⓉ
paul&#x27;s silicone oven glove	3rd	Opening Government	View Ballot	Navreet SidhuⒸ , George Macauley , Giuseppe Di MassaⓉ , Rachel KussickⓉ
woman enjoyers	3rd	Closing Government	View Ballot	Wajeeh MaazⒸ , William Shi , Emma NolanⓉ , Gianluca LoportoⓉ
Mostly Harmless	2nd	Closing Opposition	View Ballot	Wajeeh MaazⒸ , William Shi , Emma NolanⓉ , Gianluca LoportoⓉ
Ben &amp; Jerry&#x27;s	4th	Opening Opposition	View Ballot	Wajeeh MaazⒸ , William Shi , Emma NolanⓉ , Gianluca LoportoⓉ
Western disproving the Oxford study	1st	Opening Government	View Ballot	Wajeeh MaazⒸ , William Shi , Emma NolanⓉ , Gianluca LoportoⓉ
Wax	1st	Closing Opposition	View Ballot	Tanvir ShahriarⒸ , Aarian Bhakoo , Journey HoreisⓉ , Kira WaldhalmⓉ
Duke RS	3rd	Closing Government	View Ballot	Tanvir ShahriarⒸ , Aarian Bhakoo , Journey HoreisⓉ , Kira WaldhalmⓉ
UoG Baddies	4th	Opening Opposition	View Ballot	Tanvir ShahriarⒸ , Aarian Bhakoo , Journey HoreisⓉ , Kira WaldhalmⓉ
Bard KO	2nd	Opening Government	View Ballot	Tanvir ShahriarⒸ , Aarian Bhakoo , Journey HoreisⓉ , Kira WaldhalmⓉ
Busted Sub	3rd	Opening Opposition	View Ballot	Reana YanⒸ , Alain Humura , Brandon Zi Mo Zhang , James CampⓉ
Carleton sorority girl and engineer	4th	Opening Government	View Ballot	Reana YanⒸ , Alain Humura , Brandon Zi Mo Zhang , James CampⓉ
Harvard A(llowed to go to worlds)	1st	Closing Opposition	View Ballot	Reana YanⒸ , Alain Humura , Brandon Zi Mo Zhang , James CampⓉ
concepts of a plan	2nd	Closing Government	View Ballot	Reana YanⒸ , Alain Humura , Brandon Zi Mo Zhang , James CampⓉ
Fordham A	3rd	Opening Government	View Ballot	Simon YuⒸ , Stine Isak , Dylan BallardⓉ , Gage Matthew GerenⓉ
SDOWU	1st	Opening Opposition	View Ballot	Simon YuⒸ , Stine Isak , Dylan BallardⓉ , Gage Matthew GerenⓉ
Ford F1-50 🛻	2nd	Closing Opposition	View Ballot	Simon YuⒸ , Stine Isak , Dylan BallardⓉ , Gage Matthew GerenⓉ
Fracking 😍	4th	Closing Government	View Ballot	Simon YuⒸ , Stine Isak , Dylan BallardⓉ , Gage Matthew GerenⓉ
Cornell A	3rd	Closing Opposition	View Ballot	Jaleelah AmmarⒸ , McEwen Reil , Safo Kwame OhenebaⓉ
Harvard GG	2nd	Opening Government	View Ballot	Jaleelah AmmarⒸ , McEwen Reil , Safo Kwame OhenebaⓉ
Princeton BB	4th	Closing Government	View Ballot	Jaleelah AmmarⒸ , McEwen Reil , Safo Kwame OhenebaⓉ
Stanford LS	1st	Opening Opposition	View Ballot	Jaleelah AmmarⒸ , McEwen Reil , Safo Kwame OhenebaⓉ
Washedasaurus Rex	1st	Opening Government	View Ballot	Humam AzizⒸ , Sophie Zhang , Kitana HudgensⓉ , Vivian YeⓉ
Middlebury CC	4th	Opening Opposition	View Ballot	Humam AzizⒸ , Sophie Zhang , Kitana HudgensⓉ , Vivian YeⓉ
Whimsical Penguins	2nd	Closing Opposition	View Ballot	Humam AzizⒸ , Sophie Zhang , Kitana HudgensⓉ , Vivian YeⓉ
Emni	3rd	Closing Government	View Ballot	Humam AzizⒸ , Sophie Zhang , Kitana HudgensⓉ , Vivian YeⓉ
Fordham B	3rd	Opening Government	View Ballot	Crystal ZhangⒸ , Noah Aldinger , Benjamin EllisⓉ , Christina HarrahⓉ
Middlebury LS	2nd	Opening Opposition	View Ballot	Crystal ZhangⒸ , Noah Aldinger , Benjamin EllisⓉ , Christina HarrahⓉ
Speakeasy	4th	Closing Government	View Ballot	Crystal ZhangⒸ , Noah Aldinger , Benjamin EllisⓉ , Christina HarrahⓉ
EDS BK	1st	Closing Opposition	View Ballot	Crystal ZhangⒸ , Noah Aldinger , Benjamin EllisⓉ , Christina HarrahⓉ
Carleton We Will Bribe You	4th	Closing Government	View Ballot	Maria XuⒸ , Wandy , Aine CaseyⓉ , Shravani SubhedarⓉ
Queen&#x27;s 4	2nd	Closing Opposition	View Ballot	Maria XuⒸ , Wandy , Aine CaseyⓉ , Shravani SubhedarⓉ
