Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Tejas Subramaniam		Stanford LS	85	81	82	83	79	410	82.00	2.00
2	Ale Perri		Clash Royale	84	82	81	81	79	407	81.40	1.62
3=	Emma Jones		Washedasaurus Rex	80	82	82	82	80	406	81.20	0.98
3=	Roy Tiefer		Clash Royale	84	79	80	83	80	406	81.20	1.94
5	Elizabeth Li		Stanford LS	83	81	81	82	78	405	81.00	1.67
6	Rhys Nickerson		we were going to get married	82	83	78	81	80	404	80.80	1.72
7=	Helen Wu		Chrono-Synclastic Infundibulum	80	81	82	82	78	403	80.60	1.50
7=	Daniel Svirsky		Western disproving the Oxford study	81	81	82	83	76	403	80.60	2.42
7=	Vivek Gala		Debate, I Need Out! (DINO)	82	81	80	83	77	403	80.60	2.06
10=	Ethan Jiang		Chrono-Synclastic Infundibulum	80	81	82	81	78	402	80.40	1.36
10=	Hao Ni	Novice	Western disproving the Oxford study	81	82	80	82	77	402	80.40	1.85
10=	Lochlann Kerr		Debate, I Need Out! (DINO)	81	81	79	83	78	402	80.40	1.74
13=	Ananya Ganesh		Harvard GG	83	80	78	81	78	400	80.00	1.90
13=	Eve Pigat		woman enjoyers	80	81	80	81	78	400	80.00	1.10
13=	Rahul Kalavagunta		Channeling our Inner Bazooka	79	82	79	78	82	400	80.00	1.67
13=	Jacob Silcoff		Croc and Ball Torture	80	80	79	80	81	400	80.00	0.63
13=	Lily Mckay-De Carvalho		we were going to get married	78	83	76	83	80	400	80.00	2.76
18=	Ambika Grover		Harvard GG	83	79	77	82	78	399	79.80	2.32
18=	Karel Brandenbarg		Washedasaurus Rex	79	81	81	80	78	399	79.80	1.17
18=	Ted Chang		Harvard A(llowed to go to worlds)	81	82	78	80	78	399	79.80	1.60
21	Matt Mauriello		Harvard A(llowed to go to worlds)	81	81	79	79	78	398	79.60	1.20
22=	Barron Ren	Novice	Cornell A	77	78	80	81	81	397	79.40	1.62
22=	Naz Soysal		Milei neutrality	78	81	79	79	80	397	79.40	1.02
24=	Ram Orfanel		Cornell A	79	78	80	80	79	396	79.20	0.75
24=	Emma Blemaster		Mostly Harmless	81	78	80	79	78	396	79.20	1.17
24=	Belle Ho		Average Homunculus Torturers	81	83	78	79	75	396	79.20	2.71
24=	Anders Woodruff		Croc and Ball Torture	79	80	78	79	80	396	79.20	0.75
24=	Alex Zhu		moo deng and pesto	79	81	78	77	81	396	79.20	1.60
29	Kevin Chen	Novice	SDOWU	78	77	79	82	79	395	79.00	1.67
30	Seamus Allen		Mostly Harmless	80	79	80	79	76	394	78.80	1.47
31=	Tony Chen	Novice	SDOWU	78	77	78	81	79	393	78.60	1.36
31=	Will Ryan		Average Homunculus Torturers	80	81	79	78	75	393	78.60	2.06
33=	John Washburn		woman enjoyers	78	81	78	79	76	392	78.40	1.62
33=	Amy Chang		Stanford TC	77	78	79	79	79	392	78.40	0.80
33=	Guo Chen		moo deng and pesto	78	80	77	77	80	392	78.40	1.36
33=	Teddy Tawil		Milei neutrality	77	79	79	78	79	392	78.40	0.80
37	Justin Wu		Channeling our Inner Bazooka	77	79	79	77	79	391	78.20	0.98
38=	Anthony Galipeau		Falling American Male	76	78	78	80	78	390	78.00	1.26
38=	Veer Juneja		USC SV	76	77	79	78	80	390	78.00	1.41
40=	Vijay Tupper		rip 1989 limited edition theme	77	80	75	80	77	389	77.80	1.94
40=	Benjamin Thomas		Stanford TC	76	76	80	79	78	389	77.80	1.60
40=	Adrian Wattamaniuk		debaters in name only (DINO)	76	80	77	79	77	389	77.80	1.47
40=	Jesenia Parthasarathy		Chief Mousers	77	77	79	77	79	389	77.80	0.98
40=	Sherissa Wu		USC SV	76	79	77	77	80	389	77.80	1.47
45=	Diego Castillo		545 miles on the road	78	79	76	79	76	388	77.60	1.36
45=	Bridget Li		rip 1989 limited edition theme	77	81	74	80	76	388	77.60	2.58
45=	Emily Paulin		Whimsical Penguins	78	79	79	78	74	388	77.60	1.85
45=	Gabriel Frank-McPheter		Versatile Goats	76	78	76	80	78	388	77.60	1.50
45=	Netra Easwaran		tweaking yet locked in	78	78	77	79	76	388	77.60	1.02
45=	Charles Ndlovu		Styne is the name	77	78	80	77	76	388	77.60	1.36
51=	Nilabh Agrawal		Emni	77	78	78	76	78	387	77.40	0.80
51=	Emily Chen		Emni	77	78	77	77	78	387	77.40	0.49
51=	Feifei Mei	Novice	Chief Mousers	77	76	80	77	77	387	77.40	1.36
51=	William Berry		tweaking yet locked in	79	78	77	77	76	387	77.40	1.02
51=	Ricky Zhou	Novice	rawdogging exams	77	78	78	77	77	387	77.40	0.49
51=	Andrew Liu		i dont want to do this anymore	77	78	77	75	80	387	77.40	1.62
51=	Speaker 1		Swing A	78	79	79	77	74	387	77.40	1.85
58=	Warren Chen		EMILY (and warren)	77	76	77	78	78	386	77.20	0.75
58=	Caitlin Hodge	Novice	Whimsical Penguins	77	79	77	78	75	386	77.20	1.33
58=	Eyas Valdez		Falling American Male	75	77	78	79	77	386	77.20	1.33
58=	Abhi Wadhwa	Novice	USC JW	77	77	77	78	77	386	77.20	0.40
58=	Faith Liu		Styne is the name	78	78	79	76	75	386	77.20	1.47
63=	William Lock		Cornell C	78	79	77	77	74	385	77.00	1.67
63=	William Chen	Novice	UBC TW	76	80	77	76	76	385	77.00	1.55
63=	Ken Tieu		debaters in name only (DINO)	75	80	76	78	76	385	77.00	1.79
63=	Victoria Moldovan	Novice	BRAT	74	80	77	77	77	385	77.00	1.90
63=	Annaliese Simons		Bard The Spleen Eaters	77	78	77	77	76	385	77.00	0.63
63=	Pedro Proano		EDS KP	78	75	78	78	76	385	77.00	1.26
63=	Heba Haq		Wisconsin HN	79	77	76	78	75	385	77.00	1.41
63=	Sandy Nayar		Wisconsin HN	78	77	76	79	75	385	77.00	1.41
63=	Ananya Bose		Waterloo B	78	76	80	77	74	385	77.00	2.00
63=	Inqiyad Patwary		Waterloo B	78	75	79	79	74	385	77.00	2.10
63=	Sherry Shu		i dont want to do this anymore	75	77	79	75	79	385	77.00	1.79
63=	Aidan Healy		H&amp;M Aparrel	78	78	76	78	75	385	77.00	1.26
63=	Maya Mufson		H&amp;M Aparrel	78	78	76	78	75	385	77.00	1.26
76=	Emily Hardie	Novice	EMILY (and warren)	76	76	77	77	78	384	76.80	0.75
76=	Bess Olshen		Versatile Goats	75	77	75	79	78	384	76.80	1.60
76=	Tom Chitwood		Bard The Spleen Eaters	76	78	77	76	77	384	76.80	0.75
76=	Sanjana Kumar	Novice	Princeton Sleepy Joes	79	75	75	80	75	384	76.80	2.23
76=	Anna Liu		USC LD	77	81	73	80	73	384	76.80	3.37
76=	Harshitha Dasari		USC LD	78	80	73	80	73	384	76.80	3.19
76=	Lamia Nur Rahman		HWS A	78	79	75	77	75	384	76.80	1.60
83=	Parker Keeley		BRAT	73	79	78	76	77	383	76.60	2.06
83=	Advait Sangle		charlie and tao	76	79	77	77	74	383	76.60	1.62
83=	Annika Frankiss		Queen&#x27;s 4	75	77	78	78	75	383	76.60	1.36
