team	result	side	ballot	adjudicators
PandITAM	3rd	Opening Government	View Ballot	Celine NghiemⒸ , Eric Guadarrama Cruz
María y Brisa	2nd	Opening Opposition	View Ballot	Celine NghiemⒸ , Eric Guadarrama Cruz
HWS C	4th	Closing Government	View Ballot	Celine NghiemⒸ , Eric Guadarrama Cruz
TEC CEM Chile Relleno	1st	Closing Opposition	View Ballot	Celine NghiemⒸ , Eric Guadarrama Cruz
Queen&#x27;s Lily Larkins	4th	Opening Government	View Ballot	Serena YuanⒸ , Daksha Pillai , Isolda Vela
MLE Choppa	3rd	Opening Opposition	View Ballot	Serena YuanⒸ , Daksha Pillai , Isolda Vela
Paradise City	2nd	Closing Government	View Ballot	Serena YuanⒸ , Daksha Pillai , Isolda Vela
California girls, we&#x27;re unforgetta	1st	Closing Opposition	View Ballot	Serena YuanⒸ , Daksha Pillai , Isolda Vela
Middlebury SG	4th	Opening Government	View Ballot	Natalia GarcíaⒸ , Felix Leonhardt , Preethi Mohan
Alberta A	3rd	Opening Opposition	View Ballot	Natalia GarcíaⒸ , Felix Leonhardt , Preethi Mohan
Stanford KR	2nd	Closing Government	View Ballot	Natalia GarcíaⒸ , Felix Leonhardt , Preethi Mohan
Stanford AG	1st	Closing Opposition	View Ballot	Natalia GarcíaⒸ , Felix Leonhardt , Preethi Mohan
Middlebury SM	4th	Opening Government	View Ballot	Jack MorgensteinⒸ , Arturo Aubry , James Lewis
UCBerkeley Blue	2nd	Opening Opposition	View Ballot	Jack MorgensteinⒸ , Arturo Aubry , James Lewis
UCBerkeley AD	3rd	Closing Government	View Ballot	Jack MorgensteinⒸ , Arturo Aubry , James Lewis
Welcome to the Hotel California	1st	Closing Opposition	View Ballot	Jack MorgensteinⒸ , Arturo Aubry , James Lewis
Californication	1st	Opening Government	View Ballot	Emily ZhangⒸ , Brian Conde Martinez
Queen&#x27;s Annika Tucker	2nd	Opening Opposition	View Ballot	Emily ZhangⒸ , Brian Conde Martinez
SCREEE	3rd	Closing Government	View Ballot	Emily ZhangⒸ , Brian Conde Martinez
ITESM TOLUCA SS	4th	Closing Opposition	View Ballot	Emily ZhangⒸ , Brian Conde Martinez
HWS B	2nd	Opening Government	View Ballot	Manuel MachorroⒸ , Eric Tu
Dartmouth B	4th	Opening Opposition	View Ballot	Manuel MachorroⒸ , Eric Tu
Last Hurrah	1st	Closing Government	View Ballot	Manuel MachorroⒸ , Eric Tu
HH VAMOSSSSSS	3rd	Closing Opposition	View Ballot	Manuel MachorroⒸ , Eric Tu
HH The Last Dance	2nd	Opening Government	View Ballot	Pranav AnandⒸ , Arturo Serrano Borrero , Cayden Pocrass
Swarthmore A	4th	Opening Opposition	View Ballot	Pranav AnandⒸ , Arturo Serrano Borrero , Cayden Pocrass
TEC CEM Torta de Chilaquil	3rd	Closing Government	View Ballot	Pranav AnandⒸ , Arturo Serrano Borrero , Cayden Pocrass
Harvard AL	1st	Closing Opposition	View Ballot	Pranav AnandⒸ , Arturo Serrano Borrero , Cayden Pocrass
Duke SZ	2nd	Opening Government	View Ballot	Elgin LinⒸ , Silin Wei , Vanessa Arroyo
2 of Amerikaz Most Wanted	4th	Opening Opposition	View Ballot	Elgin LinⒸ , Silin Wei , Vanessa Arroyo
McGill LT	1st	Closing Government	View Ballot	Elgin LinⒸ , Silin Wei , Vanessa Arroyo
Yale LM	3rd	Closing Opposition	View Ballot	Elgin LinⒸ , Silin Wei , Vanessa Arroyo
TECTOL-UAEMEX	2nd	Opening Government	View Ballot	Nitin AlaguⒸ , Hayley Cheung
TMX Jose y Luis	1st	Opening Opposition	View Ballot	Nitin AlaguⒸ , Hayley Cheung
Red Raider Debaters	3rd	Closing Government	View Ballot	Nitin AlaguⒸ , Hayley Cheung
TEC CEM Tacos de mixiote	4th	Closing Opposition	View Ballot	Nitin AlaguⒸ , Hayley Cheung
Yale ST	2nd	Opening Government	View Ballot	Tanvir ShahriarⒸ , Stephanie Chen
Queen&#x27;s Nimai Abernethy	1st	Opening Opposition	View Ballot	Tanvir ShahriarⒸ , Stephanie Chen
Stanford QF	4th	Closing Government	View Ballot	Tanvir ShahriarⒸ , Stephanie Chen
Columbia C	3rd	Closing Opposition	View Ballot	Tanvir ShahriarⒸ , Stephanie Chen
McGill WA	4th	Opening Government	View Ballot	Fernanda Crousillat RayterⒸ , Audrey Melody
Yale DG	2nd	Opening Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Audrey Melody
Rochester IN	3rd	Closing Government	View Ballot	Fernanda Crousillat RayterⒸ , Audrey Melody
HH Whose gonna carry the boat?!	1st	Closing Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Audrey Melody
Harvard HS	1st	Opening Government	View Ballot	Kira WaldhalmⒸ , Sabás Alejandro Colmenares Lasnibat , Vallerya Acuna
UWODS CL	4th	Opening Opposition	View Ballot	Kira WaldhalmⒸ , Sabás Alejandro Colmenares Lasnibat , Vallerya Acuna
USC SW	3rd	Closing Government	View Ballot	Kira WaldhalmⒸ , Sabás Alejandro Colmenares Lasnibat , Vallerya Acuna
USC BK	2nd	Closing Opposition	View Ballot	Kira WaldhalmⒸ , Sabás Alejandro Colmenares Lasnibat , Vallerya Acuna
USC LD	2nd	Opening Government	View Ballot	Justin WuⒸ , Kenn Jiang , Nathaniel Tesfaye
Stanford CT	1st	Opening Opposition	View Ballot	Justin WuⒸ , Kenn Jiang , Nathaniel Tesfaye
maybe I&#x27;m delusional ☝️ debate is 	4th	Closing Government	View Ballot	Justin WuⒸ , Kenn Jiang , Nathaniel Tesfaye
Stanford TY	3rd	Closing Opposition	View Ballot	Justin WuⒸ , Kenn Jiang , Nathaniel Tesfaye
Stanford LS	4th	Opening Government	View Ballot	Lelan HuⒸ , Molly Callaghan , Valerie Pang
Kalavagunta and Lu	1st	Opening Opposition	View Ballot	Lelan HuⒸ , Molly Callaghan , Valerie Pang
Dartmouth A	3rd	Closing Government	View Ballot	Lelan HuⒸ , Molly Callaghan , Valerie Pang
McGill RM	2nd	Closing Opposition	View Ballot	Lelan HuⒸ , Molly Callaghan , Valerie Pang
UWODS A	3rd	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Jorge Alberto Galindo Jasso , Rohan Goda
HH Xi Simping	1st	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Jorge Alberto Galindo Jasso , Rohan Goda
EDS A	4th	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Jorge Alberto Galindo Jasso , Rohan Goda
HWS A	2nd	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Jorge Alberto Galindo Jasso , Rohan Goda
Technocratic communism	3rd	Opening Government	View Ballot	William ZhangⒸ , Casey Powell , William Chen
Stanford BZ	4th	Opening Opposition	View Ballot	William ZhangⒸ , Casey Powell , William Chen
TEC CEM Quesadillas &lt;3	2nd	Closing Government	View Ballot	William ZhangⒸ , Casey Powell , William Chen
Dartmouth C	1st	Closing Opposition	View Ballot	William ZhangⒸ , Casey Powell , William Chen
UBC TB	1st	Opening Government	View Ballot	Juanita Hincapié RestrepoⒸ , Gianluca Lo Porto , Varun Lodaya
UCBerkeley XK	3rd	Opening Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Gianluca Lo Porto , Varun Lodaya
UCBerkeley HE	2nd	Closing Government	View Ballot	Juanita Hincapié RestrepoⒸ , Gianluca Lo Porto , Varun Lodaya
TMX Azulitos	4th	Closing Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Gianluca Lo Porto , Varun Lodaya
HH $2.4 Million Settlement	2nd	Opening Government	View Ballot	Ann TranⒸ , Andy Yescas , Jasmine Goncalves Piment
Columbia B	3rd	Opening Opposition	View Ballot	Ann TranⒸ , Andy Yescas , Jasmine Goncalves Piment
Middlebury SW	1st	Closing Government	View Ballot	Ann TranⒸ , Andy Yescas , Jasmine Goncalves Piment
/the/ mini eggs !	4th	Closing Opposition	View Ballot	Ann TranⒸ , Andy Yescas , Jasmine Goncalves Piment
Yale NS	2nd	Opening Government	View Ballot	Meg KandarpaⒸ , Greg Kwok
