team	result	side	ballot	adjudicators
Rosario C	4th	Opening Government	View Ballot	Mohammed HabibⒸ , Lan Tran , Sara Rabon
WUDU 1	2nd	Opening Opposition	View Ballot	Mohammed HabibⒸ , Lan Tran , Sara Rabon
BAC no spec all logic	3rd	Closing Government	View Ballot	Mohammed HabibⒸ , Lan Tran , Sara Rabon
EDS C	1st	Closing Opposition	View Ballot	Mohammed HabibⒸ , Lan Tran , Sara Rabon
Copenhagen PS	3rd	Closing Government	View Ballot	Dylan McCarthyⒸ , Andres Revelo , Kaushiki Ishwar
KCL CS	4th	Opening Opposition	View Ballot	Dylan McCarthyⒸ , Andres Revelo , Kaushiki Ishwar
The Abraham Accords	2nd	Closing Opposition	View Ballot	Dylan McCarthyⒸ , Andres Revelo , Kaushiki Ishwar
Malaya/Taylor&#x27;s SA	1st	Opening Government	View Ballot	Dylan McCarthyⒸ , Andres Revelo , Kaushiki Ishwar
UFSC OR	1st	Opening Opposition	View Ballot	BasimⒸ , Collins Chinonso , Melina Piatti-Chayan
WUDU 3	2nd	Opening Government	View Ballot	BasimⒸ , Collins Chinonso , Melina Piatti-Chayan
HWS BM	4th	Closing Government	View Ballot	BasimⒸ , Collins Chinonso , Melina Piatti-Chayan
HWS RT	3rd	Closing Opposition	View Ballot	BasimⒸ , Collins Chinonso , Melina Piatti-Chayan
NTU BL	2nd	Opening Opposition	View Ballot	Kojo O. AcheampongⒸ , Naman Singh Vig , Zuhaer Ahnaf Talha
Open GM	1st	Opening Government	View Ballot	Kojo O. AcheampongⒸ , Naman Singh Vig , Zuhaer Ahnaf Talha
BAC UM we will be BAC	3rd	Closing Opposition	View Ballot	Kojo O. AcheampongⒸ , Naman Singh Vig , Zuhaer Ahnaf Talha
MDU 0.1m2 galvanised square steel	4th	Closing Government	View Ballot	Kojo O. AcheampongⒸ , Naman Singh Vig , Zuhaer Ahnaf Talha
Pompeu Fabra BG	2nd	Closing Government	View Ballot	Ananya KrishnaⒸ , Brina Verdnik , Dhanyeta Devi Sarawana Kumar
Wisconsin HN	4th	Opening Government	View Ballot	Ananya KrishnaⒸ , Brina Verdnik , Dhanyeta Devi Sarawana Kumar
Georgia Tech Willage Warriors	3rd	Closing Opposition	View Ballot	Ananya KrishnaⒸ , Brina Verdnik , Dhanyeta Devi Sarawana Kumar
NTU BT	1st	Opening Opposition	View Ballot	Ananya KrishnaⒸ , Brina Verdnik , Dhanyeta Devi Sarawana Kumar
Cornell KZ	4th	Opening Opposition	View Ballot	Aaron WangⒸ , Clive Mbudaya , Sarah Willrich
NU BZ	3rd	Closing Opposition	View Ballot	Aaron WangⒸ , Clive Mbudaya , Sarah Willrich
SRCC KN	2nd	Closing Government	View Ballot	Aaron WangⒸ , Clive Mbudaya , Sarah Willrich
Fudan A	1st	Opening Government	View Ballot	Aaron WangⒸ , Clive Mbudaya , Sarah Willrich
HH BY	4th	Closing Opposition	View Ballot	Rahul KalavaguntaⒸ , Geneva Luteria , Tengku Omar
Inner Temple B	2nd	Opening Government	View Ballot	Rahul KalavaguntaⒸ , Geneva Luteria , Tengku Omar
UPenn Belt and Road Initiative	3rd	Closing Government	View Ballot	Rahul KalavaguntaⒸ , Geneva Luteria , Tengku Omar
Open Matt and Robi	1st	Opening Opposition	View Ballot	Rahul KalavaguntaⒸ , Geneva Luteria , Tengku Omar
Amherst GT	3rd	Opening Government	View Ballot	Rose ZhouⒸ , Adrian Duque , Tin Puljić
Usask SM	2nd	Opening Opposition	View Ballot	Rose ZhouⒸ , Adrian Duque , Tin Puljić
Open AS	1st	Closing Opposition	View Ballot	Rose ZhouⒸ , Adrian Duque , Tin Puljić
Oxford C(lutch szn)	4th	Closing Government	View Ballot	Rose ZhouⒸ , Adrian Duque , Tin Puljić
Cornell GL	3rd	Closing Government	View Ballot	Youngwoo ParkⒸ , Daniella Louise S. Barbacena , Emily Paulin
Columbia A	1st	Opening Government	View Ballot	Youngwoo ParkⒸ , Daniella Louise S. Barbacena , Emily Paulin
UPenn viha left me	4th	Closing Opposition	View Ballot	Youngwoo ParkⒸ , Daniella Louise S. Barbacena , Emily Paulin
Warsaw HI	2nd	Opening Opposition	View Ballot	Youngwoo ParkⒸ , Daniella Louise S. Barbacena , Emily Paulin
Open HM	1st	Opening Opposition	View Ballot	Tarun RuschmeierⒸ , Laura Zhang , Vani Bhardwaj , William Zhang
Open AC	2nd	Opening Government	View Ballot	Tarun RuschmeierⒸ , Laura Zhang , Vani Bhardwaj , William Zhang
HWS RC	4th	Closing Opposition	View Ballot	Tarun RuschmeierⒸ , Laura Zhang , Vani Bhardwaj , William Zhang
EDS ex-novs debating at a novice level	3rd	Closing Government	View Ballot	Tarun RuschmeierⒸ , Laura Zhang , Vani Bhardwaj , William Zhang
HH MZ	2nd	Opening Opposition	View Ballot	Eli FerrellⒸ , Eve Pigat , Guyberli
LUMS KT	3rd	Closing Opposition	View Ballot	Eli FerrellⒸ , Eve Pigat , Guyberli
Addiction help needed	1st	Closing Government	View Ballot	Eli FerrellⒸ , Eve Pigat , Guyberli
TEC CEM Taco Bell version	4th	Opening Government	View Ballot	Eli FerrellⒸ , Eve Pigat , Guyberli
Clemson HK	4th	Opening Opposition	View Ballot	Shivani MishraⒸ , Edona Cosovic , Mahle Qina
RMIT MT	3rd	Opening Government	View Ballot	Shivani MishraⒸ , Edona Cosovic , Mahle Qina
Columbia BF	1st	Closing Opposition	View Ballot	Shivani MishraⒸ , Edona Cosovic , Mahle Qina
DAV LA	2nd	Closing Government	View Ballot	Shivani MishraⒸ , Edona Cosovic , Mahle Qina
Khalsa SV	2nd	Closing Government	View Ballot	Jaleelah AmmarⒸ , Nadia Blouin , Vedika Kedia
WUDU 2	3rd	Closing Opposition	View Ballot	Jaleelah AmmarⒸ , Nadia Blouin , Vedika Kedia
Duke RY	1st	Opening Government	View Ballot	Jaleelah AmmarⒸ , Nadia Blouin , Vedika Kedia
Denison - Olympia Schools Chester	4th	Opening Opposition	View Ballot	Jaleelah AmmarⒸ , Nadia Blouin , Vedika Kedia
UWODS LU	4th	Closing Opposition	View Ballot	Rahul DattaⒸ , Ania Sawicka , Pranav Anand
Oxford The Couch	2nd	Closing Government	View Ballot	Rahul DattaⒸ , Ania Sawicka , Pranav Anand
HWS A	3rd	Opening Opposition	View Ballot	Rahul DattaⒸ , Ania Sawicka , Pranav Anand
UWODS Tony	1st	Opening Government	View Ballot	Rahul DattaⒸ , Ania Sawicka , Pranav Anand
Harvard the panda elephant tigers	3rd	Opening Government	View Ballot	Diego DuarteⒸ , Jane Mentzinger , Tousif Tanvir Alam
UPD AL	2nd	Closing Government	View Ballot	Diego DuarteⒸ , Jane Mentzinger , Tousif Tanvir Alam
Open Matt and Paula	1st	Closing Opposition	View Ballot	Diego DuarteⒸ , Jane Mentzinger , Tousif Tanvir Alam
HUJI AA	4th	Opening Opposition	View Ballot	Diego DuarteⒸ , Jane Mentzinger , Tousif Tanvir Alam
MDU AS	1st	Closing Opposition	View Ballot	Ram OrfanelⒸ , Gin Nguyen , Nafis Hasan Ruman
Open MT	2nd	Opening Opposition	View Ballot	Ram OrfanelⒸ , Gin Nguyen , Nafis Hasan Ruman
Rosario D-UCV	3rd	Closing Government	View Ballot	Ram OrfanelⒸ , Gin Nguyen , Nafis Hasan Ruman
Calgary Bitorko Onushilon	4th	Opening Government	View Ballot	Ram OrfanelⒸ , Gin Nguyen , Nafis Hasan Ruman
UA&amp;P Ted &amp; Lily	3rd	Closing Government	View Ballot	Krish SinghⒸ , Robyn DeMille , Thang Tran
Rosario Extrañamos a Juanita	2nd	Opening Government	View Ballot	Krish SinghⒸ , Robyn DeMille , Thang Tran
MSU Timella de Vil	4th	Closing Opposition	View Ballot	Krish SinghⒸ , Robyn DeMille , Thang Tran
HWS Danny’s Disciples	1st	Opening Opposition	View Ballot	Krish SinghⒸ , Robyn DeMille , Thang Tran
UNIMET GR	2nd	Closing Opposition	View Ballot	Pao TainoⒸ , Arya Arunav Dash , Onyido Prosper
Wisconsin GP	4th	Opening Opposition	View Ballot	Pao TainoⒸ , Arya Arunav Dash , Onyido Prosper
UFMG FV	1st	Closing Government	View Ballot	Pao TainoⒸ , Arya Arunav Dash , Onyido Prosper
PUCP EN	3rd	Opening Government	View Ballot	Pao TainoⒸ , Arya Arunav Dash , Onyido Prosper
Vukovar A	2nd	Opening Opposition	View Ballot	Jenna HongⒸ , Chinwendu Bolaji Ayodele , Shachar Gold
UPenn Springfield Immigrants	4th	Opening Government	View Ballot	Jenna HongⒸ , Chinwendu Bolaji Ayodele , Shachar Gold
Open lubricated probe covers for m	1st	Closing Opposition	View Ballot	Jenna HongⒸ , Chinwendu Bolaji Ayodele , Shachar Gold
we wood ruff yu up	3rd	Closing Government	View Ballot	Jenna HongⒸ , Chinwendu Bolaji Ayodele , Shachar Gold
PUCP OR	3rd	Closing Government	View Ballot	Nikolay AngelovⒸ , Jessica Zapata , Rishabh Gupta
Open AZ	4th	Opening Government	View Ballot	Nikolay AngelovⒸ , Jessica Zapata , Rishabh Gupta
USC 1	1st	Opening Opposition	View Ballot	Nikolay AngelovⒸ , Jessica Zapata , Rishabh Gupta
Prinkston	2nd	Closing Opposition	View Ballot	Nikolay AngelovⒸ , Jessica Zapata , Rishabh Gupta
Georgia Tech SR	1st	Opening Government	View Ballot	Rashi SharmaⒸ , Landon Prokopinski , Ong Li Han
Clemson GO	2nd	Closing Government	View Ballot	Rashi SharmaⒸ , Landon Prokopinski , Ong Li Han
MSU Hannahble Esther	3rd	Closing Opposition	View Ballot	Rashi SharmaⒸ , Landon Prokopinski , Ong Li Han
CU A	4th	Opening Opposition	View Ballot	Rashi SharmaⒸ , Landon Prokopinski , Ong Li Han
GoD AK	1st	Opening Government	View Ballot	Sachin TisseraⒸ , Keshav , Tavish Joshi , Shrey PanchaniⓉ
IUT KA	3rd	Opening Opposition	View Ballot	Sachin TisseraⒸ , Keshav , Tavish Joshi , Shrey PanchaniⓉ
Rochester NL	2nd	Closing Opposition	View Ballot	Sachin TisseraⒸ , Keshav , Tavish Joshi , Shrey PanchaniⓉ
MDU LT	4th	Closing Government	View Ballot	Sachin TisseraⒸ , Keshav , Tavish Joshi , Shrey PanchaniⓉ
Chicago HS	1st	Closing Government	View Ballot	Saleem SalisuⒸ , Jodel Avenis , Tarannum Tasnim Sohani , Theodore Rehm
MUST stay up all night	4th	Opening Government	View Ballot	Saleem SalisuⒸ , Jodel Avenis , Tarannum Tasnim Sohani , Theodore Rehm
Rosario D	2nd	Closing Opposition	View Ballot	Saleem SalisuⒸ , Jodel Avenis , Tarannum Tasnim Sohani , Theodore Rehm
Fordham Rams EV	3rd	Opening Opposition	View Ballot	Saleem SalisuⒸ , Jodel Avenis , Tarannum Tasnim Sohani , Theodore Rehm
IIT Bombay CK	1st	Closing Government	View Ballot	Kunal DhawanⒸ , Aryan Khokher , Esther Ayodele
Clemson AF	2nd	Closing Opposition	View Ballot	Kunal DhawanⒸ , Aryan Khokher , Esther Ayodele
Wisconsin CT	3rd	Opening Government	View Ballot	Kunal DhawanⒸ , Aryan Khokher , Esther Ayodele
Harvard AD	4th	Opening Opposition	View Ballot	Kunal DhawanⒸ , Aryan Khokher , Esther Ayodele
Open Raman and Vanni	2nd	Closing Opposition	View Ballot	Ametu ProsperⒸ , Rubaiyat Samad , Shudipto Ahmed
HH RK	1st	Opening Government	View Ballot	Ametu ProsperⒸ , Rubaiyat Samad , Shudipto Ahmed
UPenn China and Greater China	3rd	Closing Government	View Ballot	Ametu ProsperⒸ , Rubaiyat Samad , Shudipto Ahmed
Ted owns his shit	4th	Opening Opposition	View Ballot	Ametu ProsperⒸ , Rubaiyat Samad , Shudipto Ahmed
Brown HN	4th	Opening Government	View Ballot	Vladimira SuflajⒸ , Mishaal Said , Nkosilathi Nkala
NSU A	3rd	Opening Opposition	View Ballot	Vladimira SuflajⒸ , Mishaal Said , Nkosilathi Nkala
Open GF	2nd	Closing Government	View Ballot	Vladimira SuflajⒸ , Mishaal Said , Nkosilathi Nkala
Oxford B	1st	Closing Opposition	View Ballot	Vladimira SuflajⒸ , Mishaal Said , Nkosilathi Nkala
Chicago MP	4th	Opening Opposition	View Ballot	Silin WeiⒸ , Alif Hossain , Pjotr Koster
Open LI	3rd	Closing Opposition	View Ballot	Silin WeiⒸ , Alif Hossain , Pjotr Koster
ETH Zurich AS	2nd	Closing Government	View Ballot	Silin WeiⒸ , Alif Hossain , Pjotr Koster
Oxford Friendship is Magic	1st	Opening Government	View Ballot	Silin WeiⒸ , Alif Hossain , Pjotr Koster
Harvard Humwat	4th	Closing Opposition	View Ballot	Uphie AbdurrahmanⒸ , Ayodele Samuel , Weronika Hupert
UCL CD	2nd	Opening Government	View Ballot	Uphie AbdurrahmanⒸ , Ayodele Samuel , Weronika Hupert
Open Absorbent, Yellow, and Porous	3rd	Closing Government	View Ballot	Uphie AbdurrahmanⒸ , Ayodele Samuel , Weronika Hupert
EDS if we break we&#x27;ll get married :)	1st	Opening Opposition	View Ballot	Uphie AbdurrahmanⒸ , Ayodele Samuel , Weronika Hupert
HH AS	4th	Closing Government	View Ballot	Aymaan SheikhⒸ , Aryan , Xiao-ke Lu
Open MR	1st	Closing Opposition	View Ballot	Aymaan SheikhⒸ , Aryan , Xiao-ke Lu
UFD A	3rd	Opening Government	View Ballot	Aymaan SheikhⒸ , Aryan , Xiao-ke Lu
Columbia CM	2nd	Opening Opposition	View Ballot	Aymaan SheikhⒸ , Aryan , Xiao-ke Lu
Colombo HK	2nd	Opening Government	View Ballot	Gianluca LoPortoⒸ , Brandon J , Rameen Khan
Clemson ML	3rd	Opening Opposition	View Ballot	Gianluca LoPortoⒸ , Brandon J , Rameen Khan
Sciences Po FV	4th	Closing Government	View Ballot	Gianluca LoPortoⒸ , Brandon J , Rameen Khan
UIUC GX	1st	Closing Opposition	View Ballot	Gianluca LoPortoⒸ , Brandon J , Rameen Khan
Chicago CP	3rd	Opening Government	View Ballot	Wurdaan KashifⒸ , Arianna Pantoja , Raihan Rahman
Liverpool AM	1st	Closing Government	View Ballot	Wurdaan KashifⒸ , Arianna Pantoja , Raihan Rahman
Harvard GS	4th	Opening Opposition	View Ballot	Wurdaan KashifⒸ , Arianna Pantoja , Raihan Rahman
Malaya A	2nd	Closing Opposition	View Ballot	Wurdaan KashifⒸ , Arianna Pantoja , Raihan Rahman
