Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Matt Caito		Open Matt and Paula	81	84	81	82	83	411	82.20	1.17
2	Matt Mauriello		Open Matt and Robi	80	83	79	82	84	408	81.60	1.85
3	Tanae Rao		Inner Temple B	80	82	81	82	82	407	81.40	0.80
4	Sam Druce		Open lubricated probe covers for m	82	81	82	79	82	406	81.20	1.17
5=	Ayal Mor	ESL	HUJI AA	80	84	80	82	79	405	81.00	1.79
5=	Robert Raos	ESL	Open Matt and Robi	80	83	78	82	82	405	81.00	1.79
7=	Andrew Chen		Inner Temple B	79	82	80	81	82	404	80.80	1.17
7=	Luigi Alcaneses		UPD AL	81	80	83	80	80	404	80.80	1.17
7=	Jason Tu		UPenn Belt and Road Initiative	79	82	81	81	81	404	80.80	0.98
7=	Ashwin Laksumanage	ESL	UPenn Belt and Road Initiative	79	82	81	82	80	404	80.80	1.17
11=	Bea Legaspi	ESL	UPD AL	80	81	82	80	80	403	80.60	0.80
11=	Dhruv Hariharan		Open lubricated probe covers for m	80	81	80	80	82	403	80.60	0.80
13	Amitai Ben Porat	ESL	HUJI AA	79	83	79	81	79	401	80.20	1.60
14=	Alexandra Uy-Tioco		UPenn China and Greater China	81	80	81	79	79	400	80.00	0.89
14=	Tanush Agarwal		Oxford C(lutch szn)	79	82	80	80	79	400	80.00	1.10
16=	Ambika Grover		Harvard the panda elephant tigers	79	79	81	81	79	399	79.80	0.98
16=	Adam Banihani		HH BY	79	80	82	79	79	399	79.80	1.17
16=	Veer Juneja		USC 1	78	81	81	79	80	399	79.80	1.17
16=	Alexandr Susic		Open AS	80	76	80	82	81	399	79.80	2.04
16=	Ziyad Anwer		Liverpool AM	76	81	78	83	81	399	79.80	2.48
16=	Rohan campion		UCL CD	77	82	80	79	81	399	79.80	1.72
16=	Andy Cullinan		Prinkston	80	80	77	82	80	399	79.80	1.60
23=	Laura Serafine Pilmark	ESL	Copenhagen PS	77	81	79	80	81	398	79.60	1.50
23=	Mohamed Humaid Saleem		Harvard Humwat	79	82	77	81	79	398	79.60	1.74
23=	Olivia Mackender		Liverpool AM	76	80	78	81	83	398	79.60	2.42
23=	Lovro Marušić	ESL	Vukovar A	79	78	80	80	81	398	79.60	1.02
23=	Arpi Yang		HH BY	79	79	82	78	80	398	79.60	1.36
23=	Harith Menon	Novice	Open HM	83	80	76	80	79	398	79.60	2.24
23=	Bonfilio Dazzle	ESL	Oxford C(lutch szn)	79	81	80	80	78	398	79.60	1.02
30=	Stephanie Chen		Harvard the panda elephant tigers	79	78	81	79	80	397	79.40	1.02
30=	Isabelle Monsman	Novice	Usask SM	78	80	79	80	80	397	79.40	0.80
30=	Anais Kneppers		EDS if we break we&#x27;ll get married :)	76	80	79	81	81	397	79.40	1.85
30=	Henry Clement-Jones		KCL CS	78	81	81	79	78	397	79.40	1.36
30=	Umar Fazlan	Novice, ESL	Open GF	80	81	78	78	80	397	79.40	1.20
30=	Tori Ling	Novice, ESL	UPenn China and Greater China	80	80	81	78	78	397	79.40	1.20
30=	Gareth Lim		Oxford Friendship is Magic	81	78	79	80	79	397	79.40	1.02
37=	Bharath Anantham		Oxford Friendship is Magic	80	79	79	79	79	396	79.20	0.40
37=	Ale Perri		Chicago CP	78	81	78	80	79	396	79.20	1.17
37=	Martha Johanne Schou	ESL	Copenhagen PS	76	82	79	79	80	396	79.20	1.94
37=	Isaiah Hui	Novice	Open HM	82	79	76	80	79	396	79.20	1.94
37=	Arjun Raman		Open Raman and Vanni	81	79	78	78	80	396	79.20	1.17
42=	Will Shevkenek	Novice	Usask SM	78	79	80	78	80	395	79.00	0.89
42=	Belle Ho		Open Absorbent, Yellow, and Porous	81	79	78	77	80	395	79.00	1.41
42=	Kuhan Karttikeyn	ESL	Malaya A	80	80	75	78	82	395	79.00	2.37
42=	James Alexandr Carr		Open AS	78	75	80	82	80	395	79.00	2.37
42=	Stefan Josipović	ESL	Vukovar A	80	77	80	78	80	395	79.00	1.26
42=	Henrietta Vanni		Open Raman and Vanni	80	80	78	78	79	395	79.00	0.89
42=	Jonathan Chen		Chicago CP	77	80	78	80	80	395	79.00	1.26
