team	result	side	ballot	adjudicators
Sciences Po Lygamy	4th	Opening Opposition	View Ballot	Kat ChengⒸ , Hinano Haraguchi
EUDU Pain isn’t real, its all in your h	3rd	Closing Opposition	View Ballot	Kat ChengⒸ , Hinano Haraguchi
McGill When Humie met Andy	2nd	Closing Government	View Ballot	Kat ChengⒸ , Hinano Haraguchi
An Irish commie and a Bulgarian fa	1st	Opening Government	View Ballot	Kat ChengⒸ , Hinano Haraguchi
Untitled Pre ABP	3rd	Closing Government	View Ballot	Alishba IrfanⒸ , Hibiki Okada , Sukanya
Trivium B	1st	Opening Opposition	View Ballot	Alishba IrfanⒸ , Hibiki Okada , Sukanya
One day, One Dream	2nd	Opening Government	View Ballot	Alishba IrfanⒸ , Hibiki Okada , Sukanya
GUU What is Street Countdown? It is mo	4th	Closing Opposition	View Ballot	Alishba IrfanⒸ , Hibiki Okada , Sukanya
Josh says no making pasta at 2 AM	4th	Opening Government	View Ballot	Paula DjakovićⒸ , Raihan Rahman
LSE (C)unt means friend in Australia	1st	Opening Opposition	View Ballot	Paula DjakovićⒸ , Raihan Rahman
Queen’s QDU A	3rd	Closing Government	View Ballot	Paula DjakovićⒸ , Raihan Rahman
ETH Zurich ereum	2nd	Closing Opposition	View Ballot	Paula DjakovićⒸ , Raihan Rahman
EUDU If we can&#x27;t win, (B)a(f)fle	3rd	Closing Government	View Ballot	Jaleelah AmmarⒸ
TCD Phil KoKelly Fella	4th	Opening Government	View Ballot	Jaleelah AmmarⒸ
Hart House MI6	2nd	Opening Opposition	View Ballot	Jaleelah AmmarⒸ
Zagreb A	1st	Closing Opposition	View Ballot	Jaleelah AmmarⒸ
EDS I don’t like work but unfortunatel	2nd	Opening Opposition	View Ballot	Fiachra NolanⒸ , Lwandle Ntshangase
Exeter Will sell team name rights 4 Euros	1st	Closing Government	View Ballot	Fiachra NolanⒸ , Lwandle Ntshangase
Warwick Snapping Spaghetti in Half Every T	3rd	Opening Government	View Ballot	Fiachra NolanⒸ , Lwandle Ntshangase
TCD Hist Too employed to spend time debatin	4th	Closing Opposition	View Ballot	Fiachra NolanⒸ , Lwandle Ntshangase
Only here to outtab our A Team	2nd	Opening Opposition	View Ballot	Max RosenⒸ
Oxford GG	3rd	Closing Government	View Ballot	Max RosenⒸ
TCD Phil The other artists formerly known a	4th	Opening Government	View Ballot	Max RosenⒸ
Socrat-Deez Nuts	1st	Closing Opposition	View Ballot	Max RosenⒸ
Finance, trust fund, 6&#x27;5, blue eye	2nd	Closing Government	View Ballot	Prosper Michael AmetuⒸ , Rishabh Gupta
Why’d You Choose the Bear	3rd	Opening Government	View Ballot	Prosper Michael AmetuⒸ , Rishabh Gupta
Jesus died from/for this	4th	Closing Opposition	View Ballot	Prosper Michael AmetuⒸ , Rishabh Gupta
TCD Hist Ziyad stop speaking with former WS	1st	Opening Opposition	View Ballot	Prosper Michael AmetuⒸ , Rishabh Gupta
Kings College London this time we have bitches	1st	Closing Opposition	View Ballot	Theo SimionⒸ , Eziel Johnson
Lara i Lovro	4th	Closing Government	View Ballot	Theo SimionⒸ , Eziel Johnson
St. Andrews OBohmna	3rd	Opening Government	View Ballot	Theo SimionⒸ , Eziel Johnson
Exeter Neither Average Nor Intelligent	2nd	Opening Opposition	View Ballot	Theo SimionⒸ , Eziel Johnson
Athens A	4th	Closing Government	View Ballot	Matt CaitoⒸ , Rose Zhou
HWS Mileyfanclub	2nd	Closing Opposition	View Ballot	Matt CaitoⒸ , Rose Zhou
Yale milei haters	3rd	Opening Government	View Ballot	Matt CaitoⒸ , Rose Zhou
Imperial A	1st	Opening Opposition	View Ballot	Matt CaitoⒸ , Rose Zhou
HUJI A&amp;A	2nd	Opening Opposition	View Ballot	Sourodip PaulⒸ , Vansh Chadha
TCD Hist We are running away from our respo	4th	Closing Government	View Ballot	Sourodip PaulⒸ , Vansh Chadha
