Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Tejas Subramaniam		Stanford 2	85	82	81	82	85	415	83.00	1.67
2	Elizabeth Li		Stanford 2	83	82	82	82	84	413	82.60	0.80
3	Mukudzeiishe Madzivire		Columbia 1	81	83	81	84	82	411	82.20	1.17
4=	Jacquelynn Lin		Princeton 1	81	84	79	81	84	409	81.80	1.94
4=	Edward Xu		Berkeley 3	79	84	84	79	83	409	81.80	2.32
6	Afzal Hussain		Princeton 4	83	80	85	79	81	408	81.60	2.15
7	Victor Tong		Columbia 1	80	82	82	81	82	407	81.40	0.80
8=	Stephanie Chen		Harvard 1	81	82	80	81	82	406	81.20	0.75
8=	Tarun Ruschmeier	ESL	Princeton 1	81	83	78	81	83	406	81.20	1.83
10=	Humaid Saleem		Harvard 5	77	79	83	81	85	405	81.00	2.83
10=	Shayor Ahmad Khan		Berkeley 3	78	83	84	79	81	405	81.00	2.28
12	Manuel Machorro		Bates 1	80	80	82	82	80	404	80.80	0.98
13	Ambika Grover		Harvard 1	80	80	81	79	82	402	80.40	1.02
14=	Alex Lee 🍚	Novice	Harvard 6	80	78	80	80	83	401	80.20	1.60
14=	Nir Amin		Harvard 8	82	81	77	81	80	401	80.20	1.72
16=	Will Ryan		UCLA 1	80	81	81	78	80	400	80.00	1.10
16=	Ananya Ganesh		Harvard 5	76	80	81	80	83	400	80.00	2.28
16=	Ted Chang		Harvard 6	78	79	81	80	82	400	80.00	1.41
16=	Tanya Chatterjee		Columbia 2	80	80	83	78	79	400	80.00	1.67
16=	Aashna Parikh	Novice	Princeton 4	80	80	79	79	82	400	80.00	1.10
16=	Manav Mittal		Bates 1	78	81	80	81	80	400	80.00	1.10
16=	Veer Juneja		USC 1	81	80	81	79	79	400	80.00	0.89
23=	Zach Berg	Novice	Harvard 2	80	79	78	80	82	399	79.80	1.33
23=	Daniel Sheremeta		Harvard 2	80	80	78	78	83	399	79.80	1.83
23=	Molly Callaghan		Harvard 3	81	78	80	81	79	399	79.80	1.17
23=	Catherine Liu		Harvard 3	80	79	79	81	80	399	79.80	0.75
23=	Rohan Sundaram		Columbia 2	81	79	82	78	79	399	79.80	1.47
28	Seamus Allen		Stanford 3	79	80	80	77	82	398	79.60	1.62
29	Emma Blemaster		Stanford 3	80	80	80	78	79	397	79.40	0.80
30=	Annushka Agarwal		Harvard 7	81	77	80	78	80	396	79.20	1.47
30=	Robiah Arefin Ibn Mahmud	Novice, ESL	Amherst 1	80	78	79	82	77	396	79.20	1.72
30=	Clement Tsao	Novice	UPenn 1	77	79	82	79	79	396	79.20	1.60
30=	Darshanik Aryal	Novice	Harvard 8	81	79	77	80	79	396	79.20	1.33
34	Faith Liu		Rochester 1	76	78	78	82	81	395	79.00	2.19
35=	Martin Huang	Novice	UCLA 1	80	77	79	79	79	394	78.80	0.98
35=	William Hallward-Driemeier		Williams 1	80	77	78	80	79	394	78.80	1.17
35=	Sherissa Wu		USC 1	79	77	80	79	79	394	78.80	0.98
38=	Talia Ehrenberg	Novice	Amherst 1	77	79	79	81	77	393	78.60	1.50
38=	Omesh Dhar Dwivedi		Drexel 1	80	79	77	80	77	393	78.60	1.36
38=	Charles Ndlovu	ESL	Rochester 1	77	78	78	80	80	393	78.60	1.20
41=	Alba Borrego		UCLA 2	79	75	82	78	78	392	78.40	2.24
41=	Sophia Zuo		Princeton 2	77	78	77	80	80	392	78.40	1.36
41=	Dheeraj Pasikanti		UW-Madison 1	78	79	77	79	79	392	78.40	0.80
41=	Ryan Ham		Berkeley 1	76	81	77	78	80	392	78.40	1.85
41=	Justin Zhou		Berkeley 1	76	81	78	78	79	392	78.40	1.62
41=	Annaliese Simons		Bard 1	79	78	79	79	77	392	78.40	0.80
47=	Michael Goldberg		UCLA 2	80	74	82	79	76	391	78.20	2.86
47=	Shashwat Rai		Harvard 4	83	79	77	75	77	391	78.20	2.71
47=	Zyna Dhillon	Novice, ESL	Harvard 4	83	78	77	77	76	391	78.20	2.48
47=	Iman Onbargi	Novice	Harvard 7	80	76	79	77	79	391	78.20	1.47
47=	Jason Shan		Brown 2	76	80	79	77	79	391	78.20	1.47
47=	Maya Sachs		Williams 1	78	77	78	80	78	391	78.20	0.98
47=	Divit Chopra	ESL	Berkeley 2	78	81	77	77	78	391	78.20	1.47
54=	Cayden Pocrass		UCLA 3	78	76	76	81	79	390	78.00	1.90
54=	John Wu	Novice	UPenn 1	77	78	80	79	76	390	78.00	1.41
54=	Benjamin Vigueras	ESL	Cornell 2	77	79	74	82	78	390	78.00	2.61
57=	Diego Castillo		Brown 2	77	80	79	76	77	389	77.80	1.47
57=	Audrey Strevey		Claremont 1	76	77	79	76	81	389	77.80	1.94
57=	Srishti Nautiyal	ESL	Boston 1	80	77	77	77	78	389	77.80	1.17
60=	Soren Jensen	Novice	Cornell 1	78	78	79	76	77	388	77.60	1.02
60=	Fatima Haider		Princeton 2	76	77	77	78	80	388	77.60	1.36
60=	Derek Chang		Berkeley 2	78	79	77	77	77	388	77.60	0.80
63=	Rachel Nam		UCLA 3	78	75	76	79	79	387	77.40	1.62
63=	Amy Chang		Stanford 1	78	70	80	79	80	387	77.40	3.77
63=	Bilal Najaf	ESL	Claremont 1	79	76	78	75	79	387	77.40	1.62
63=	James Camp		Middlebury 1	76	80	78	76	77	387	77.40	1.50
63=	Sabrina Fox	Novice	USC 2	77	78	78	76	78	387	77.40	0.80
68=	Zahi Wali Aadit	ESL	Boston 1	80	75	77	76	78	386	77.20	1.72
68=	Mya Koffie		Princeton 7	77	76	78	74	81	386	77.20	2.32
68=	Heba Haq		UW-Madison 1	78	77	76	77	78	386	77.20	0.75
68=	Carissa Mahoney		Bard 1	77	77	78	77	77	386	77.20	0.40
68=	Ryan Buckner	Novice	USC 2	78	77	77	77	77	386	77.20	0.40
68=	Orateur 1		Swing 1	78	79	78	74	77	386	77.20	1.72
68=	Orateur 2		Swing 1	77	79	78	75	77	386	77.20	1.33
75=	Benjamin Thomas		Stanford 1	77	70	80	79	79	385	77.00	3.63
75=	Hudson Chou		HWS 3	79	77	75	77	77	385	77.00	1.26
77=	Alexander Cutting	Novice	Drexel 1	78	77	75	78	76	384	76.80	1.17
77=	Alice He	Novice	Cornell 2	76	77	75	80	76	384	76.80	1.72
77=	Parth Jain	Novice	Princeton 5	76	78	75	80	75	384	76.80	1.94
77=	Zuzanna Godzinska	ESL	Middlebury 1	75	79	77	76	77	384	76.80	1.33
81=	Alexander Margulis	Novice	Princeton 3	78	77	77	75	76	383	76.60	1.02
81=	Nathan Spencer	Novice	Princeton 7	77	75	78	73	80	383	76.60	2.42
83	Emily Paulin		Princeton 3	77	77	78	76	74	382	76.40	1.36
84=	James Afford		Brown 1	78	75	78	76	74	381	76.20	1.60
84=	Noku Zuze	Novice	Bates 2	75	76	77	74	79	381	76.20	1.72
86=	Eamin Ahmed	Novice	Cornell 1	77	78	74	76	75	380	76.00	1.41
86=	Elaine Gao	Novice	Princeton 5	77	77	74	79	73	380	76.00	2.19
88=	Will Raihall		Vermont 2	78	74	72	77	78	379	75.80	2.40
88=	Ariel Schuck		Vermont 12	76	79	76	72	76	379	75.80	2.23
88=	Gianluca LoPorto		HWS 2	76	76	74	77	76	379	75.80	0.98
88=	Leo Bonacci		HWS 3	78	76	73	77	75	379	75.80	1.72
88=	Salma Alhsni	Novice	Princeton 6	77	77	75	78	72	379	75.80	2.14
88=	Felix Huang	ESL	Rochester 2	75	77	80	75	72	379	75.80	2.64
88=	Orateur 1		Swing 2	74	74	76	78	77	379	75.80	1.60
88=	Orateur 2		Swing 2	74	73	78	78	76	379	75.80	2.04
96=	Victoria Bubina	Novice	Rochester 2	74	77	79	74	74	378	75.60	2.06
96=	Alizey Warraich	ESL	Colby 2	77	75	75	78	73	378	75.60	1.74
98=	Jacob Franchi		HWS 2	77	75	74	76	75	377	75.40	1.02
98=	Grace Flynn		Columbia 3	74	77	75	73	78	377	75.40	1.85
98=	Jamie Kim	Novice	Columbia 3	74	77	75	73	78	377	75.40	1.85
98=	Yurdanur Yolcu	Novice, ESL	Davidson 2	74	73	77	77	76	377	75.40	1.62
98=	Muhammad Saif	ESL	Colby 1	77	75	75	72	78	377	75.40	2.06
98=	John Hanson		Colby 1	76	75	75	72	79	377	75.40	2.24
98=	Oskar Lieberman		Colby 2	74	75	77	77	74	377	75.40	1.36
98=	Orateur 1		Swing 3	76	76	75	77	73	377	75.40	1.36
106=	Sam Farley		Vermont 4	78	74	76	72	76	376	75.20	2.04
106=	Viraj Nautiyal	Novice	Brown 1	78	75	76	73	74	376	75.20	1.72
106=	Auden White		Davidson 1	74	75	76	76	75	376	75.20	0.75
106=	Quentin Davis	Novice	Morehouse 2	74	78	76	75	73	376	75.20	1.72
106=	James Foleno	Novice	Bates 2	75	75	76	73	77	376	75.20	1.33
111=	Lily Wycoff		Vermont 5	77	78	74	72	74	375	75.00	2.19
111=	Eleanor Greco	Novice	Vermont 10	72	78	75	73	77	375	75.00	2.28
111=	Emily Sakash		Vermont 12	74	77	75	73	76	375	75.00	1.41
111=	Dylan Ballard	Novice	HWS 4	78	74	72	76	75	375	75.00	2.00
111=	Santosh Gontla	Novice	Davidson 1	74	75	76	74	76	375	75.00	0.89
111=	Rajeev Krishnamurthy	Novice, ESL	Davidson 2	73	73	77	77	75	375	75.00	1.79
117=	Grace O&#x27;Bryan	Novice	Vermont 3	75	76	74	73	76	374	74.80	1.17
117=	Colin Mellen	Novice	Vermont 3	74	77	75	72	76	374	74.80	1.72
117=	Neil Rohan		Vermont 13	73	75	77	76	73	374	74.80	1.60
117=	Briana Reyes	Novice	HWS 4	77	74	73	76	74	374	74.80	1.47
121=	Kat Rutkowski		Vermont 2	76	74	70	76	77	373	74.60	2.50
121=	Gavin Alberts		Vermont 4	78	73	75	72	75	373	74.60	2.06
121=	Joshua Atkins	Novice	UWI Mona 1	75	77	72	77	72	373	74.60	2.24
121=	Jaden Haywood	Novice	HWS 6	73	73	77	74	76	373	74.60	1.62
125=	Agnes Shales		Vermont 5	77	76	72	72	75	372	74.40	2.06
125=	Johnny Bewley		HWS 6	73	73	77	74	75	372	74.40	1.50
125=	Martin Seals	Novice	Morehouse 2	74	78	75	74	71	372	74.40	2.24
128=	Tomek Botwicz		Vermont 13	73	75	76	74	73	371	74.20	1.17
128=	Calicia Vassell	Novice	UWI Mona 1	75	75	71	77	73	371	74.20	2.04
128=	David Beloglazov		Princeton 6	74	74	73	76	74	371	74.20	0.98
131=	Matthew Douglas	Novice	UT Jamaica 1	77	69	76	74	73	369	73.80	2.79
131=	Yale Coopersmith		Bard 3	74	74	74	71	76	369	73.80	1.60
131=	Fenya Lyn Walter	ESL	Middlebury 2	76	69	74	76	74	369	73.80	2.56
134=	Josie Haley	Novice	Vermont 1	78	76	70	70	73	367	73.40	3.20
134=	Javen Sears 🍔	Novice	Vermont 11	76	72	74	68	77	367	73.40	3.20
134=	Nogomo-Nantambu Johnson	Novice	UT Jamaica 1	77	69	76	73	72	367	73.40	2.87
137	Eliot Barrengos	Novice	Vermont 9	77	75	77	60	77	366	73.20	6.65
138=	Zahra Boussaid	Novice	Vermont 1	77	74	70	71	73	365	73.00	2.45
138=	Lesedi Chirikuutsi	Novice, ESL	Williams 2	74	73	72	73	73	365	73.00	0.63
138=	Dmitriy Churin	Novice, ESL	Bard 3	71	74	72	72	76	365	73.00	1.79
141	Sarah Volpitta	Novice	Vermont 9	75	76	76	61	75	363	72.60	5.82
142=	Sasha Zory	Novice	HWS 1	77	71	72	68	74	362	72.40	3.01
142=	Stan Vasileiadis	Novice, ESL	Williams 2	74	72	72	70	74	362	72.40	1.50
142=	Nathaniel Cange	Novice	Morehouse 1	78	77	74	61	72	362	72.40	6.09
145=	Angelica Carnevale	Novice	HWS 1	76	72	72	68	73	361	72.20	2.56
145=	Owen Burstein		HWS 5	74	70	68	74	75	361	72.20	2.71
145=	Justin Clopton		Morehouse 1	77	76	75	62	71	361	72.20	5.49
