team	result	side	ballot	adjudicators
ADS Purple	1st	Closing Opposition	View Ballot	Clarence BrontëⒸ , Cayden Pocrass , Sara Rabon , Dawn KatsandeⓉ
MBY C	4th	Closing Government	View Ballot	Clarence BrontëⒸ , Cayden Pocrass , Sara Rabon , Dawn KatsandeⓉ
MBY B	3rd	Opening Opposition	View Ballot	Clarence BrontëⒸ , Cayden Pocrass , Sara Rabon , Dawn KatsandeⓉ
UTJamaica B	2nd	Opening Government	View Ballot	Clarence BrontëⒸ , Cayden Pocrass , Sara Rabon , Dawn KatsandeⓉ
Yale D	1st	Closing Opposition	View Ballot	Simon LuoⒸ , Jack Zhu , Nadia BlouinⓉ
UWODS A	2nd	Closing Government	View Ballot	Simon LuoⒸ , Jack Zhu , Nadia BlouinⓉ
CUS D	3rd	Opening Opposition	View Ballot	Simon LuoⒸ , Jack Zhu , Nadia BlouinⓉ
ASDV OI	4th	Opening Government	View Ballot	Simon LuoⒸ , Jack Zhu , Nadia BlouinⓉ
Stanford G	4th	Closing Opposition	View Ballot	Umar BuckusⒸ , Mica Krzyzanowski
Harvard B	1st	Closing Government	View Ballot	Umar BuckusⒸ , Mica Krzyzanowski
Auckland A	2nd	Opening Opposition	View Ballot	Umar BuckusⒸ , Mica Krzyzanowski
Williams A	3rd	Opening Government	View Ballot	Umar BuckusⒸ , Mica Krzyzanowski
BINUS A	4th	Closing Opposition	View Ballot	Dennis SuⒸ , Annika Wang , Kyle MayersⓉ
BFSU A	2nd	Closing Government	View Ballot	Dennis SuⒸ , Annika Wang , Kyle MayersⓉ
PUCP CG	1st	Opening Opposition	View Ballot	Dennis SuⒸ , Annika Wang , Kyle MayersⓉ
Bard A	3rd	Opening Government	View Ballot	Dennis SuⒸ , Annika Wang , Kyle MayersⓉ
Fordham A	4th	Closing Opposition	View Ballot	Cláudia HarperⒸ , Bukhosi Dube , Noah Aldinger , Alejandro Molina RodriguezⓉ
USPd A	1st	Closing Government	View Ballot	Cláudia HarperⒸ , Bukhosi Dube , Noah Aldinger , Alejandro Molina RodriguezⓉ
Trincoll BR	2nd	Opening Opposition	View Ballot	Cláudia HarperⒸ , Bukhosi Dube , Noah Aldinger , Alejandro Molina RodriguezⓉ
SDU Oedip	3rd	Opening Government	View Ballot	Cláudia HarperⒸ , Bukhosi Dube , Noah Aldinger , Alejandro Molina RodriguezⓉ
USPd B	3rd	Closing Opposition	View Ballot	Joshua BahkⒸ , Balraj Toor , Kimberley K. Brown , Alexis BellⓉ
Vanderbilt C	4th	Closing Government	View Ballot	Joshua BahkⒸ , Balraj Toor , Kimberley K. Brown , Alexis BellⓉ
Alaska B	2nd	Opening Opposition	View Ballot	Joshua BahkⒸ , Balraj Toor , Kimberley K. Brown , Alexis BellⓉ
Wisconsin B	1st	Opening Government	View Ballot	Joshua BahkⒸ , Balraj Toor , Kimberley K. Brown , Alexis BellⓉ
QDU B	3rd	Closing Opposition	View Ballot	George MacauleyⒸ , Ana Nari Carrillo , Natasha Griffin , Leo NitczynskiⓉ
Cornell B	2nd	Closing Government	View Ballot	George MacauleyⒸ , Ana Nari Carrillo , Natasha Griffin , Leo NitczynskiⓉ
BU A	1st	Opening Opposition	View Ballot	George MacauleyⒸ , Ana Nari Carrillo , Natasha Griffin , Leo NitczynskiⓉ
Vanderbilt B	4th	Opening Government	View Ballot	George MacauleyⒸ , Ana Nari Carrillo , Natasha Griffin , Leo NitczynskiⓉ
UChicago B	3rd	Closing Opposition	View Ballot	Paula DjakovicⒸ , Alice Bertoni , Jaleelah Al-Ameenah Ammar
Oxford D	4th	Closing Government	View Ballot	Paula DjakovicⒸ , Alice Bertoni , Jaleelah Al-Ameenah Ammar
Bates A	2nd	Opening Opposition	View Ballot	Paula DjakovicⒸ , Alice Bertoni , Jaleelah Al-Ameenah Ammar
Sydney G	1st	Opening Government	View Ballot	Paula DjakovicⒸ , Alice Bertoni , Jaleelah Al-Ameenah Ammar
MUST A	3rd	Closing Opposition	View Ballot	Sunghyun ParkⒸ , Isabel Birney , Eliot HertensteinⓉ
HHDC E	2nd	Closing Government	View Ballot	Sunghyun ParkⒸ , Isabel Birney , Eliot HertensteinⓉ
NU B	4th	Opening Opposition	View Ballot	Sunghyun ParkⒸ , Isabel Birney , Eliot HertensteinⓉ
JHU A	1st	Opening Government	View Ballot	Sunghyun ParkⒸ , Isabel Birney , Eliot HertensteinⓉ
